epoch,learning_rate,step,training_auroc,training_loss,validation_auroc,validation_loss
0,,6,,,0.47663936018943787,0.6981008052825928
0,4.003178673883667e-06,6,0.47343748807907104,0.7150461077690125,,
1,,13,,,0.4731557369232178,0.6966060996055603
1,4.06356912208139e-06,13,0.5102318525314331,0.7047306299209595,,
2,,20,,,0.4688524603843689,0.6986188292503357
2,4.231895673001418e-06,20,0.551688551902771,0.6913899183273315,,
3,,27,,,0.47295081615448,0.6974511742591858
3,4.507779976847814e-06,27,0.4884072542190552,0.7103438973426819,,
4,,34,,,0.4725410044193268,0.6969045400619507
4,4.890600393991917e-06,34,0.495236873626709,0.7055827379226685,,
5,,41,,,0.46680325269699097,0.6978649497032166
5,5.379494268709095e-06,41,0.5826108455657959,0.679492712020874,,
6,,48,,,0.4829918146133423,0.694738507270813
6,5.973362021904904e-06,48,0.5326360464096069,0.6983246803283691,,
7,,55,,,0.5,0.6903954148292542
7,6.670866696367739e-06,55,0.5667591094970703,0.6873135566711426,,
8,,62,,,0.5278688669204712,0.6853327751159668
8,7.470435775758233e-06,62,0.5724294185638428,0.6887646317481995,,
9,,69,,,0.5483607053756714,0.6756032705307007
9,8.370270734303631e-06,69,0.5673387050628662,0.688398003578186,,
10,,76,,,0.5663934946060181,0.6707308292388916
10,9.368345672555733e-06,76,0.5730847120285034,0.6838249564170837,,
11,,83,,,0.5678278803825378,0.6685199737548828
11,1.0462411410117056e-05,83,0.5888860821723938,0.6826615929603577,,
12,,90,,,0.5670081973075867,0.6668779850006104
12,1.1650006854324602e-05,90,0.6111390590667725,0.6739729046821594,,
13,,97,,,0.5750000476837158,0.6603651642799377
13,1.2928455362271052e-05,97,0.6288810968399048,0.6609295010566711,,
14,,104,,,0.58442622423172,0.6576666235923767
14,1.42948802022147e-05,104,0.6704636812210083,0.6568875312805176,,
15,,111,,,0.5922131538391113,0.6529749035835266
15,1.5746203644084744e-05,111,0.6574344635009766,0.6593616008758545,,
16,,118,,,0.605327844619751,0.6506830453872681
16,1.7279158782912418e-05,118,0.673588752746582,0.6514814496040344,,
17,,125,,,0.6184426546096802,0.6508464813232422
17,1.889029226731509e-05,125,0.6567792296409607,0.6525139808654785,,
18,,132,,,0.6317622661590576,0.644212007522583
18,2.0575977032422088e-05,132,0.6868195533752441,0.6442645192146301,,
19,,139,,,0.645696759223938,0.6387942433357239
19,2.2332418666337617e-05,139,0.6847026348114014,0.639836311340332,,
20,,146,,,0.6538934111595154,0.634784460067749
20,2.4155660867108963e-05,146,0.7002267837524414,0.6349892020225525,,
21,,153,,,0.6793032884597778,0.6227703094482422
21,2.604159999464173e-05,153,0.6934475898742676,0.6303402781486511,,
22,,160,,,0.6831966638565063,0.6222782731056213
22,2.7985990527668037e-05,160,0.7130292654037476,0.62308669090271,,
23,,167,,,0.6860655546188354,0.620309054851532
23,2.9984450520714745e-05,167,0.7283518314361572,0.6170483827590942,,
24,,174,,,0.681352436542511,0.6180042028427124
24,3.203247979399748e-05,174,0.6771673560142517,0.6370007395744324,,
25,,181,,,0.6737704873085022,0.615628182888031
25,3.412547448533587e-05,181,0.6910786628723145,0.6284531354904175,,
26,,188,,,0.6725410223007202,0.6021730303764343
26,3.62587088602595e-05,188,0.7068296670913696,0.6179160475730896,,
27,,195,,,0.6850410103797913,0.6107913255691528
27,3.8427391700679436e-05,195,0.6870211958885193,0.6287623643875122,,
28,,202,,,0.6930328011512756,0.6112203598022461
28,4.062663720105775e-05,202,0.7334929704666138,0.6063863635063171,,
29,,209,,,0.7014344334602356,0.6081093549728394
29,4.285148315830156e-05,209,0.7316027879714966,0.6057087182998657,,
30,,216,,,0.686475396156311,0.5993789434432983
30,4.509693826548755e-05,216,0.7403730154037476,0.5949956178665161,,
31,,223,,,0.7116802930831909,0.595936119556427
31,4.735793481813744e-05,223,0.7199344635009766,0.6143743991851807,,
