epoch,learning_rate,step,training_auroc,training_loss,validation_auroc,validation_loss
0,,6,,,0.520901620388031,0.7632666230201721
0,4.003178673883667e-06,6,0.534349799156189,0.7242812514305115,,
1,,13,,,0.520901620388031,0.7504224181175232
1,4.06356912208139e-06,13,0.5455896854400635,0.7160227298736572,,
2,,20,,,0.5299180746078491,0.7374566197395325
2,4.231895673001418e-06,20,0.5644909143447876,0.7079238295555115,,
3,,27,,,0.5352458953857422,0.7263535857200623
3,4.507779976847814e-06,27,0.5439579486846924,0.7033599615097046,,
4,,34,,,0.5418033003807068,0.7168123722076416
4,4.890600393991917e-06,34,0.5752772092819214,0.6977694034576416,,
5,,41,,,0.5217213034629822,0.7079326510429382
5,5.379494268709095e-06,41,0.5503023862838745,0.6951843500137329,,
6,,48,,,0.48709017038345337,0.6998847723007202
6,5.973362021904904e-06,48,0.582837700843811,0.6914737820625305,,
7,,55,,,0.5200819373130798,0.6931418180465698
7,6.670866696367739e-06,55,0.6022429466247559,0.6881197094917297,,
8,,62,,,0.5397540926933289,0.6874897480010986
8,7.470435775758233e-06,62,0.6324596405029297,0.6858948469161987,,
9,,69,,,0.5731557607650757,0.6834460496902466
9,8.370270734303631e-06,69,0.6621471643447876,0.6829484105110168,,
10,,76,,,0.5987704992294312,0.6804379820823669
10,9.368345672555733e-06,76,0.6832661628723145,0.6810356378555298,,
11,,83,,,0.6145491600036621,0.677451491355896
11,1.0462411410117056e-05,83,0.7104083299636841,0.6774917244911194,,
12,,90,,,0.6252049207687378,0.6752551198005676
12,1.1650006854324602e-05,90,0.721849799156189,0.6736238598823547,,
13,,97,,,0.6549180150032043,0.6738991141319275
13,1.2928455362271052e-05,97,0.72270667552948,0.6698620319366455,,
14,,104,,,0.6711065769195557,0.6727900505065918
14,1.42948802022147e-05,104,0.7368699312210083,0.6652171611785889,,
15,,111,,,0.6809425950050354,0.6667929887771606
15,1.5746203644084744e-05,111,0.7311744093894958,0.6621662974357605,,
16,,118,,,0.6795082092285156,0.6614534854888916
16,1.7279158782912418e-05,118,0.7377457618713379,0.6563917398452759,,
17,,125,,,0.6846311092376709,0.6567026972770691
17,1.889029226731509e-05,125,0.7290574312210083,0.6526073217391968,,
18,,132,,,0.6977459192276001,0.6507478952407837
18,2.0575977032422088e-05,132,0.7359374761581421,0.647046685218811,,
19,,139,,,0.7012295126914978,0.6453782916069031
19,2.2332418666337617e-05,139,0.7358366250991821,0.6428980827331543,,
20,,146,,,0.7028688192367554,0.6413761377334595
20,2.4155660867108963e-05,146,0.7346774339675903,0.6378658413887024,,
21,,153,,,0.6942622661590576,0.6340205073356628
21,2.604159999464173e-05,153,0.7457157373428345,0.6293771862983704,,
22,,160,,,0.6981557607650757,0.6250905990600586
22,2.7985990527668037e-05,160,0.737424373626709,0.6264708042144775,,
23,,167,,,0.6889344453811646,0.6246240139007568
23,2.9984450520714745e-05,167,0.7391128540039062,0.6207706928253174,,
24,,174,,,0.6997950673103333,0.6185967326164246
24,3.203247979399748e-05,174,0.7411542534828186,0.61382657289505,,
25,,181,,,0.69590163230896,0.6170360445976257
25,3.412547448533587e-05,181,0.742993950843811,0.6086164712905884,,
26,,188,,,0.7043032646179199,0.6170128583908081
26,3.62587088602595e-05,188,0.7412802577018738,0.6046169400215149,,
27,,195,,,0.7051229476928711,0.6073192358016968
27,3.8427391700679436e-05,195,0.7489163279533386,0.596247673034668,,
28,,202,,,0.7040983438491821,0.6017330884933472
28,4.062663720105775e-05,202,0.7478578686714172,0.5948852896690369,,
29,,209,,,0.7122950553894043,0.6011414527893066
29,4.285148315830156e-05,209,0.7425150871276855,0.592315673828125,,
30,,216,,,0.7069672346115112,0.6092103123664856
30,4.509693826548755e-05,216,0.7556955814361572,0.5823200941085815,,
31,,223,,,0.7102458477020264,0.5933623909950256
31,4.735793481813744e-05,223,0.7611390948295593,0.5787333846092224,,
