epoch,learning_rate,step,training_auroc,training_loss,validation_auroc,validation_loss
0,,6,,,0.5610655546188354,0.706261157989502
0,4.003178673883667e-06,6,0.5521421432495117,0.7040583491325378,,
1,,13,,,0.5823770761489868,0.6795815229415894
1,4.06356912208139e-06,13,0.5694052577018738,0.6895164251327515,,
2,,20,,,0.6073770523071289,0.668558657169342
2,4.231895673001418e-06,20,0.5553930997848511,0.6863948106765747,,
3,,27,,,0.6348360776901245,0.661877453327179
3,4.507779976847814e-06,27,0.6206148862838745,0.6794383525848389,,
4,,34,,,0.6532787084579468,0.6583458781242371
4,4.890600393991917e-06,34,0.6378780603408813,0.6774665117263794,,
5,,41,,,0.6680327653884888,0.6588464379310608
5,5.379494268709095e-06,41,0.6545110940933228,0.670799732208252,,
6,,48,,,0.6827868819236755,0.6601898670196533
6,5.973362021904904e-06,48,0.7080392837524414,0.66213059425354,,
7,,55,,,0.6922130584716797,0.6604182124137878
7,6.670866696367739e-06,55,0.6931199431419373,0.6622852087020874,,
8,,62,,,0.6965163946151733,0.659156322479248
8,7.470435775758233e-06,62,0.7124999761581421,0.654047429561615,,
9,,69,,,0.6983606815338135,0.6398477554321289
9,8.370270734303631e-06,69,0.6862146854400635,0.6579834222793579,,
10,,76,,,0.7008196115493774,0.6258848905563354
10,9.368345672555733e-06,76,0.6904233694076538,0.6495183110237122,,
11,,83,,,0.7049180269241333,0.621658205986023
11,1.0462411410117056e-05,83,0.7109626531600952,0.639874279499054,,
12,,90,,,0.7053278684616089,0.6287737488746643
12,1.1650006854324602e-05,90,0.7065776586532593,0.6322041749954224,,
13,,97,,,0.7073770761489868,0.6260521411895752
13,1.2928455362271052e-05,97,0.7167086601257324,0.6211060285568237,,
14,,104,,,0.7090163230895996,0.6185320615768433
14,1.42948802022147e-05,104,0.7384324073791504,0.6086828112602234,,
15,,111,,,0.7051229476928711,0.6084486246109009
15,1.5746203644084744e-05,111,0.7243951559066772,0.6062378287315369,,
16,,118,,,0.7079918384552002,0.6116545796394348
16,1.7279158782912418e-05,118,0.7372479438781738,0.5924549698829651,,
17,,125,,,0.7153688073158264,0.6188282370567322
17,1.889029226731509e-05,125,0.7299143075942993,0.5907979607582092,,
18,,132,,,0.7213114500045776,0.6027244329452515
18,2.0575977032422088e-05,132,0.7294858694076538,0.5872046947479248,,
19,,139,,,0.72295081615448,0.637442946434021
19,2.2332418666337617e-05,139,0.7411794662475586,0.5765224695205688,,
20,,146,,,0.7192623615264893,0.5941770076751709
20,2.4155660867108963e-05,146,0.7480595111846924,0.569485604763031,,
21,,153,,,0.7198770642280579,0.5952304601669312
21,2.604159999464173e-05,153,0.7519909143447876,0.5683003664016724,,
22,,160,,,0.7262294888496399,0.610806405544281
22,2.7985990527668037e-05,160,0.7605847120285034,0.5563950538635254,,
23,,167,,,0.7221311330795288,0.5884220600128174
23,2.9984450520714745e-05,167,0.7721017599105835,0.5458469986915588,,
24,,174,,,0.7252049446105957,0.5939799547195435
24,3.203247979399748e-05,174,0.7689516544342041,0.547512948513031,,
25,,181,,,0.723975419998169,0.5911509990692139
25,3.412547448533587e-05,181,0.7661542296409607,0.5484698414802551,,
26,,188,,,0.7348361015319824,0.6497885584831238
26,3.62587088602595e-05,188,0.7895917296409607,0.5350016951560974,,
27,,195,,,0.723975419998169,0.5860261917114258
27,3.8427391700679436e-05,195,0.7739667296409607,0.5531420111656189,,
28,,202,,,0.7381147146224976,0.6352314949035645
28,4.062663720105775e-05,202,0.7779233455657959,0.5391402840614319,,
29,,209,,,0.7389343976974487,0.6586250066757202
29,4.285148315830156e-05,209,0.809450626373291,0.5138730406761169,,
30,,216,,,0.7401639223098755,0.6268680095672607
30,4.509693826548755e-05,216,0.8141129016876221,0.5082665085792542,,
31,,223,,,0.7346311807632446,0.6235496401786804
31,4.735793481813744e-05,223,0.8344254493713379,0.48752889037132263,,
