epoch,learning_rate,step,training_loss,validation_auroc,validation_loss
0,,6,,0.5387096405029297,0.08342956006526947
0,4.0030536183621734e-06,6,0.08522237837314606,,
1,,13,,0.5830645561218262,0.08173590153455734
1,4.063194410264259e-06,13,0.08180709928274155,,
2,,20,,0.6181451678276062,0.07989273965358734
2,4.2312722143833525e-06,20,0.08208509534597397,,
3,,27,,0.6358871459960938,0.0782550722360611
3,4.506909135670867e-06,27,0.08068910241127014,,
4,,34,,0.6568548679351807,0.0771070346236229
4,4.889483989245491e-06,34,0.07974093407392502,,
5,,41,,0.6741935014724731,0.07636414468288422
5,5.3781350288772956e-06,41,0.07954192161560059,,
6,,48,,0.6879032254219055,0.07453127205371857
6,5.971763130219188e-06,48,0.07864587754011154,,
7,,55,,0.7056452035903931,0.07355127483606339
7,6.66903088131221e-06,55,0.07703813165426254,,
8,,62,,0.7201613187789917,0.0725385770201683
8,7.468368494301103e-06,62,0.07640819996595383,,
9,,69,,0.7286290526390076,0.07202519476413727
9,8.367976079171058e-06,69,0.07513874024152756,,
10,,76,,0.7322580814361572,0.07103146612644196
10,9.365828191221226e-06,76,0.07405482977628708,,
11,,83,,0.7374999523162842,0.07041363418102264
11,1.0459676559548825e-05,83,0.07365735620260239,,
12,,90,,0.7395161390304565,0.06988614052534103
12,1.1647061910480261e-05,90,0.0733051598072052,,
13,,97,,0.7391128540039062,0.06962806731462479
13,1.2925307601108216e-05,97,0.07183251529932022,,
14,,104,,0.7362903356552124,0.06956617534160614
14,1.4291535080701578e-05,104,0.07150212675333023,,
15,,111,,0.7350805997848511,0.06973852217197418
15,1.5742669347673655e-05,111,0.07020091265439987,,
16,,118,,0.7346774339675903,0.06983960419893265
16,1.7275442587560974e-05,118,0.06923549622297287,,
17,,125,,0.7330645322799683,0.070149265229702
17,1.8886405086959712e-05,125,0.07033248990774155,,
18,,132,,0.7270161509513855,0.07169389724731445
18,2.0571924324030988e-05,132,0.06866546720266342,,
19,,139,,0.7233871221542358,0.07257392257452011
19,2.2328211343847215e-05,139,0.06633234769105911,,
20,,146,,0.7181451916694641,0.07274534553289413
20,2.4151308025466278e-05,146,0.0671873688697815,,
21,,153,,0.7169355154037476,0.07326548546552658
21,2.603711254778318e-05,153,0.06610867381095886,,
22,,160,,0.7096774578094482,0.07422171533107758
22,2.7981373932561837e-05,160,0.06556051224470139,,
23,,167,,0.7060483694076538,0.0773877277970314
23,2.9979719329276122e-05,167,0.06448587030172348,,
24,,174,,0.704032301902771,0.07357687503099442
24,3.2027644920162857e-05,174,0.06547895073890686,,
25,,181,,0.7060483694076538,0.0755946934223175
25,3.412054866203107e-05,181,0.06191730871796608,,
26,,188,,0.709274172782898,0.0744406133890152
26,3.625369936344214e-05,188,0.061415039002895355,,
27,,195,,0.7052419185638428,0.07453703135251999
27,3.842230944428593e-05,195,0.0612725093960762,,
28,,202,,0.7088710069656372,0.07507508248090744
28,4.0621500374982134e-05,202,0.05913102626800537,,
29,,209,,0.7088710069656372,0.0754503607749939
29,4.2846299038501456e-05,209,0.05941940099000931,,
30,,216,,0.7076612710952759,0.0853620320558548
30,4.509171412792057e-05,216,0.06101030856370926,,
