epoch,learning_rate,step,training_auroc,training_loss,validation_auroc,validation_loss
0,,6,,,0.6073770523071289,0.7015942931175232
0,4.003178673883667e-06,6,0.5674647092819214,0.7246179580688477,,
1,,13,,,0.610245943069458,0.6660764217376709
1,4.06356912208139e-06,13,0.5744203329086304,0.6973133683204651,,
2,,20,,,0.6303278207778931,0.6574202179908752
2,4.231895673001418e-06,20,0.5965222120285034,0.6856184601783752,,
3,,27,,,0.6463115215301514,0.6555288434028625
3,4.507779976847814e-06,27,0.5895665884017944,0.685444176197052,,
4,,34,,,0.666803240776062,0.6497164964675903
4,4.890600393991917e-06,34,0.6509072780609131,0.6784148216247559,,
5,,41,,,0.6831967830657959,0.6411140561103821
5,5.379494268709095e-06,41,0.6518144607543945,0.6766456365585327,,
6,,48,,,0.6930328011512756,0.6345444321632385
6,5.973362021904904e-06,48,0.7000503540039062,0.6654384136199951,,
7,,55,,,0.7016392946243286,0.6289995908737183
7,6.670866696367739e-06,55,0.70317542552948,0.6616294980049133,,
8,,62,,,0.7024589776992798,0.6259743571281433
8,7.470435775758233e-06,62,0.7134324312210083,0.6560401320457458,,
9,,69,,,0.7094262838363647,0.6172780990600586
9,8.370270734303631e-06,69,0.7298638820648193,0.6472448706626892,,
10,,76,,,0.7098360061645508,0.6097090840339661
10,9.368345672555733e-06,76,0.7232106924057007,0.6406816840171814,,
11,,83,,,0.713524580001831,0.6053368449211121
11,1.0462411410117056e-05,83,0.7374496459960938,0.629911482334137,,
12,,90,,,0.7139344215393066,0.6070417761802673
12,1.1650006854324602e-05,90,0.7292842864990234,0.6296331882476807,,
13,,97,,,0.7147541046142578,0.5957698822021484
13,1.2928455362271052e-05,97,0.7377268075942993,0.6171068549156189,,
14,,104,,,0.7147541046142578,0.5937107801437378
14,1.42948802022147e-05,104,0.7467490434646606,0.6042153835296631,,
15,,111,,,0.7143442630767822,0.5938106775283813
15,1.5746203644084744e-05,111,0.7485131025314331,0.5950610041618347,,
16,,118,,,0.7143442630767822,0.5982087850570679
16,1.7279158782912418e-05,118,0.7445564270019531,0.5897951126098633,,
17,,125,,,0.7131147384643555,0.6088101267814636
17,1.889029226731509e-05,125,0.7495464086532593,0.5808154940605164,,
18,,132,,,0.7151639461517334,0.6130560040473938
18,2.0575977032422088e-05,132,0.7556955814361572,0.5754459500312805,,
19,,139,,,0.7168033123016357,0.6223023533821106
19,2.2332418666337617e-05,139,0.7533013820648193,0.5712343454360962,,
20,,146,,,0.7200819849967957,0.6236667633056641
20,2.4155660867108963e-05,146,0.7604334354400635,0.5623545050621033,,
21,,153,,,0.7266393303871155,0.6169508099555969
21,2.604159999464173e-05,153,0.7639869451522827,0.5567188858985901,,
22,,160,,,0.7311475276947021,0.6148854494094849
22,2.7985990527668037e-05,160,0.7761340141296387,0.5430681705474854,,
23,,167,,,0.7344262599945068,0.6122968792915344
23,2.9984450520714745e-05,167,0.7817288637161255,0.5445607900619507,,
24,,174,,,0.7372950911521912,0.6058124899864197
24,3.203247979399748e-05,174,0.7921874523162842,0.5357537865638733,,
25,,181,,,0.7323770523071289,0.6058168411254883
25,3.412547448533587e-05,181,0.7927671670913696,0.5368262529373169,,
26,,188,,,0.7381147146224976,0.6105983257293701
26,3.62587088602595e-05,188,0.8026208877563477,0.5244168043136597,,
27,,195,,,0.7413934469223022,0.629066526889801
27,3.8427391700679436e-05,195,0.8261844515800476,0.5078827142715454,,
28,,202,,,0.7557377815246582,0.6420403122901917
28,4.062663720105775e-05,202,0.814742922782898,0.5100679397583008,,
29,,209,,,0.7331967353820801,0.634294867515564
29,4.285148315830156e-05,209,0.8042590618133545,0.5174592733383179,,
30,,216,,,0.7106557488441467,0.7291465401649475
30,4.509693826548755e-05,216,0.8373991847038269,0.4902893006801605,,
