epoch,learning_rate,step,training_auroc,training_loss,validation_auroc,validation_loss
0,,6,,,0.6686475276947021,0.6747249364852905
0,1.2000677998003084e-05,6,0.5215978026390076,0.692571222782135,,
1,,13,,,0.7018442749977112,0.6580613851547241
1,1.2013528248644434e-05,13,0.6041078567504883,0.6815369725227356,,
2,,20,,,0.7079917788505554,0.6439067721366882
2,1.2049370525346603e-05,20,0.6557585597038269,0.6660463809967041,,
3,,27,,,0.7176229953765869,0.6294562816619873
3,1.210820391861489e-05,27,0.7112903594970703,0.6467124223709106,,
4,,34,,,0.7217212915420532,0.6272076964378357
4,1.219001569552347e-05,34,0.684450626373291,0.646747350692749,,
5,,41,,,0.7299180030822754,0.607767641544342
5,1.2294793123146519e-05,41,0.7160030603408813,0.6290809512138367,,
6,,48,,,0.7307376861572266,0.5999419689178467
6,1.2422518921084702e-05,48,0.7225050926208496,0.620050311088562,,
7,,55,,,0.7395491600036621,0.602813720703125
7,1.2573175808938686e-05,55,0.7237399220466614,0.6100823283195496,,
8,,62,,,0.7401639223098755,0.5990210175514221
8,1.2746734682878014e-05,62,0.7323840856552124,0.6005717515945435,,
9,,69,,,0.7323770523071289,0.5821957588195801
9,1.2943170986545738e-05,69,0.7495464086532593,0.5869877934455872,,
10,,76,,,0.7331967353820801,0.5852816104888916
10,1.3162452887627296e-05,76,0.7522933483123779,0.5778846144676208,,
11,,83,,,0.7379098534584045,0.598333477973938
11,1.340454491582932e-05,83,0.7354586720466614,0.5821578502655029,,
12,,90,,,0.7368852496147156,0.5852359533309937
12,1.3669411600858439e-05,90,0.7393649220466614,0.5803402066230774,,
13,,97,,,0.7405737638473511,0.5705914497375488
13,1.3957002920506056e-05,97,0.7549395561218262,0.5680344104766846,,
14,,104,,,0.7352458834648132,0.5831848978996277
14,1.4267280675994698e-05,104,0.7549898624420166,0.567013680934906,,
15,,111,,,0.7385246157646179,0.5956325531005859
15,1.460019211663166e-05,111,0.7652721405029297,0.5567598342895508,,
16,,118,,,0.7456967234611511,0.5808533430099487
16,1.4955684491724242e-05,118,0.7704384922981262,0.5524722933769226,,
17,,125,,,0.7469262480735779,0.5701063871383667
17,1.5333698684116825e-05,125,0.7696572542190552,0.5545275807380676,,
