epoch,learning_rate,step,training_auroc,training_loss,validation_auroc,validation_loss
0,,6,,,0.579838752746582,0.702415406703949
0,4.000752142019337e-06,6,0.5224696397781372,0.6936693787574768,,
1,,13,,,0.6116935014724731,0.7051214575767517
1,4.015565536974464e-06,13,0.5760374069213867,0.6856520771980286,,
2,,20,,,0.6262097358703613,0.7069388031959534
2,4.056991201650817e-06,20,0.5622975826263428,0.6889224648475647,,
3,,27,,,0.6455645561218262,0.6965954303741455
3,4.1250050344388e-06,27,0.560779333114624,0.6875528693199158,,
4,,34,,,0.6592742204666138,0.689735472202301
4,4.21956974605564e-06,34,0.6227479577064514,0.6779194474220276,,
5,,41,,,0.6725806593894958,0.6832497715950012
5,4.340632585808635e-06,41,0.6560475826263428,0.6727338433265686,,
6,,48,,,0.6705645322799683,0.6771721839904785
6,4.488127160584554e-06,48,0.6431174278259277,0.6719159483909607,,
7,,55,,,0.6725805997848511,0.6721736788749695
7,4.661970706365537e-06,55,0.7049342393875122,0.6600752472877502,,
8,,62,,,0.6745967864990234,0.6727356910705566
8,4.862066361965844e-06,62,0.699924111366272,0.6586849689483643,,
9,,69,,,0.6745967864990234,0.6763159036636353
9,5.088305442768615e-06,69,0.6957236528396606,0.6574632525444031,,
10,,76,,,0.67580646276474,0.6776107549667358
10,5.340560164768249e-06,76,0.7222925424575806,0.6501100659370422,,
11,,83,,,0.6737903356552124,0.6676051616668701
11,5.618691375275375e-06,83,0.7086285352706909,0.650916337966919,,
12,,90,,,0.6745967864990234,0.658659040927887
12,5.922544914938044e-06,90,0.7365385293960571,0.6379346251487732,,
13,,97,,,0.6729838848114014,0.652122437953949
13,6.251952981983777e-06,97,0.7201669812202454,0.6393048167228699,,
14,,104,,,0.6733870506286621,0.6522879004478455
14,6.606731403735466e-06,104,0.7272013425827026,0.6352483630180359,,
15,,111,,,0.6725805997848511,0.6547039747238159
15,6.986685093579581e-06,111,0.738663911819458,0.6280233860015869,,
16,,118,,,0.6741935610771179,0.6547413468360901
16,7.39160304874531e-06,118,0.7468370795249939,0.6205797791481018,,
17,,125,,,0.6717742085456848,0.6507318019866943
17,7.821258805051912e-06,125,0.7443826198577881,0.6157882809638977,,
18,,132,,,0.6689516305923462,0.6494938135147095
18,8.275414984382223e-06,132,0.7390435338020325,0.6127164959907532,,
19,,139,,,0.6685484051704407,0.6447242498397827
19,8.753821020945907e-06,139,0.7425354719161987,0.606810450553894,,
20,,146,,,0.6705645322799683,0.6504330635070801
20,9.256210432795342e-06,146,0.7546558380126953,0.5962916016578674,,
21,,153,,,0.6705645322799683,0.6553625464439392
21,9.782305824046489e-06,153,0.7564777135848999,0.5902917385101318,,
22,,160,,,0.6665322780609131,0.6395964026451111
22,1.0331814337405376e-05,160,0.7596912384033203,0.5839288234710693,,
23,,167,,,0.6661291122436523,0.6529070734977722
23,1.0904430382652208e-05,167,0.7569584846496582,0.5813824534416199,,
24,,174,,,0.6665322780609131,0.6565410494804382
24,1.149983836512547e-05,174,0.7632337808609009,0.572637677192688,,
25,,181,,,0.6661289930343628,0.656158447265625
25,1.2117707228753716e-05,181,0.7708754539489746,0.561464786529541,,
26,,188,,,0.6612902879714966,0.6531516909599304
26,1.2757694094034377e-05,188,0.773582935333252,0.5581836104393005,,
27,,195,,,0.663306474685669,0.6741707921028137
27,1.3419444258033764e-05,195,0.7666498422622681,0.5587902069091797,,
28,,202,,,0.6604838371276855,0.6540025472640991
28,1.4102588465902954e-05,202,0.779250979423523,0.5501666069030762,,
29,,209,,,0.6584677696228027,0.6914271116256714
29,1.480675200582482e-05,209,0.7851720452308655,0.5413832068443298,,
30,,216,,,0.664919376373291,0.6868571639060974
30,1.553154106659349e-05,216,0.7795040607452393,0.5439450144767761,,
31,,223,,,0.6677419543266296,0.6541371941566467
31,1.6276557289529592e-05,223,0.783906877040863,0.5393388867378235,,
32,,230,,,0.6705645322799683,0.6719961762428284
32,1.7041385945049115e-05,230,0.7875759601593018,0.5371721982955933,,
33,,237,,,0.6733871102333069,0.6713476181030273
33,1.7825599570642225e-05,237,0.7988613843917847,0.5259472727775574,,
34,,244,,,0.670161247253418,0.6979055404663086
34,1.8628763427841477e-05,244,0.7969129681587219,0.5274520516395569,,
