epoch,learning_rate,step,training_auroc,training_loss,validation_auroc,validation_loss
0,,6,,,0.44344261288642883,0.7200239300727844
0,4.003178673883667e-06,6,0.46761590242385864,0.732732355594635,,
1,,13,,,0.4827868640422821,0.7356389164924622
1,4.06356912208139e-06,13,0.5197076797485352,0.6968817710876465,,
2,,20,,,0.4817622900009155,0.7509030699729919
2,4.231895673001418e-06,20,0.5324093103408813,0.6943069100379944,,
3,,27,,,0.5100409984588623,0.7379138469696045
3,4.507779976847814e-06,27,0.5873488187789917,0.6882966756820679,,
4,,34,,,0.52704918384552,0.7151768207550049
4,4.890600393991917e-06,34,0.5831149220466614,0.6861337423324585,,
5,,41,,,0.514754056930542,0.6976404190063477
5,5.379494268709095e-06,41,0.6354587078094482,0.675386369228363,,
6,,48,,,0.5432376861572266,0.6913236379623413
6,5.973362021904904e-06,48,0.659248948097229,0.6682684421539307,,
7,,55,,,0.5661885738372803,0.6835117936134338
7,6.670866696367739e-06,55,0.6545615196228027,0.6683014035224915,,
8,,62,,,0.5813524723052979,0.6721457242965698
8,7.470435775758233e-06,62,0.7199596762657166,0.6499589085578918,,
9,,69,,,0.5995901823043823,0.6655329465866089
9,8.370270734303631e-06,69,0.7074596881866455,0.6467082500457764,,
10,,76,,,0.6112704277038574,0.6689198613166809
10,9.368345672555733e-06,76,0.7144405841827393,0.6393318176269531,,
11,,83,,,0.6286885738372803,0.6555341482162476
11,1.0462411410117056e-05,83,0.7147177457809448,0.6336129903793335,,
12,,90,,,0.6499999761581421,0.6440006494522095
12,1.1650006854324602e-05,90,0.7293598651885986,0.6222947835922241,,
13,,97,,,0.6704918146133423,0.6269857287406921
13,1.2928455362271052e-05,97,0.7404990196228027,0.610444962978363,,
14,,104,,,0.6758196353912354,0.6274498105049133
14,1.42948802022147e-05,104,0.7246219515800476,0.6112386584281921,,
15,,111,,,0.6598360538482666,0.6432839035987854
15,1.5746203644084744e-05,111,0.7441532611846924,0.5984193682670593,,
16,,118,,,0.7016393542289734,0.6230388879776001
16,1.7279158782912418e-05,118,0.7493195533752441,0.5967785120010376,,
17,,125,,,0.7170081734657288,0.6171406507492065
17,1.889029226731509e-05,125,0.7461693286895752,0.593900740146637,,
18,,132,,,0.6840164065361023,0.6585817933082581
18,2.0575977032422088e-05,132,0.7476562261581421,0.5896620154380798,,
19,,139,,,0.7233606576919556,0.6127328872680664
19,2.2332418666337617e-05,139,0.7550402879714966,0.5843310952186584,,
20,,146,,,0.7262294888496399,0.6123442649841309
20,2.4155660867108963e-05,146,0.7481602430343628,0.5849446058273315,,
21,,153,,,0.730327844619751,0.6005056500434875
21,2.604159999464173e-05,153,0.7668346166610718,0.5801470279693604,,
22,,160,,,0.7258196473121643,0.6244114637374878
22,2.7985990527668037e-05,160,0.770362913608551,0.5743277072906494,,
23,,167,,,0.7395491600036621,0.5971505641937256
23,2.9984450520714745e-05,167,0.7641633152961731,0.581614077091217,,
24,,174,,,0.7252049446105957,0.6243555545806885
24,3.203247979399748e-05,174,0.7930443286895752,0.5635166764259338,,
25,,181,,,0.7186475396156311,0.5943407416343689
25,3.412547448533587e-05,181,0.8059223890304565,0.5504298210144043,,
26,,188,,,0.7327868938446045,0.6212454438209534
26,3.62587088602595e-05,188,0.8119455575942993,0.5511832237243652,,
27,,195,,,0.7213114500045776,0.6009145975112915
27,3.8427391700679436e-05,195,0.8137600421905518,0.5452791452407837,,
28,,202,,,0.6877049207687378,0.6017901301383972
28,4.062663720105775e-05,202,0.8204637169837952,0.5383207201957703,,
29,,209,,,0.7356557250022888,0.6936981678009033
29,4.285148315830156e-05,209,0.815599799156189,0.5364601016044617,,
30,,216,,,0.7036885023117065,0.6005116701126099
30,4.509693826548755e-05,216,0.8175402879714966,0.5376923680305481,,
31,,223,,,0.7112705111503601,0.6109727621078491
31,4.735793481813744e-05,223,0.8396421670913696,0.5136242508888245,,
