epoch,learning_rate,step,training_loss,validation_auroc,validation_loss
0,,6,,0.465725839138031,0.36238422989845276
0,4.0030536183621734e-06,6,0.3897753059864044,,
1,,13,,0.4887096881866455,0.33866527676582336
1,4.063194410264259e-06,13,0.36013561487197876,,
2,,20,,0.5366935729980469,0.32976940274238586
2,4.2312722143833525e-06,20,0.33973389863967896,,
3,,27,,0.5778225660324097,0.331930935382843
3,4.506909135670867e-06,27,0.3323283791542053,,
4,,34,,0.6129032373428345,0.3378150463104248
4,4.889483989245491e-06,34,0.32727938890457153,,
5,,41,,0.6294354796409607,0.3417398929595947
5,5.3781350288772956e-06,41,0.3271295726299286,,
6,,48,,0.647580623626709,0.33931565284729004
6,5.971763130219188e-06,48,0.32647836208343506,,
7,,55,,0.6580644845962524,0.33194687962532043
7,6.66903088131221e-06,55,0.32377034425735474,,
8,,62,,0.6754032373428345,0.3237462639808655
8,7.468368494301103e-06,62,0.31945130228996277,,
9,,69,,0.680645227432251,0.31836438179016113
9,8.367976079171058e-06,69,0.31631019711494446,,
10,,76,,0.676612913608551,0.31479039788246155
10,9.365828191221226e-06,76,0.31545189023017883,,
11,,83,,0.6838709712028503,0.3130980432033539
11,1.0459676559548825e-05,83,0.3093925416469574,,
12,,90,,0.686693549156189,0.31238025426864624
12,1.1647061910480261e-05,90,0.30764827132225037,,
13,,97,,0.6939516067504883,0.31201350688934326
13,1.2925307601108216e-05,97,0.30267825722694397,,
14,,104,,0.6979838609695435,0.30453187227249146
14,1.4291535080701578e-05,104,0.30252891778945923,,
15,,111,,0.70322585105896,0.2989199459552765
15,1.5742669347673655e-05,111,0.29914578795433044,,
16,,118,,0.7056452035903931,0.29766738414764404
16,1.7275442587560974e-05,118,0.29468345642089844,,
17,,125,,0.709274172782898,0.2918366491794586
17,1.8886405086959712e-05,125,0.2870860695838928,,
18,,132,,0.7133064270019531,0.28816813230514526
18,2.0571924324030988e-05,132,0.2841460108757019,,
19,,139,,0.7185484170913696,0.28549301624298096
19,2.2328211343847215e-05,139,0.27841541171073914,,
20,,146,,0.7233871221542358,0.2816096842288971
20,2.4151308025466278e-05,146,0.2740309536457062,,
21,,153,,0.7318547964096069,0.28068527579307556
21,2.603711254778318e-05,153,0.2714958190917969,,
22,,160,,0.7306451797485352,0.2801057994365692
22,2.7981373932561837e-05,160,0.2667700946331024,,
23,,167,,0.7374999523162842,0.2818740904331207
23,2.9979719329276122e-05,167,0.26719003915786743,,
24,,174,,0.7379032373428345,0.27775219082832336
24,3.2027644920162857e-05,174,0.26675406098365784,,
25,,181,,0.7447580695152283,0.2841029167175293
25,3.412054866203107e-05,181,0.2542245388031006,,
26,,188,,0.7495967149734497,0.27631986141204834
26,3.625369936344214e-05,188,0.25814154744148254,,
27,,195,,0.7495968341827393,0.2769410312175751
27,3.842230944428593e-05,195,0.24899430572986603,,
28,,202,,0.7512096166610718,0.2909589409828186
28,4.0621500374982134e-05,202,0.24562445282936096,,
29,,209,,0.7504032850265503,0.28725266456604004
29,4.2846299038501456e-05,209,0.2514705955982208,,
30,,216,,0.7548387050628662,0.2956971824169159
30,4.509171412792057e-05,216,0.24230411648750305,,
31,,223,,0.760887086391449,0.3110913932323456
31,4.735268157674e-05,223,0.2492552101612091,,
