epoch,learning_rate,step,training_loss,validation_auroc,validation_loss
0,,6,,0.4303278625011444,0.3466082513332367
0,4.003178673883667e-06,6,0.3452131152153015,,
1,,13,,0.4745901823043823,0.3420375883579254
1,4.06356912208139e-06,13,0.33596935868263245,,
2,,20,,0.4829918146133423,0.34089550375938416
2,4.231895673001418e-06,20,0.33211180567741394,,
3,,27,,0.5036884546279907,0.3366207480430603
3,4.507779976847814e-06,27,0.32992470264434814,,
4,,34,,0.5366803407669067,0.33027341961860657
4,4.890600393991917e-06,34,0.32563909888267517,,
5,,41,,0.5038934350013733,0.3245100677013397
5,5.379494268709095e-06,41,0.3183800280094147,,
6,,48,,0.525819718837738,0.3208528757095337
6,5.973362021904904e-06,48,0.31931304931640625,,
7,,55,,0.5538934469223022,0.31650030612945557
7,6.670866696367739e-06,55,0.31380313634872437,,
8,,62,,0.5848360061645508,0.31199437379837036
8,7.470435775758233e-06,62,0.30997976660728455,,
9,,69,,0.6040983200073242,0.30788522958755493
9,8.370270734303631e-06,69,0.3032095432281494,,
10,,76,,0.623975396156311,0.30339315533638
10,9.368345672555733e-06,76,0.301405668258667,,
11,,83,,0.6473361253738403,0.299263596534729
11,1.0462411410117056e-05,83,0.2968883812427521,,
12,,90,,0.6616803407669067,0.29557421803474426
12,1.1650006854324602e-05,90,0.2928880453109741,,
13,,97,,0.6741803288459778,0.2926602065563202
13,1.2928455362271052e-05,97,0.29184192419052124,,
14,,104,,0.6709016561508179,0.289553701877594
14,1.42948802022147e-05,104,0.284762442111969,,
15,,111,,0.692418098449707,0.2868090271949768
15,1.5746203644084744e-05,111,0.28407853841781616,,
16,,118,,0.6942623257637024,0.28585800528526306
16,1.7279158782912418e-05,118,0.2789531350135803,,
17,,125,,0.708401620388031,0.2850021421909332
17,1.889029226731509e-05,125,0.2706613838672638,,
18,,132,,0.7110655307769775,0.28398820757865906
18,2.0575977032422088e-05,132,0.27647435665130615,,
19,,139,,0.7190573811531067,0.2862786650657654
19,2.2332418666337617e-05,139,0.26512041687965393,,
20,,146,,0.7114753723144531,0.2842404246330261
20,2.4155660867108963e-05,146,0.26463907957077026,,
21,,153,,0.7108606100082397,0.2795315980911255
21,2.604159999464173e-05,153,0.26245632767677307,,
22,,160,,0.7153688669204712,0.2781851887702942
22,2.7985990527668037e-05,160,0.2698603570461273,,
23,,167,,0.723975419998169,0.274288147687912
23,2.9984450520714745e-05,167,0.2690053880214691,,
24,,174,,0.7256147861480713,0.270957350730896
24,3.203247979399748e-05,174,0.27215301990509033,,
25,,181,,0.7258196473121643,0.2676389813423157
25,3.412547448533587e-05,181,0.2587253749370575,,
26,,188,,0.729303240776062,0.2704714834690094
26,3.62587088602595e-05,188,0.2536526918411255,,
27,,195,,0.7237704992294312,0.27444642782211304
27,3.8427391700679436e-05,195,0.2475491762161255,,
28,,202,,0.7432376742362976,0.2779228389263153
28,4.062663720105775e-05,202,0.24808157980442047,,
29,,209,,0.723975419998169,0.2733003795146942
29,4.285148315830156e-05,209,0.24145454168319702,,
30,,216,,0.7180327773094177,0.27833911776542664
30,4.509693826548755e-05,216,0.23349271714687347,,
31,,223,,0.7424180507659912,0.31155896186828613
31,4.735793481813744e-05,223,0.23198187351226807,,
