epoch,learning_rate,step,training_loss,validation_auroc,validation_loss
0,,6,,0.6173386573791504,0.6664352416992188
0,4.0030536183621734e-06,6,0.7037138342857361,,
1,,13,,0.6120967864990234,0.6524025201797485
1,4.063194410264259e-06,13,0.6699213981628418,,
2,,20,,0.5377016067504883,0.6528193354606628
2,4.2312722143833525e-06,20,0.6621552109718323,,
3,,27,,0.5949596762657166,0.6593472957611084
3,4.506909135670867e-06,27,0.6581894755363464,,
4,,34,,0.6173386573791504,0.6579809784889221
4,4.889483989245491e-06,34,0.6545907855033875,,
5,,41,,0.5953629016876221,0.6509555578231812
5,5.3781350288772956e-06,41,0.6538752317428589,,
6,,48,,0.5806451439857483,0.6391438245773315
6,5.971763130219188e-06,48,0.6472569704055786,,
7,,55,,0.5953629016876221,0.6301052570343018
7,6.66903088131221e-06,55,0.6382601261138916,,
8,,62,,0.6116935014724731,0.6237139105796814
8,7.468368494301103e-06,62,0.6384837627410889,,
9,,69,,0.6189516186714172,0.6197208166122437
9,8.367976079171058e-06,69,0.6329458355903625,,
10,,76,,0.6177419424057007,0.6161589622497559
10,9.365828191221226e-06,76,0.6215071082115173,,
11,,83,,0.6100806593894958,0.6119938492774963
11,1.0459676559548825e-05,83,0.6191381216049194,,
12,,90,,0.6167338490486145,0.6090633273124695
12,1.1647061910480261e-05,90,0.6086881160736084,,
13,,97,,0.6534274220466614,0.6016589403152466
13,1.2925307601108216e-05,97,0.6107261180877686,,
14,,104,,0.6661289930343628,0.5968312621116638
14,1.4291535080701578e-05,104,0.5963830947875977,,
15,,111,,0.6856855154037476,0.5904867053031921
15,1.5742669347673655e-05,111,0.5875144004821777,,
16,,118,,0.6933467984199524,0.58790123462677
16,1.7275442587560974e-05,118,0.5762948393821716,,
17,,125,,0.704838752746582,0.584505558013916
17,1.8886405086959712e-05,125,0.5707030296325684,,
18,,132,,0.6832661628723145,0.5805305242538452
18,2.0571924324030988e-05,132,0.5721492767333984,,
19,,139,,0.6887096762657166,0.5924980044364929
19,2.2328211343847215e-05,139,0.5571085810661316,,
20,,146,,0.6931451559066772,0.5772645473480225
20,2.4151308025466278e-05,146,0.5561047792434692,,
21,,153,,0.7264112830162048,0.580069363117218
21,2.603711254778318e-05,153,0.5486845970153809,,
22,,160,,0.7016129493713379,0.5804163217544556
22,2.7981373932561837e-05,160,0.5262469053268433,,
23,,167,,0.7189515829086304,0.5716742277145386
23,2.9979719329276122e-05,167,0.5376842617988586,,
24,,174,,0.7189516425132751,0.5721812844276428
24,3.2027644920162857e-05,174,0.5209051370620728,,
25,,181,,0.7274193167686462,0.5745768547058105
25,3.412054866203107e-05,181,0.5164444446563721,,
26,,188,,0.7197580337524414,0.5792454481124878
26,3.625369936344214e-05,188,0.5156257748603821,,
27,,195,,0.7266128659248352,0.5856869220733643
27,3.842230944428593e-05,195,0.5004692077636719,,
28,,202,,0.7340725660324097,0.594633162021637
28,4.0621500374982134e-05,202,0.489238440990448,,
29,,209,,0.7133064270019531,0.6033053398132324
29,4.2846299038501456e-05,209,0.4893699586391449,,
30,,216,,0.7387096881866455,0.6155866980552673
30,4.509171412792057e-05,216,0.4682939946651459,,
31,,223,,0.7135080695152283,0.6213592290878296
31,4.735268157674e-05,223,0.4554309844970703,,
