epoch,learning_rate,step,training_loss,validation_auroc,validation_loss
0,,6,,0.5629098415374756,0.32847750186920166
0,4.003178673883667e-06,6,0.3400697112083435,,
1,,13,,0.6204918026924133,0.32504820823669434
1,4.06356912208139e-06,13,0.3305920362472534,,
2,,20,,0.6538934707641602,0.3216054439544678
2,4.231895673001418e-06,20,0.3269359767436981,,
3,,27,,0.6706967353820801,0.31824490427970886
3,4.507779976847814e-06,27,0.3282213807106018,,
4,,34,,0.6770492196083069,0.31495025753974915
4,4.890600393991917e-06,34,0.3285709023475647,,
5,,41,,0.6852458715438843,0.311653196811676
5,5.379494268709095e-06,41,0.32229897379875183,,
6,,48,,0.6932376623153687,0.30825525522232056
6,5.973362021904904e-06,48,0.31630921363830566,,
7,,55,,0.6961065530776978,0.30447718501091003
7,6.670866696367739e-06,55,0.3176419734954834,,
8,,62,,0.693852424621582,0.3008005917072296
8,7.470435775758233e-06,62,0.305423378944397,,
9,,69,,0.6950819492340088,0.2974376082420349
9,8.370270734303631e-06,69,0.3042677640914917,,
10,,76,,0.6942622661590576,0.293992817401886
10,9.368345672555733e-06,76,0.30487969517707825,,
11,,83,,0.6987705230712891,0.2910573184490204
11,1.0462411410117056e-05,83,0.3027661144733429,,
12,,90,,0.7104507684707642,0.28925463557243347
12,1.1650006854324602e-05,90,0.2941516041755676,,
13,,97,,0.6997950673103333,0.29176586866378784
13,1.2928455362271052e-05,97,0.2913035750389099,,
14,,104,,0.7153688669204712,0.286263108253479
14,1.42948802022147e-05,104,0.2854689657688141,,
15,,111,,0.7098360657691956,0.285086065530777
15,1.5746203644084744e-05,111,0.2852596938610077,,
16,,118,,0.7180328369140625,0.29082250595092773
16,1.7279158782912418e-05,118,0.28450995683670044,,
17,,125,,0.7159836292266846,0.2815622389316559
17,1.889029226731509e-05,125,0.27904051542282104,,
18,,132,,0.7284836173057556,0.28017809987068176
18,2.0575977032422088e-05,132,0.2737872302532196,,
19,,139,,0.7252049446105957,0.2801573872566223
19,2.2332418666337617e-05,139,0.2683984339237213,,
20,,146,,0.7321721315383911,0.2780098617076874
20,2.4155660867108963e-05,146,0.27404266595840454,,
21,,153,,0.7340163588523865,0.28014427423477173
21,2.604159999464173e-05,153,0.27056726813316345,,
22,,160,,0.7334016561508179,0.28112873435020447
22,2.7985990527668037e-05,160,0.27254006266593933,,
23,,167,,0.7321721315383911,0.27518197894096375
23,2.9984450520714745e-05,167,0.27632468938827515,,
24,,174,,0.7448770999908447,0.27114376425743103
24,3.203247979399748e-05,174,0.2687384784221649,,
25,,181,,0.7387295365333557,0.2680675685405731
25,3.412547448533587e-05,181,0.26013150811195374,,
26,,188,,0.7471311092376709,0.27183976769447327
26,3.62587088602595e-05,188,0.25423598289489746,,
27,,195,,0.7178279161453247,0.27988627552986145
27,3.8427391700679436e-05,195,0.2507563531398773,,
28,,202,,0.7399590015411377,0.27491894364356995
28,4.062663720105775e-05,202,0.24719104170799255,,
29,,209,,0.7274590134620667,0.27852603793144226
29,4.285148315830156e-05,209,0.24040070176124573,,
30,,216,,0.7221311330795288,0.28238144516944885
30,4.509693826548755e-05,216,0.24081213772296906,,
31,,223,,0.7323770523071289,0.2984861135482788
31,4.735793481813744e-05,223,0.2382185161113739,,
