epoch,learning_rate,step,training_loss,validation_auroc,validation_loss
0,,6,,0.5586693286895752,0.34973201155662537
0,1.2002256880805362e-05,6,0.33558931946754456,,
1,,13,,0.5445564985275269,0.3302273750305176
1,1.2046697520418093e-05,13,0.32661712169647217,,
2,,20,,0.5631048679351807,0.3140869438648224
2,1.2170974514447153e-05,20,0.31398317217826843,,
3,,27,,0.5641129016876221,0.30884966254234314
3,1.2375016012811102e-05,27,0.31416893005371094,,
4,,34,,0.6139112710952759,0.31458091735839844
4,1.2658710147661623e-05,34,0.30540385842323303,,
5,,41,,0.6074596643447876,0.30890706181526184
5,1.3021898666920606e-05,41,0.30625662207603455,,
6,,48,,0.6137096881866455,0.3036610186100006
6,1.346438057225896e-05,48,0.2924607992172241,,
7,,55,,0.6254032254219055,0.304238498210907
7,1.3985911209601909e-05,55,0.29308605194091797,,
8,,62,,0.6449596881866455,0.3098089098930359
8,1.4586200450139586e-05,62,0.28495335578918457,,
9,,69,,0.6469757556915283,0.31123363971710205
9,1.5264915418811142e-05,69,0.2799551784992218,,
10,,76,,0.6600806713104248,0.3130130469799042
10,1.6021678675315343e-05,76,0.2722296118736267,,
11,,83,,0.6451612710952759,0.31304696202278137
11,1.6856074580573477e-05,83,0.27449309825897217,,
12,,90,,0.64052414894104,0.31640663743019104
12,1.7767637473298237e-05,90,0.2719580829143524,,
13,,97,,0.6566532254219055,0.3177882432937622
13,1.875585803645663e-05,97,0.2678011953830719,,
14,,104,,0.6612902879714966,0.32005828619003296
14,1.9820196030195802e-05,104,0.2742532789707184,,
15,,111,,0.6715725660324097,0.320161908864975
15,2.0960054825991392e-05,111,0.25625547766685486,,
16,,118,,0.6616935729980469,0.3235146403312683
16,2.217480869148858e-05,118,0.26157259941101074,,
17,,125,,0.6862903237342834,0.31763941049575806
17,2.3463775505661033e-05,125,0.255746990442276,,
18,,132,,0.6860886812210083,0.31594526767730713
18,2.4826247681630775e-05,132,0.25650474429130554,,
19,,139,,0.6852822303771973,0.3161706328392029
19,2.6261466700816527e-05,139,0.2550516426563263,,
20,,146,,0.694556474685669,0.31355106830596924
20,2.776863402687013e-05,146,0.2504847049713135,,
21,,153,,0.6909274458885193,0.3146320879459381
21,2.9346916562644765e-05,153,0.24641864001750946,,
22,,160,,0.7141128778457642,0.3118002414703369
22,3.0995441193226725e-05,160,0.24169476330280304,,
23,,167,,0.6923387050628662,0.3177652060985565
23,3.2713291147956625e-05,167,0.24332788586616516,,
24,,174,,0.6877016425132751,0.3134653568267822
24,3.449951691436581e-05,174,0.24199190735816956,,
25,,181,,0.6929435133934021,0.3132378160953522
25,3.635312168626115e-05,181,0.23249250650405884,,
26,,188,,0.6973790526390076,0.31541579961776733
26,3.827307591564022e-05,188,0.2418452948331833,,
27,,195,,0.7193548679351807,0.3026638627052307
27,4.0258324588648975e-05,195,0.23267410695552826,,
28,,202,,0.7245967388153076,0.30399948358535767
28,4.230776903568767e-05,202,0.22620587050914764,,
29,,209,,0.742943525314331,0.2928239107131958
29,4.442025601747446e-05,209,0.23424983024597168,,
30,,216,,0.7302418947219849,0.3273445963859558
30,4.659462138079107e-05,216,0.21956750750541687,,
31,,223,,0.7334678173065186,0.3071860373020172
31,4.882966823060997e-05,223,0.22890271246433258,,
32,,230,,0.7399193644523621,0.28848621249198914
32,5.112414510222152e-05,230,0.21040482819080353,,
33,,237,,0.7441532611846924,0.3045567274093628
33,5.3476793254958466e-05,237,0.2079775035381317,,
34,,244,,0.7495967745780945,0.3021918535232544
34,5.5886292102513835e-05,244,0.20526638627052307,,
35,,251,,0.7546371221542358,0.3200400173664093
35,5.835131378262304e-05,251,0.19952742755413055,,
36,,258,,0.7596774101257324,0.3098396956920624
36,6.0870494053233415e-05,258,0.19309090077877045,,
37,,265,,0.7487903237342834,0.3096785545349121
37,6.344242865452543e-05,265,0.19070221483707428,,
38,,272,,0.7445564270019531,0.45116952061653137
38,6.606568058487028e-05,272,0.16769970953464508,,
39,,279,,0.7572580575942993,0.3512815535068512
39,6.87388310325332e-05,279,0.1891293227672577,,
40,,286,,0.741330623626709,0.356659471988678
40,7.146036659833044e-05,286,0.14883406460285187,,
41,,293,,0.7433468103408813,0.4927718937397003
41,7.422878115903586e-05,293,0.13798679411411285,,
42,,300,,0.7294355034828186,0.4552868902683258
42,7.70425540395081e-05,300,0.14292871952056885,,
43,,307,,0.7328629493713379,0.5503426194190979
43,7.990010635694489e-05,307,0.135436549782753,,
44,,314,,0.7302418947219849,0.5958865284919739
44,8.279986650450155e-05,314,0.11613192409276962,,
45,,321,,0.7217742204666138,0.5815363526344299
45,8.574021921958774e-05,321,0.11120361089706421,,
46,,328,,0.7034274339675903,1.0024311542510986
46,8.871953468769789e-05,328,0.09437080472707748,,
47,,335,,0.7262096405029297,0.5565001964569092
47,9.17361830943264e-05,335,0.20935426652431488,,
48,,342,,0.716532289981842,0.5691541433334351
48,9.478845458943397e-05,342,0.1216648519039154,,
49,,349,,0.719556450843811,0.6044763326644897
49,9.78746684268117e-05,349,0.09413626044988632,,
50,,356,,0.7122983932495117,0.6690650582313538
50,0.00010099312930833548,356,0.0843801274895668,,
51,,363,,0.7151209115982056,0.8516446352005005
51,0.00010414209100417793,363,0.06836463510990143,,
52,,370,,0.7241935729980469,0.7349037528038025
52,0.00010731980728451163,370,0.08297338336706161,,
53,,377,,0.7536290884017944,0.8178437948226929
53,0.00011052452464355156,377,0.06454303115606308,,
54,,384,,0.7264112830162048,0.8695341348648071
54,0.00011375447502359748,384,0.053679268807172775,,
55,,391,,0.7123992443084717,1.0459588766098022
55,0.00011700783215928823,391,0.08227340131998062,,
56,,398,,0.7137097120285034,0.7979692220687866
56,0.00012028284254483879,398,0.12263248860836029,,
