epoch,learning_rate,step,training_loss,validation_auroc,validation_loss
0,,6,,0.5415322780609131,0.32878386974334717
0,4.0030536183621734e-06,6,0.3303617835044861,,
1,,13,,0.5870968103408813,0.3255559504032135
1,4.063194410264259e-06,13,0.3282463252544403,,
2,,20,,0.6161290407180786,0.3227558434009552
2,4.2312722143833525e-06,20,0.32762569189071655,,
3,,27,,0.6322580575942993,0.3196202218532562
3,4.506909135670867e-06,27,0.3258158564567566,,
4,,34,,0.6528226137161255,0.3164544105529785
4,4.889483989245491e-06,34,0.3232465088367462,,
5,,41,,0.6653225421905518,0.3134056329727173
5,5.3781350288772956e-06,41,0.3214726150035858,,
6,,48,,0.688306450843811,0.31041499972343445
6,5.971763130219188e-06,48,0.3194971978664398,,
7,,55,,0.7052419185638428,0.30735787749290466
7,6.66903088131221e-06,55,0.3179297149181366,,
8,,62,,0.7193548679351807,0.30366483330726624
8,7.468368494301103e-06,62,0.3125886619091034,,
9,,69,,0.7387096881866455,0.2991909980773926
9,8.367976079171058e-06,69,0.31432098150253296,,
10,,76,,0.7459677457809448,0.29565733671188354
10,9.365828191221226e-06,76,0.3100217282772064,,
11,,83,,0.7528226375579834,0.2912641167640686
11,1.0459676559548825e-05,83,0.3059469163417816,,
12,,90,,0.7584677338600159,0.2869912385940552
12,1.1647061910480261e-05,90,0.3062048554420471,,
13,,97,,0.7588709592819214,0.2835996150970459
13,1.2925307601108216e-05,97,0.29821786284446716,,
14,,104,,0.7580645084381104,0.2796247601509094
14,1.4291535080701578e-05,104,0.2966410219669342,,
15,,111,,0.7564516067504883,0.27511969208717346
15,1.5742669347673655e-05,111,0.2913948893547058,,
16,,118,,0.7540322542190552,0.27221551537513733
16,1.7275442587560974e-05,118,0.2833091914653778,,
17,,125,,0.7552419900894165,0.2693130671977997
17,1.8886405086959712e-05,125,0.27946141362190247,,
18,,132,,0.7483870983123779,0.2692100703716278
18,2.0571924324030988e-05,132,0.2755078077316284,,
19,,139,,0.7403225898742676,0.27051112055778503
19,2.2328211343847215e-05,139,0.27455607056617737,,
20,,146,,0.7338709831237793,0.27318716049194336
20,2.4151308025466278e-05,146,0.2665271759033203,,
21,,153,,0.73427414894104,0.2745324969291687
21,2.603711254778318e-05,153,0.2643267810344696,,
22,,160,,0.72661292552948,0.277077317237854
22,2.7981373932561837e-05,160,0.26470616459846497,,
23,,167,,0.7254031896591187,0.2783701717853546
23,2.9979719329276122e-05,167,0.2670888602733612,,
24,,174,,0.7225806713104248,0.2767598628997803
24,3.2027644920162857e-05,174,0.27040666341781616,,
25,,181,,0.7217742204666138,0.27798670530319214
25,3.412054866203107e-05,181,0.2611895203590393,,
26,,188,,0.7217742204666138,0.28572988510131836
26,3.625369936344214e-05,188,0.27143099904060364,,
27,,195,,0.7245967388153076,0.2848573327064514
27,3.842230944428593e-05,195,0.265125036239624,,
28,,202,,0.7205644845962524,0.28921079635620117
28,4.0621500374982134e-05,202,0.24954207241535187,,
29,,209,,0.7165322303771973,0.2923283576965332
29,4.2846299038501456e-05,209,0.240949809551239,,
30,,216,,0.7145161628723145,0.2923335134983063
30,4.509171412792057e-05,216,0.23646436631679535,,
31,,223,,0.7084677219390869,0.2954525649547577
31,4.735268157674e-05,223,0.23442824184894562,,
