epoch,learning_rate,step,training_loss,validation_auroc,validation_loss
0,,12,,0.6741935610771179,0.3161093294620514
0,1.2000650713162031e-05,12,0.3251582086086273,,
1,,25,,0.6891129016876221,0.30908310413360596
1,1.2013448213110678e-05,25,0.31746864318847656,,
2,,38,,0.6737903356552124,0.3035730719566345
2,1.2049237739120144e-05,38,0.30749833583831787,,
3,,51,,0.6820564270019531,0.29787948727607727
3,1.2108017472201027e-05,51,0.2980249524116516,,
4,,64,,0.6967741847038269,0.29451218247413635
4,1.2189776498416904e-05,64,0.2964892089366913,,
5,,77,,0.67580646276474,0.29091742634773254
5,1.229450117534725e-05,77,0.2884913682937622,,
6,,90,,0.6997983455657959,0.28726840019226074
6,1.2422175132087432e-05,90,0.28285109996795654,,
7,,103,,0.7050403356552124,0.2849073112010956
7,1.2572776540764607e-05,103,0.2784639894962311,,
8,,116,,0.707862913608551,0.2833501696586609
8,1.2746284483000636e-05,116,0.2738156020641327,,
9,,129,,0.7088709473609924,0.2811083197593689
9,1.2942666216986254e-05,129,0.26955655217170715,,
10,,142,,0.7171370983123779,0.2801617980003357
10,1.316189536737511e-05,142,0.2683211863040924,,
11,,155,,0.7135080695152283,0.27940329909324646
11,1.3403935554379132e-05,155,0.26360854506492615,,
12,,168,,0.7368952035903931,0.2784489691257477
12,1.3668749488715548e-05,168,0.25742852687835693,,
13,,181,,0.7445564270019531,0.27886152267456055
13,1.3956288967165165e-05,181,0.2570110261440277,,
14,,194,,0.702217698097229,0.27948853373527527
14,1.4266513971961103e-05,194,0.2556874752044678,,
15,,207,,0.7399193644523621,0.2786570191383362
15,1.4599373571400065e-05,207,0.2521834373474121,,
16,,220,,0.7455644607543945,0.279644638299942
16,1.4954813195799943e-05,220,0.2476579248905182,,
17,,233,,0.7354838848114014,0.28251054883003235
17,1.5332776456489228e-05,233,0.24531136453151703,,
18,,246,,0.74213707447052,0.28231751918792725
18,1.5733203326817602e-05,246,0.2448497712612152,,
19,,259,,0.7455644607543945,0.2827892303466797
19,1.6156032870640047e-05,259,0.24093998968601227,,
20,,272,,0.7280242443084717,0.2839363217353821
20,1.6601194147369824e-05,272,0.23708988726139069,,
21,,285,,0.7185483574867249,0.2855406105518341
21,1.7068616216420196e-05,285,0.2352854162454605,,
22,,298,,0.7207661867141724,0.2865014374256134
22,1.755822631821502e-05,298,0.23112741112709045,,
23,,311,,0.7366935610771179,0.2919633090496063
23,1.8069940779241733e-05,311,0.22997143864631653,,
24,,324,,0.7554435729980469,0.2922235131263733
24,1.8603683201945387e-05,324,0.2305411398410797,,
25,,337,,0.7415323257446289,0.2959480583667755
25,1.915937173180282e-05,337,0.22100910544395447,,
26,,350,,0.7284274101257324,0.29628437757492065
26,1.973690996237565e-05,350,0.223087877035141,,
27,,363,,0.7618951797485352,0.2972511351108551
27,2.0336208763183095e-05,363,0.21173016726970673,,
28,,376,,0.7417339086532593,0.3033330738544464
28,2.095716990879737e-05,376,0.20693433284759521,,
29,,389,,0.7385081052780151,0.31187704205513
29,2.159970063075889e-05,389,0.20108263194561005,,
30,,402,,0.7254032492637634,0.32749143242836
30,2.226368997071404e-05,402,0.20214180648326874,,
31,,415,,0.7723790407180786,0.32528603076934814
31,2.2949041522224434e-05,415,0.1887807697057724,,
32,,428,,0.725806474685669,0.34230098128318787
32,2.3655640688957646e-05,428,0.18030673265457153,,
33,,441,,0.7129032015800476,0.35864266753196716
33,2.4383367417613044e-05,441,0.18856187164783478,,
34,,454,,0.7544354796409607,0.34766867756843567
34,2.513211984478403e-05,454,0.17825548350811005,,
35,,467,,0.7550402879714966,0.3515605628490448
35,2.5901768822222948e-05,467,0.16501952707767487,,
36,,480,,0.7193548679351807,0.4150967001914978
36,2.669219065865036e-05,480,0.16387604176998138,,
