epoch,learning_rate,step,training_loss,validation_auroc,validation_loss
0,,6,,0.48709675669670105,0.3342066705226898
0,4.0030536183621734e-06,6,0.3403572738170624,,
1,,13,,0.5874999761581421,0.33407485485076904
1,4.063194410264259e-06,13,0.3330066204071045,,
2,,20,,0.6306451559066772,0.3286222517490387
2,4.2312722143833525e-06,20,0.32051882147789,,
3,,27,,0.6645160913467407,0.3186749815940857
3,4.506909135670867e-06,27,0.323576956987381,,
4,,34,,0.6850806474685669,0.30796968936920166
4,4.889483989245491e-06,34,0.32206717133522034,,
5,,41,,0.6979838609695435,0.29906123876571655
5,5.3781350288772956e-06,41,0.3103347420692444,,
6,,48,,0.7056451439857483,0.2926611602306366
6,5.971763130219188e-06,48,0.2931513786315918,,
7,,55,,0.7088710069656372,0.2883455157279968
7,6.66903088131221e-06,55,0.29010477662086487,,
8,,62,,0.7169355154037476,0.28737422823905945
8,7.468368494301103e-06,62,0.2881867289543152,,
9,,69,,0.7241935729980469,0.28535205125808716
9,8.367976079171058e-06,69,0.2773200273513794,,
10,,76,,0.7290322780609131,0.27413126826286316
10,9.365828191221226e-06,76,0.27385425567626953,,
11,,83,,0.7322580814361572,0.2741674780845642
11,1.0459676559548825e-05,83,0.26751255989074707,,
12,,90,,0.7415322661399841,0.2836356461048126
12,1.1647061910480261e-05,90,0.2565847337245941,,
13,,97,,0.7487903237342834,0.2797493040561676
13,1.2925307601108216e-05,97,0.2532373070716858,,
14,,104,,0.7580645084381104,0.26875585317611694
14,1.4291535080701578e-05,104,0.24100226163864136,,
15,,111,,0.7633064985275269,0.2708788812160492
15,1.5742669347673655e-05,111,0.23645950853824615,,
16,,118,,0.7625000476837158,0.28457534313201904
16,1.7275442587560974e-05,118,0.22647419571876526,,
17,,125,,0.7653225660324097,0.28597787022590637
17,1.8886405086959712e-05,125,0.2199229747056961,,
18,,132,,0.7729839086532593,0.2763335406780243
18,2.0571924324030988e-05,132,0.22823680937290192,,
19,,139,,0.7786290645599365,0.2860845625400543
19,2.2328211343847215e-05,139,0.21145790815353394,,
20,,146,,0.7798386812210083,0.28394830226898193
20,2.4151308025466278e-05,146,0.20240287482738495,,
21,,153,,0.7810484170913696,0.3040768504142761
21,2.603711254778318e-05,153,0.19633100926876068,,
22,,160,,0.8052419424057007,0.33016201853752136
22,2.7981373932561837e-05,160,0.17974358797073364,,
23,,167,,0.7955645322799683,0.2789035439491272
23,2.9979719329276122e-05,167,0.18483830988407135,,
24,,174,,0.7870967388153076,0.28869640827178955
24,3.2027644920162857e-05,174,0.17004014551639557,,
25,,181,,0.7790322303771973,0.32454508543014526
25,3.412054866203107e-05,181,0.15674784779548645,,
26,,188,,0.7875000238418579,0.3413282334804535
26,3.625369936344214e-05,188,0.1362682431936264,,
27,,195,,0.7903225421905518,0.42025047540664673
27,3.842230944428593e-05,195,0.11628229916095734,,
28,,202,,0.789919376373291,0.4701727628707886
28,4.0621500374982134e-05,202,0.10777509212493896,,
29,,209,,0.7745968103408813,0.47256413102149963
29,4.2846299038501456e-05,209,0.13298846781253815,,
30,,216,,0.78911292552948,0.45007237792015076
30,4.509171412792057e-05,216,0.1102340966463089,,
