epoch,learning_rate,step,training_loss,validation_auroc,validation_loss
0,,6,,0.5983606576919556,0.32201287150382996
0,4.003178673883667e-06,6,0.32308173179626465,,
1,,13,,0.6188524961471558,0.320903480052948
1,4.06356912208139e-06,13,0.3222179114818573,,
2,,20,,0.6133196353912354,0.31995952129364014
2,4.231895673001418e-06,20,0.3213450610637665,,
3,,27,,0.6161885261535645,0.31925809383392334
3,4.507779976847814e-06,27,0.32029181718826294,,
4,,34,,0.6159836053848267,0.3185632526874542
4,4.890600393991917e-06,34,0.3194839656352997,,
5,,41,,0.6280737519264221,0.3178636133670807
5,5.379494268709095e-06,41,0.3187254071235657,,
6,,48,,0.6319671869277954,0.3171654939651489
6,5.973362021904904e-06,48,0.31811627745628357,,
7,,55,,0.6350409984588623,0.3164339065551758
7,6.670866696367739e-06,55,0.3172120451927185,,
8,,62,,0.6379098296165466,0.31565070152282715
8,7.470435775758233e-06,62,0.3163125514984131,,
9,,69,,0.623975396156311,0.3147871196269989
9,8.370270734303631e-06,69,0.3152907192707062,,
10,,76,,0.6229507923126221,0.31391099095344543
10,9.368345672555733e-06,76,0.31419870257377625,,
11,,83,,0.6276639699935913,0.3128524124622345
11,1.0462411410117056e-05,83,0.3132704496383667,,
12,,90,,0.6305328011512756,0.31180956959724426
12,1.1650006854324602e-05,90,0.3116888403892517,,
13,,97,,0.6102458834648132,0.3107912242412567
13,1.2928455362271052e-05,97,0.3101925849914551,,
14,,104,,0.6116803288459778,0.3097268342971802
14,1.42948802022147e-05,104,0.3087303638458252,,
15,,111,,0.5975409746170044,0.308710515499115
15,1.5746203644084744e-05,111,0.30743908882141113,,
16,,118,,0.6059426069259644,0.30732637643814087
16,1.7279158782912418e-05,118,0.30527350306510925,,
17,,125,,0.6059426069259644,0.3055095970630646
17,1.889029226731509e-05,125,0.30378198623657227,,
18,,132,,0.6057376861572266,0.30402058362960815
18,2.0575977032422088e-05,132,0.3014073967933655,,
19,,139,,0.61147540807724,0.3026598393917084
19,2.2332418666337617e-05,139,0.29964494705200195,,
20,,146,,0.6245901584625244,0.30114367604255676
20,2.4155660867108963e-05,146,0.29765331745147705,,
21,,153,,0.6340163946151733,0.29907456040382385
21,2.604159999464173e-05,153,0.2959620952606201,,
22,,160,,0.6436475515365601,0.297574907541275
22,2.7985990527668037e-05,160,0.29310569167137146,,
23,,167,,0.667622983455658,0.2958374619483948
23,2.9984450520714745e-05,167,0.2913271486759186,,
24,,174,,0.671721339225769,0.29476240277290344
24,3.203247979399748e-05,174,0.2892763614654541,,
25,,181,,0.6848360896110535,0.29295042157173157
25,3.412547448533587e-05,181,0.286639928817749,,
26,,188,,0.6909836530685425,0.2914341986179352
26,3.62587088602595e-05,188,0.28499478101730347,,
27,,195,,0.6995902061462402,0.2895687222480774
27,3.8427391700679436e-05,195,0.28261497616767883,,
28,,202,,0.6993851661682129,0.2880575656890869
28,4.062663720105775e-05,202,0.28026342391967773,,
29,,209,,0.699999988079071,0.28676721453666687
29,4.285148315830156e-05,209,0.27864784002304077,,
30,,216,,0.707377016544342,0.2858846187591553
30,4.509693826548755e-05,216,0.277178555727005,,
31,,223,,0.6827868819236755,0.2834758162498474
31,4.735793481813744e-05,223,0.27531611919403076,,
