epoch,learning_rate,step,training_loss,validation_auroc,validation_loss
0,,6,,0.641532301902771,0.32468828558921814
0,4.0030536183621734e-06,6,0.33000338077545166,,
1,,13,,0.6875,0.32158368825912476
1,4.063194410264259e-06,13,0.3244418203830719,,
2,,20,,0.7133064270019531,0.3184293806552887
2,4.2312722143833525e-06,20,0.3228224515914917,,
3,,27,,0.7383064031600952,0.31541529297828674
3,4.506909135670867e-06,27,0.3167479932308197,,
4,,34,,0.7451612949371338,0.3121022880077362
4,4.889483989245491e-06,34,0.31308239698410034,,
5,,41,,0.750806450843811,0.30892109870910645
5,5.3781350288772956e-06,41,0.31053704023361206,,
6,,48,,0.7528225779533386,0.3052142560482025
6,5.971763130219188e-06,48,0.3073127567768097,,
7,,55,,0.750806450843811,0.29957517981529236
7,6.66903088131221e-06,55,0.3064500093460083,,
8,,62,,0.7487903833389282,0.29460036754608154
8,7.468368494301103e-06,62,0.2982960641384125,,
9,,69,,0.75,0.2898741066455841
9,8.367976079171058e-06,69,0.2956927716732025,,
10,,76,,0.75,0.28630563616752625
10,9.365828191221226e-06,76,0.28749218583106995,,
11,,83,,0.7463709712028503,0.28323960304260254
11,1.0459676559548825e-05,83,0.2829902172088623,,
12,,90,,0.739112913608551,0.2784576416015625
12,1.1647061910480261e-05,90,0.27781200408935547,,
13,,97,,0.7379032373428345,0.2755497992038727
13,1.2925307601108216e-05,97,0.27008056640625,,
14,,104,,0.7354838848114014,0.27268847823143005
14,1.4291535080701578e-05,104,0.26733314990997314,,
15,,111,,0.7350807189941406,0.27042391896247864
15,1.5742669347673655e-05,111,0.26400434970855713,,
16,,118,,0.7342742681503296,0.2713030278682709
16,1.7275442587560974e-05,118,0.25980469584465027,,
17,,125,,0.733467698097229,0.26942336559295654
17,1.8886405086959712e-05,125,0.254772424697876,,
18,,132,,0.733467698097229,0.2709783911705017
18,2.0571924324030988e-05,132,0.25403156876564026,,
19,,139,,0.7358870506286621,0.27004289627075195
19,2.2328211343847215e-05,139,0.2504672408103943,,
20,,146,,0.7286290526390076,0.27555158734321594
20,2.4151308025466278e-05,146,0.24647486209869385,,
21,,153,,0.7250000238418579,0.27372363209724426
21,2.603711254778318e-05,153,0.2443738579750061,,
22,,160,,0.7177419066429138,0.2744961082935333
22,2.7981373932561837e-05,160,0.24479833245277405,,
23,,167,,0.7161290645599365,0.28286296129226685
23,2.9979719329276122e-05,167,0.23711669445037842,,
24,,174,,0.7137096524238586,0.2771572172641754
24,3.2027644920162857e-05,174,0.2298990935087204,,
25,,181,,0.7165322303771973,0.2872738838195801
25,3.412054866203107e-05,181,0.2316104918718338,,
26,,188,,0.7102822661399841,0.278751403093338
26,3.625369936344214e-05,188,0.23188191652297974,,
27,,195,,0.7094758152961731,0.28639698028564453
27,3.842230944428593e-05,195,0.2256070226430893,,
28,,202,,0.7139112949371338,0.2781515121459961
28,4.0621500374982134e-05,202,0.2163713574409485,,
29,,209,,0.7052419185638428,0.2988366484642029
29,4.2846299038501456e-05,209,0.22216860949993134,,
30,,216,,0.7056452035903931,0.28452256321907043
30,4.509171412792057e-05,216,0.21021436154842377,,
31,,223,,0.7046371102333069,0.29044216871261597
31,4.735268157674e-05,223,0.21073797345161438,,
