epoch,learning_rate,step,training_auroc,training_loss,validation_auroc,validation_loss
0,,6,,,0.5346773862838745,0.8767231702804565
0,4.0030536183621734e-06,6,0.46032387018203735,0.8277985453605652,,
1,,13,,,0.448387086391449,0.8153877854347229
1,4.063194410264259e-06,13,0.45298582315444946,0.7773643136024475,,
2,,20,,,0.46814513206481934,0.7613921165466309
2,4.2312722143833525e-06,20,0.44453442096710205,0.7406429648399353,,
3,,27,,,0.49233871698379517,0.7238185405731201
3,4.506909135670867e-06,27,0.45976722240448,0.7143834829330444,,
4,,34,,,0.4375,0.700788140296936
4,4.889483989245491e-06,34,0.47914981842041016,0.7030865550041199,,
5,,41,,,0.4955645203590393,0.6866915225982666
5,5.3781350288772956e-06,41,0.4989372491836548,0.6971887946128845,,
6,,48,,,0.6173386573791504,0.6653836369514465
6,5.971763130219188e-06,48,0.5365384817123413,0.6929423213005066,,
7,,55,,,0.7233871221542358,0.654910683631897
7,6.66903088131221e-06,55,0.6158906817436218,0.6803879141807556,,
8,,62,,,0.7173386812210083,0.6513129472732544
8,7.468368494301103e-06,62,0.6325911283493042,0.6749083995819092,,
9,,69,,,0.7887096405029297,0.6388586163520813
9,8.367976079171058e-06,69,0.6685981750488281,0.662449061870575,,
10,,76,,,0.8072580695152283,0.6265428066253662
10,9.365828191221226e-06,76,0.6996204853057861,0.6478736996650696,,
11,,83,,,0.7939516305923462,0.6177003383636475
11,1.0459676559548825e-05,83,0.7206730842590332,0.6349347829818726,,
12,,90,,,0.8088710308074951,0.597446620464325
12,1.1647061910480261e-05,90,0.7302885055541992,0.6221334338188171,,
13,,97,,,0.8120967149734497,0.576169490814209
13,1.2925307601108216e-05,97,0.7337044477462769,0.6097642779350281,,
14,,104,,,0.8274192810058594,0.5507863759994507
14,1.4291535080701578e-05,104,0.7663460969924927,0.5949311852455139,,
15,,111,,,0.7955645322799683,0.557802140712738
15,1.5742669347673655e-05,111,0.7529352307319641,0.5832295417785645,,
16,,118,,,0.8330645561218262,0.5337464213371277
16,1.7275442587560974e-05,118,0.75,0.580120861530304,,
17,,125,,,0.805645227432251,0.5276434421539307
17,1.8886405086959712e-05,125,0.7619938850402832,0.5675490498542786,,
18,,132,,,0.8024193048477173,0.5249807834625244
18,2.0571924324030988e-05,132,0.7583502531051636,0.5612960457801819,,
19,,139,,,0.8197580575942993,0.5238780379295349
19,2.2328211343847215e-05,139,0.7753036618232727,0.5471760630607605,,
20,,146,,,0.8012096881866455,0.526641309261322
20,2.4151308025466278e-05,146,0.7702934741973877,0.5479976534843445,,
21,,153,,,0.7947580814361572,0.5170223116874695
21,2.603711254778318e-05,153,0.7842105627059937,0.5346606969833374,,
22,,160,,,0.8076612949371338,0.5099790096282959
22,2.7981373932561837e-05,160,0.779529333114624,0.534623384475708,,
23,,167,,,0.7939516305923462,0.5160544514656067
23,2.9979719329276122e-05,167,0.7957996129989624,0.5266600847244263,,
24,,174,,,0.7870967388153076,0.530888557434082
24,3.2027644920162857e-05,174,0.809918999671936,0.5189381837844849,,
25,,181,,,0.772580623626709,0.5245696306228638
25,3.412054866203107e-05,181,0.8220900297164917,0.5079888701438904,,
26,,188,,,0.7818548679351807,0.5249074101448059
26,3.625369936344214e-05,188,0.8335020542144775,0.5029623508453369,,
27,,195,,,0.7681452035903931,0.5366443991661072
27,3.842230944428593e-05,195,0.8321356177330017,0.4995461702346802,,
28,,202,,,0.7866935729980469,0.5241398811340332
28,4.0621500374982134e-05,202,0.8339574933052063,0.5009490251541138,,
29,,209,,,0.7649194002151489,0.5346039533615112
29,4.2846299038501456e-05,209,0.8591092824935913,0.4792807102203369,,
30,,216,,,0.7528226375579834,0.5495560765266418
30,4.509171412792057e-05,216,0.8675101399421692,0.46584969758987427,,
31,,223,,,0.77338707447052,0.5483946800231934
31,4.735268157674e-05,223,0.8845394849777222,0.45022180676460266,,
