epoch,learning_rate,step,training_auroc,training_loss,validation_auroc,validation_loss
0,,6,,,0.52338707447052,0.7251279950141907
0,4.0030536183621734e-06,6,0.5621457099914551,0.7053146362304688,,
1,,13,,,0.5171371102333069,0.7072964906692505
1,4.063194410264259e-06,13,0.5840587615966797,0.6890886425971985,,
2,,20,,,0.6036289930343628,0.6811491250991821
2,4.2312722143833525e-06,20,0.6161943078041077,0.6821175217628479,,
3,,27,,,0.6149193644523621,0.6737551689147949
3,4.506909135670867e-06,27,0.6504554748535156,0.6746379733085632,,
4,,34,,,0.5983871221542358,0.6740726232528687
4,4.889483989245491e-06,34,0.7215334177017212,0.6629533171653748,,
5,,41,,,0.6576613187789917,0.6618155837059021
5,5.3781350288772956e-06,41,0.6838563084602356,0.6665458083152771,,
6,,48,,,0.6993951797485352,0.6579420566558838
6,5.971763130219188e-06,48,0.7096154093742371,0.65788334608078,,
7,,55,,,0.6758064031600952,0.6622872352600098
7,6.66903088131221e-06,55,0.7515688538551331,0.6437178254127502,,
8,,62,,,0.6927419304847717,0.6566811203956604
8,7.468368494301103e-06,62,0.7580971717834473,0.638095498085022,,
9,,69,,,0.6891129016876221,0.6480376124382019
9,8.367976079171058e-06,69,0.7663967609405518,0.6268841028213501,,
10,,76,,,0.6816532611846924,0.6424738764762878
10,9.365828191221226e-06,76,0.7952429056167603,0.6124109625816345,,
11,,83,,,0.6675403118133545,0.6418352127075195
11,1.0459676559548825e-05,83,0.7849949598312378,0.6009660363197327,,
12,,90,,,0.6943548917770386,0.6287199258804321
12,1.1647061910480261e-05,90,0.7960273027420044,0.5856069326400757,,
13,,97,,,0.72661292552948,0.61473149061203
13,1.2925307601108216e-05,97,0.801796555519104,0.5703949928283691,,
14,,104,,,0.7040322422981262,0.6044096350669861
14,1.4291535080701578e-05,104,0.810045599937439,0.5536230206489563,,
15,,111,,,0.7141128778457642,0.6000658869743347
15,1.5742669347673655e-05,111,0.8117408752441406,0.5414597392082214,,
16,,118,,,0.7286290526390076,0.6217616200447083
16,1.7275442587560974e-05,118,0.8120698928833008,0.525154173374176,,
17,,125,,,0.7217742204666138,0.5828222036361694
17,1.8886405086959712e-05,125,0.8230010271072388,0.5084643363952637,,
18,,132,,,0.7250000238418579,0.5840700268745422
18,2.0571924324030988e-05,132,0.83476722240448,0.49449506402015686,,
19,,139,,,0.7024194002151489,0.6250698566436768
19,2.2328211343847215e-05,139,0.8436235189437866,0.47736573219299316,,
20,,146,,,0.7270161509513855,0.5893875360488892
20,2.4151308025466278e-05,146,0.8551113605499268,0.4647471606731415,,
21,,153,,,0.7572580575942993,0.5700676441192627
21,2.603711254778318e-05,153,0.8626518249511719,0.4530250132083893,,
22,,160,,,0.7479838728904724,0.5986325740814209
22,2.7981373932561837e-05,160,0.8812500238418579,0.43756580352783203,,
23,,167,,,0.7431451678276062,0.5730875134468079
23,2.9979719329276122e-05,167,0.9022266864776611,0.4242529273033142,,
24,,174,,,0.7465726137161255,0.6700181365013123
24,3.2027644920162857e-05,174,0.8914726972579956,0.42761191725730896,,
25,,181,,,0.7487903237342834,0.6002513766288757
25,3.412054866203107e-05,181,0.9105010032653809,0.3895239531993866,,
26,,188,,,0.7451612949371338,0.6220304369926453
26,3.625369936344214e-05,188,0.8889676332473755,0.40449172258377075,,
27,,195,,,0.7352822422981262,0.70231693983078
27,3.842230944428593e-05,195,0.9387145042419434,0.3431909680366516,,
28,,202,,,0.7471773624420166,0.6528816819190979
28,4.0621500374982134e-05,202,0.9181933403015137,0.3575337827205658,,
29,,209,,,0.7560483813285828,0.6486660838127136
29,4.2846299038501456e-05,209,0.9475961327552795,0.30022236704826355,,
30,,216,,,0.7322580814361572,0.7517815232276917
30,4.509171412792057e-05,216,0.9514676332473755,0.2902522385120392,,
31,,223,,,0.7397177219390869,0.79803067445755
31,4.735268157674e-05,223,0.9407389163970947,0.3005550801753998,,
