epoch,learning_rate,step,training_auroc,training_loss,validation_auroc,validation_loss
0,,6,,,0.5692622661590576,0.6886308789253235
0,4.003178673883667e-06,6,0.5649445652961731,0.6898342967033386,,
1,,13,,,0.5950819253921509,0.690861701965332
1,4.06356912208139e-06,13,0.5821320414543152,0.6861467361450195,,
2,,20,,,0.5524590015411377,0.689886212348938
2,4.231895673001418e-06,20,0.5716733932495117,0.6845559477806091,,
3,,27,,,0.5799180269241333,0.6843554973602295
3,4.507779976847814e-06,27,0.5927923917770386,0.681201696395874,,
4,,34,,,0.5854508280754089,0.6821097135543823
4,4.890600393991917e-06,34,0.6444052457809448,0.6731074452400208,,
5,,41,,,0.5877048969268799,0.6796315908432007
5,5.379494268709095e-06,41,0.6169103384017944,0.676085352897644,,
6,,48,,,0.578278660774231,0.6843149662017822
6,5.973362021904904e-06,48,0.607711672782898,0.6753337383270264,,
7,,55,,,0.5770491361618042,0.6875201463699341
7,6.670866696367739e-06,55,0.6125503778457642,0.6759724617004395,,
8,,62,,,0.6028688549995422,0.683014988899231
8,7.470435775758233e-06,62,0.6349798440933228,0.6685885787010193,,
9,,69,,,0.6028688549995422,0.6780622601509094
9,8.370270734303631e-06,69,0.6610887050628662,0.6606512665748596,,
10,,76,,,0.5790983438491821,0.6753578782081604
10,9.368345672555733e-06,76,0.657106876373291,0.6593473553657532,,
11,,83,,,0.5983606576919556,0.666526198387146
11,1.0462411410117056e-05,83,0.6490675210952759,0.6605710983276367,,
12,,90,,,0.6409835815429688,0.6703145503997803
12,1.1650006854324602e-05,90,0.6694556474685669,0.6558857560157776,,
13,,97,,,0.6139343976974487,0.6948918104171753
13,1.2928455362271052e-05,97,0.6362903118133545,0.6659566164016724,,
14,,104,,,0.631147563457489,0.6547324061393738
14,1.42948802022147e-05,104,0.6756552457809448,0.651194155216217,,
15,,111,,,0.612704873085022,0.6729938983917236
15,1.5746203644084744e-05,111,0.6820060610771179,0.6459612846374512,,
16,,118,,,0.6495901346206665,0.6712692379951477
16,1.7279158782912418e-05,118,0.7029485702514648,0.6360980868339539,,
17,,125,,,0.6364754438400269,0.6578317880630493
17,1.889029226731509e-05,125,0.686643123626709,0.6385178565979004,,
18,,132,,,0.639754056930542,0.6753661632537842
18,2.0575977032422088e-05,132,0.7151966094970703,0.6263682246208191,,
19,,139,,,0.671721339225769,0.6398928761482239
19,2.2332418666337617e-05,139,0.7176159620285034,0.6222923398017883,,
20,,146,,,0.6622951030731201,0.6486734747886658
20,2.4155660867108963e-05,146,0.720942497253418,0.6256973147392273,,
21,,153,,,0.6784836053848267,0.6578550338745117
21,2.604159999464173e-05,153,0.7423890829086304,0.6100860834121704,,
22,,160,,,0.6745901703834534,0.6327186822891235
22,2.7985990527668037e-05,160,0.7492944002151489,0.6048392653465271,,
23,,167,,,0.6823770403862,0.6401039958000183
23,2.9984450520714745e-05,167,0.7564011812210083,0.5930083990097046,,
24,,174,,,0.6844262480735779,0.6465845108032227
24,3.203247979399748e-05,174,0.7740423679351807,0.5779759287834167,,
25,,181,,,0.6965163946151733,0.6453213095664978
25,3.412547448533587e-05,181,0.7447832822799683,0.5958020687103271,,
26,,188,,,0.7108606696128845,0.6592435240745544
26,3.62587088602595e-05,188,0.7711441516876221,0.5739975571632385,,
27,,195,,,0.7233606576919556,0.5933923125267029
27,3.8427391700679436e-05,195,0.7517389059066772,0.594788670539856,,
28,,202,,,0.7141393423080444,0.5938730835914612
28,4.062663720105775e-05,202,0.77744460105896,0.5663184523582458,,
29,,209,,,0.7176229357719421,0.6257878541946411
29,4.285148315830156e-05,209,0.7909274101257324,0.5563836693763733,,
30,,216,,,0.6973360776901245,0.6740586161613464
30,4.509693826548755e-05,216,0.8025201559066772,0.539077639579773,,
31,,223,,,0.707172155380249,0.5981053113937378
31,4.735793481813744e-05,223,0.8347278237342834,0.5124311447143555,,
