epoch,learning_rate,step,training_auroc,training_coral_loss,training_loss,training_source_loss,training_total_loss,validation_auroc,validation_loss
0,,6,,,,,,0.5346773862838745,0.6998178362846375
0,4.0030536183621734e-06,6,0.5639359951019287,5.9821151808137074e-05,0.6906651258468628,0.690662145614624,0.6906651258468628,,
1,,13,,,,,,0.5556451082229614,0.6980037093162537
1,4.063194410264259e-06,13,0.5765941143035889,6.014140308252536e-05,0.6892346143722534,0.6892316341400146,0.6892346143722534,,
2,,20,,,,,,0.5737903118133545,0.695469856262207
2,4.2312722143833525e-06,20,0.5946229696273804,5.48296156921424e-05,0.687397301197052,0.6873944997787476,0.687397301197052,,
3,,27,,,,,,0.5919355154037476,0.6934055089950562
3,4.506909135670867e-06,27,0.6050606966018677,6.0474532801890746e-05,0.6860259175300598,0.6860228776931763,0.6860259175300598,,
4,,34,,,,,,0.6064516305923462,0.6916190981864929
4,4.889483989245491e-06,34,0.6321103572845459,5.9150617744307965e-05,0.6839189529418945,0.6839159727096558,0.6839189529418945,,
5,,41,,,,,,0.6141128540039062,0.6902560591697693
5,5.3781350288772956e-06,41,0.6302884817123413,5.6308421335415915e-05,0.6829284429550171,0.6829256415367126,0.6829284429550171,,
6,,48,,,,,,0.6262096762657166,0.6882734298706055
6,5.971763130219188e-06,48,0.6468876600265503,5.534358570002951e-05,0.6813081502914429,0.6813052892684937,0.6813081502914429,,
7,,55,,,,,,0.6451612710952759,0.6844750046730042
7,6.66903088131221e-06,55,0.6612601280212402,5.4000985983293504e-05,0.6787254214286804,0.6787227392196655,0.6787254214286804,,
8,,62,,,,,,0.6540322303771973,0.683239758014679
8,7.468368494301103e-06,62,0.6751518249511719,5.770315692643635e-05,0.6762232780456543,0.6762204170227051,0.6762232780456543,,
9,,69,,,,,,0.6580644845962524,0.6814906597137451
9,8.367976079171058e-06,69,0.6872722506523132,6.308604497462511e-05,0.6741768717765808,0.6741737723350525,0.6741768717765808,,
10,,76,,,,,,0.6745967864990234,0.679010808467865
10,9.365828191221226e-06,76,0.6869432926177979,5.9554597100941464e-05,0.6719677448272705,0.6719647645950317,0.6719677448272705,,
11,,83,,,,,,0.6854838728904724,0.67615807056427
11,1.0459676559548825e-05,83,0.6945091485977173,6.154011498438194e-05,0.6692845821380615,0.6692816019058228,0.6692845821380615,,
12,,90,,,,,,0.6943548917770386,0.6736440658569336
12,1.1647061910480261e-05,90,0.7066549062728882,6.116592703619972e-05,0.6654976606369019,0.6654945611953735,0.6654976606369019,,
13,,97,,,,,,0.6903225779533386,0.6685702800750732
13,1.2925307601108216e-05,97,0.7073886394500732,6.0735470469808206e-05,0.663072943687439,0.6630699634552002,0.663072943687439,,
14,,104,,,,,,0.7000000476837158,0.6638984680175781
14,1.4291535080701578e-05,104,0.7191802263259888,6.517795554827899e-05,0.6581836342811584,0.6581804156303406,0.6581836342811584,,
15,,111,,,,,,0.7008064985275269,0.6592968106269836
15,1.5742669347673655e-05,111,0.7191548347473145,6.137271702755243e-05,0.6551530361175537,0.6551499366760254,0.6551530361175537,,
16,,118,,,,,,0.704032301902771,0.6564912796020508
16,1.7275442587560974e-05,118,0.7199139595031738,6.736516661476344e-05,0.6513456702232361,0.6513422727584839,0.6513456702232361,,
17,,125,,,,,,0.7076612710952759,0.6543258428573608
17,1.8886405086959712e-05,125,0.7239625453948975,6.989332177909091e-05,0.646804690361023,0.6468011736869812,0.646804690361023,,
18,,132,,,,,,0.7096774578094482,0.6498973369598389
18,2.0571924324030988e-05,132,0.7233805656433105,7.615125650772825e-05,0.6424214243888855,0.6424174904823303,0.6424214243888855,,
19,,139,,,,,,0.7028225660324097,0.6432639956474304
19,2.2328211343847215e-05,139,0.7251012325286865,7.796968566253781e-05,0.637813925743103,0.6378100514411926,0.637813925743103,,
20,,146,,,,,,0.7052419185638428,0.6392185688018799
20,2.4151308025466278e-05,146,0.7285424470901489,8.320389315485954e-05,0.6327459216117859,0.6327416896820068,0.6327459216117859,,
21,,153,,,,,,0.7084677219390869,0.6338019371032715
21,2.603711254778318e-05,153,0.7291750907897949,9.152492566499859e-05,0.6287634968757629,0.62875896692276,0.6287634968757629,,
22,,160,,,,,,0.704032301902771,0.6328406929969788
22,2.7981373932561837e-05,160,0.7328694462776184,9.786488953977823e-05,0.6224954128265381,0.6224905252456665,0.6224954128265381,,
23,,167,,,,,,0.7129032611846924,0.6316885352134705
23,2.9979719329276122e-05,167,0.7297317981719971,0.00010679180559236556,0.6196497678756714,0.6196444034576416,0.6196497678756714,,
24,,174,,,,,,0.7145161628723145,0.6265847682952881
24,3.2027644920162857e-05,174,0.7327935695648193,0.00011819590872619301,0.6140522360801697,0.6140462756156921,0.6140522360801697,,
25,,181,,,,,,0.7153226137161255,0.6203461289405823
25,3.412054866203107e-05,181,0.7351467609405518,0.00011938714305870235,0.6082072257995605,0.608201265335083,0.6082072257995605,,
26,,188,,,,,,0.7064516544342041,0.618238627910614
26,3.625369936344214e-05,188,0.7364119291305542,0.0001362633629469201,0.6044682264328003,0.6044614315032959,0.6044682264328003,,
27,,195,,,,,,0.7124999761581421,0.6144968867301941
27,3.842230944428593e-05,195,0.7396001815795898,0.000156823851284571,0.5982442498207092,0.5982363820075989,0.5982442498207092,,
28,,202,,,,,,0.7173386812210083,0.6082639694213867
28,4.0621500374982134e-05,202,0.7345900535583496,0.00018829639884643257,0.5962206721305847,0.596211314201355,0.5962206721305847,,
29,,209,,,,,,0.7141128778457642,0.6058196425437927
29,4.2846299038501456e-05,209,0.7415739297866821,0.00018989975797012448,0.5910191535949707,0.5910096168518066,0.5910191535949707,,
30,,216,,,,,,0.7161290645599365,0.6035820841789246
30,4.509171412792057e-05,216,0.7433704137802124,0.00022421656467486173,0.5849871635437012,0.5849759578704834,0.5849871635437012,,
31,,223,,,,,,0.7181451320648193,0.6050118207931519
31,4.735268157674e-05,223,0.744104266166687,0.00024706064141355455,0.5827462673187256,0.5827338695526123,0.5827462673187256,,
