epoch,learning_rate,step,training_auroc,training_coral_loss,training_coral_weight,training_loss,training_source_loss,training_total_loss,validation_auroc,validation_loss
0,,6,,,,,,,0.5368951559066772,0.7369641065597534
0,4.001942670583958e-06,6,0.5518471598625183,5.971902282908559e-05,0.05000000074505806,0.7074143886566162,0.7074114680290222,0.7074143886566162,,
1,,13,,,,,,,0.5177419185638428,0.7276325821876526
1,4.040205567434896e-06,13,0.554023265838623,6.298574589891359e-05,0.10000000149011612,0.7025244832038879,0.702518105506897,0.7025244832038879,,
2,,20,,,,,,,0.5074597001075745,0.7194200158119202
2,4.147169875068357e-06,20,0.5691041946411133,6.149491673568264e-05,0.14999999105930328,0.6981514692306519,0.6981422305107117,0.6981514692306519,,
3,,27,,,,,,,0.4979838728904724,0.7120820879936218
3,4.322683253121795e-06,27,0.5702176094055176,6.0344540543155745e-05,0.20000000298023224,0.6954165101051331,0.6954044103622437,0.6954165101051331,,
4,,34,,,,,,,0.5229839086532593,0.7072534561157227
4,4.566494226310169e-06,34,0.5812753438949585,5.886448343517259e-05,0.25,0.692280113697052,0.6922654509544373,0.692280113697052,,
5,,41,,,,,,,0.5409274101257324,0.7014631628990173
5,4.878252639173297e-06,41,0.5990384817123413,6.003927774145268e-05,0.29999998211860657,0.6896284222602844,0.6896104216575623,0.6896284222602844,,
6,,48,,,,,,,0.5495967864990234,0.6958858370780945
6,5.25751283930731e-06,48,0.6059210300445557,6.17200494161807e-05,0.3499999940395355,0.6877873539924622,0.6877657175064087,0.6877873539924622,,
7,,55,,,,,,,0.5461693406105042,0.6924914121627808
7,5.7037318583752494e-06,55,0.61601722240448,5.845251871505752e-05,0.4000000059604645,0.6856948137283325,0.6856714487075806,0.6856948137283325,,
8,,62,,,,,,,0.542137086391449,0.6890264749526978
8,6.2162680478650145e-06,62,0.6276822090148926,5.7620753068476915e-05,0.45000001788139343,0.6841182708740234,0.6840922832489014,0.6841182708740234,,
9,,69,,,,,,,0.5445564389228821,0.6870648860931396
9,6.794390628783731e-06,69,0.6511386632919312,6.210885476320982e-05,0.5,0.6816002726554871,0.6815693378448486,0.6816002726554871,,
10,,76,,,,,,,0.5524193644523621,0.6836730241775513
10,7.437268777721329e-06,76,0.670040488243103,5.7622368331067264e-05,0.5,0.6786779165267944,0.6786491274833679,0.6786779165267944,,
11,,83,,,,,,,0.5665322542190552,0.6824987530708313
11,8.143982995534316e-06,83,0.6799595355987549,5.780228093499318e-05,0.5,0.6761559247970581,0.676127016544342,0.6761559247970581,,
12,,90,,,,,,,0.5657258033752441,0.6815559267997742
12,8.913521014619619e-06,90,0.6852226853370667,6.450436194427311e-05,0.5,0.6741895079612732,0.6741572022438049,0.6741895079612732,,
13,,97,,,,,,,0.5758064389228821,0.6810043454170227
13,9.744779163156636e-06,97,0.6980769634246826,5.770698771812022e-05,0.5,0.6708926558494568,0.6708638072013855,0.6708926558494568,,
14,,104,,,,,,,0.5804435610771179,0.6807572841644287
14,1.0636567822075449e-05,104,0.7075721025466919,6.266925629461184e-05,0.5,0.6672197580337524,0.6671884655952454,0.6672197580337524,,
15,,111,,,,,,,0.5864919424057007,0.678996205329895
15,1.1587609151320066e-05,111,0.7125252485275269,6.270118319662288e-05,0.5,0.6644580364227295,0.6644266843795776,0.6644580364227295,,
16,,118,,,,,,,0.5925402641296387,0.6761393547058105
16,1.2596541637321934e-05,118,0.7164220809936523,6.391281931428239e-05,0.5,0.6611275672912598,0.6610956192016602,0.6611275672912598,,
17,,125,,,,,,,0.5814516544342041,0.6724416613578796
17,1.366191736451583e-05,125,0.7259615659713745,6.785398727515712e-05,0.5,0.657180666923523,0.6571468114852905,0.657180666923523,,
18,,132,,,,,,,0.5870967507362366,0.6683295965194702
18,1.4782214748265687e-05,132,0.7319837808609009,6.930908421054482e-05,0.5,0.6530624032020569,0.6530276536941528,0.6530624032020569,,
19,,139,,,,,,,0.5985887050628662,0.6634700298309326
19,1.5955825801938772e-05,139,0.7377277612686157,6.620929343625903e-05,0.5,0.6487906575202942,0.6487574577331543,0.6487906575202942,,
20,,146,,,,,,,0.6050403118133545,0.661623477935791
20,1.7181064322357997e-05,146,0.7420799732208252,7.251948409248143e-05,0.5,0.6438725590705872,0.6438363194465637,0.6438725590705872,,
21,,153,,,,,,,0.6108871102333069,0.6613129377365112
21,1.845618498919066e-05,153,0.7449898719787598,7.021016062935814e-05,0.5,0.6385619044303894,0.6385267972946167,0.6385619044303894,,
22,,160,,,,,,,0.6247983574867249,0.6604109406471252
22,1.9779357899096794e-05,160,0.7459261417388916,7.692747021792457e-05,0.5,0.6338765025138855,0.6338379979133606,0.6338765025138855,,
23,,167,,,,,,,0.625,0.6607574820518494
23,2.1148687665117905e-05,167,0.7462044358253479,8.699080353835598e-05,0.5,0.6290509104728699,0.6290073990821838,0.6290509104728699,,
24,,174,,,,,,,0.6233870983123779,0.6570020914077759
24,2.256220977869816e-05,174,0.7478744983673096,8.539442933397368e-05,0.5,0.6237885355949402,0.623745858669281,0.6237885355949402,,
25,,181,,,,,,,0.6288306713104248,0.6548610925674438
25,2.401790152362082e-05,181,0.7497469186782837,8.84538603713736e-05,0.5,0.6180914640426636,0.6180472373962402,0.6180914640426636,,
26,,188,,,,,,,0.6391129493713379,0.65156489610672
26,2.551367288106121e-05,188,0.7507338523864746,0.00010105931869475171,0.5,0.6128963828086853,0.6128458976745605,0.6128963828086853,,
27,,195,,,,,,,0.6358871459960938,0.6480768918991089
27,2.7047391995438375e-05,195,0.756123423576355,0.0001052556763170287,0.5,0.6067695617675781,0.6067169308662415,0.6067695617675781,,
28,,202,,,,,,,0.6397177577018738,0.6444560289382935
28,2.8616854251595214e-05,202,0.7519737482070923,0.00011442293180152774,0.5,0.6028979420661926,0.6028407216072083,0.6028979420661926,,
29,,209,,,,,,,0.6354838609695435,0.6367993354797363
29,3.0219811378628947e-05,209,0.7563512325286865,0.0001410905970260501,0.5,0.5970488786697388,0.5969783663749695,0.5970488786697388,,
30,,216,,,,,,,0.6364918947219849,0.6416414976119995
30,3.1853971449891105e-05,216,0.7561234831809998,0.00013892272545490414,0.5,0.5932480692863464,0.5931786298751831,0.5932480692863464,,
31,,223,,,,,,,0.6368951201438904,0.6434642672538757
31,3.351698615006171e-05,223,0.7596406936645508,0.00016003234486561269,0.5,0.5880919098854065,0.5880118608474731,0.5880919098854065,,
32,,230,,,,,,,0.6526209712028503,0.6448710560798645
32,3.5206474422011524e-05,230,0.7603238821029663,0.0001870958076324314,0.5,0.5823003053665161,0.5822067260742188,0.5823003053665161,,
33,,237,,,,,,,0.6391129493713379,0.63690185546875
33,3.692002792377025e-05,237,0.7616143226623535,0.00022181686654221267,0.5,0.5789378881454468,0.5788269639015198,0.5789378881454468,,
34,,244,,,,,,,0.638911247253418,0.634701669216156
34,3.865517646772787e-05,244,0.7651821374893188,0.00020988188043702394,0.5,0.5757795572280884,0.5756746530532837,0.5757795572280884,,
35,,251,,,,,,,0.6522177457809448,0.6482319831848145
35,4.0409446228295565e-05,251,0.7640435099601746,0.000253769860137254,0.5,0.5726354122161865,0.5725085139274597,0.5726354122161865,,
36,,258,,,,,,,0.6445564031600952,0.6332538723945618
36,4.2180319724138826e-05,258,0.7706983089447021,0.0002574934624135494,0.5,0.5677213668823242,0.5675926804542542,0.5677213668823242,,
37,,265,,,,,,,0.6419354677200317,0.6360870599746704
37,4.396525037009269e-05,265,0.7754300832748413,0.00029057529172860086,0.5,0.5625197887420654,0.562374472618103,0.5625197887420654,,
38,,272,,,,,,,0.6524193286895752,0.6517722010612488
38,4.5761698856949806e-05,272,0.7749999761581421,0.00031896287691779435,0.5,0.5593587756156921,0.5591992735862732,0.5593587756156921,,
39,,279,,,,,,,0.6368951797485352,0.6372079849243164
39,4.756708221975714e-05,279,0.7782894372940063,0.00035417175968177617,0.5,0.555060625076294,0.5548835396766663,0.555060625076294,,
