epoch,learning_rate,step,training_auroc,training_coral_loss,training_coral_weight,training_loss,training_source_loss,training_total_loss,validation_auroc,validation_loss
0,,6,,,,,,,0.6282258033752441,0.6697352528572083
0,4.000557510153158e-06,6,0.5550354719161987,0.00017429279978387058,0.02500000223517418,0.6889857053756714,0.6889813542366028,0.6889857053756714,,
1,,13,,,,,,,0.664919376373291,0.6684327125549316
1,4.011530563730048e-06,13,0.5793522596359253,0.0001899037160910666,0.05000000447034836,0.6842678189277649,0.6842584013938904,0.6842678189277649,,
2,,20,,,,,,,0.6391129493713379,0.6743451356887817
2,4.042216914967867e-06,20,0.5802884697914124,0.00017370279238093644,0.07499999552965164,0.683442234992981,0.6834291815757751,0.683442234992981,,
3,,27,,,,,,,0.6963709592819214,0.6708620190620422
3,4.092603376193438e-06,27,0.6119179725646973,0.00017204364121425897,0.10000000894069672,0.6777268648147583,0.6777097582817078,0.6777268648147583,,
4,,34,,,,,,,0.6951613426208496,0.6669305562973022
4,4.162671302765375e-06,34,0.6194584965705872,0.00017795943131204695,0.125,0.6748604774475098,0.6748381853103638,0.6748604774475098,,
5,,41,,,,,,,0.7278226017951965,0.6535220146179199
5,4.252387952874415e-06,41,0.6484564542770386,0.00018026219913735986,0.14999999105930328,0.6699697375297546,0.6699427366256714,0.6699697375297546,,
6,,48,,,,,,,0.7250000238418579,0.6526175141334534
6,4.3617214942059945e-06,48,0.683830976486206,0.0001932096347445622,0.17499998211860657,0.6604657769203186,0.6604320406913757,0.6604657769203186,,
7,,55,,,,,,,0.7786290645599365,0.6392502188682556
7,4.49062326879357e-06,55,0.7035425305366516,0.00018494261894375086,0.20000001788139343,0.654398500919342,0.6543614864349365,0.654398500919342,,
8,,62,,,,,,,0.7483870983123779,0.6340116858482361
8,4.639040525944438e-06,62,0.6980262994766235,0.00017883216787595302,0.20000001788139343,0.6534592509269714,0.653423547744751,0.6534592509269714,,
9,,69,,,,,,,0.7512096762657166,0.6335073113441467
9,4.806915057997685e-06,69,0.7179149389266968,0.00019091447757091373,0.20000001788139343,0.6463114619255066,0.6462733149528503,0.6463114619255066,,
10,,76,,,,,,,0.750806450843811,0.6268517374992371
10,4.99417456012452e-06,76,0.7050859928131104,0.00018885602185036987,0.20000001788139343,0.6453859210014343,0.6453481912612915,0.6453859210014343,,
11,,83,,,,,,,0.7620967626571655,0.6200824975967407
11,5.200744453759398e-06,83,0.7066042423248291,0.00018921330047305673,0.20000001788139343,0.6418017148971558,0.6417638063430786,0.6418017148971558,,
12,,90,,,,,,,0.7552419900894165,0.623216450214386
12,5.4265392464003526e-06,90,0.7051113843917847,0.0001973923936020583,0.20000001788139343,0.6405583620071411,0.6405189037322998,0.6405583620071411,,
13,,97,,,,,,,0.7612903118133545,0.6168605089187622
13,5.671465714840451e-06,97,0.7231528759002686,0.00019439069728832692,0.20000001788139343,0.6318636536598206,0.631824791431427,0.6318636536598206,,
14,,104,,,,,,,0.7528225779533386,0.6099137663841248
14,5.9354233599151485e-06,104,0.7181174159049988,0.0002182562166126445,0.20000001788139343,0.629461407661438,0.6294177770614624,0.629461407661438,,
15,,111,,,,,,,0.7350805997848511,0.6166693568229675
15,6.218304861249635e-06,111,0.7121457457542419,0.00021791714243590832,0.20000001788139343,0.6303910613059998,0.6303473711013794,0.6303910613059998,,
16,,118,,,,,,,0.7451612949371338,0.601992666721344
16,6.519993348774733e-06,118,0.7040232419967651,0.00022254370560403913,0.20000001788139343,0.6290574073791504,0.629012942314148,0.6290574073791504,,
17,,125,,,,,,,0.7495967745780945,0.5992351770401001
17,6.840362857474247e-06,125,0.7225202322006226,0.0002191197854699567,0.20000001788139343,0.6184379458427429,0.6183940768241882,0.6184379458427429,,
18,,132,,,,,,,0.7721774578094482,0.5895394086837769
18,7.179284239100525e-06,132,0.7388157844543457,0.00022771890508010983,0.20000001788139343,0.6080231666564941,0.6079776287078857,0.6080231666564941,,
19,,139,,,,,,,0.7423387169837952,0.5920644998550415
19,7.536617886216845e-06,139,0.7281882762908936,0.0002442331169731915,0.20000001788139343,0.6087825298309326,0.6087336540222168,0.6087825298309326,,
20,,146,,,,,,,0.7479838728904724,0.5960663557052612
20,7.912217370176222e-06,146,0.7307945489883423,0.0002426498249405995,0.20000001788139343,0.6039059162139893,0.6038573384284973,0.6039059162139893,,
21,,153,,,,,,,0.7528225779533386,0.5837451815605164
21,8.3059258031426e-06,153,0.7357540130615234,0.0002320123021490872,0.20000001788139343,0.597862720489502,0.5978163480758667,0.597862720489502,,
22,,160,,,,,,,0.7504032254219055,0.5716450810432434
22,8.71758493303787e-06,160,0.7461032867431641,0.00028169003780931234,0.20000001788139343,0.5914201140403748,0.5913638472557068,0.5914201140403748,,
23,,167,,,,,,,0.7504032254219055,0.5683402419090271
23,9.147023774858098e-06,167,0.746280312538147,0.00027183652855455875,0.20000001788139343,0.5897616147994995,0.5897072553634644,0.5897616147994995,,
24,,174,,,,,,,0.7637096643447876,0.5647070407867432
24,9.594067705620546e-06,174,0.7552125453948975,0.00028667584410868585,0.20000001788139343,0.5762649774551392,0.57620769739151,0.5762649774551392,,
25,,181,,,,,,,0.7435483932495117,0.5706951022148132
25,1.0058528459921945e-05,181,0.7521255016326904,0.0002999599673785269,0.20000001788139343,0.5756937861442566,0.5756338238716125,0.5756937861442566,,
