epoch,learning_rate,step,training_auroc,training_domain_acc,training_domain_loss,training_domain_weight,training_loss,training_source_loss,training_total_loss,validation_auroc,validation_loss
0,,6,,,,,,,,0.6161290407180786,0.6636151075363159
0,4.001942670583958e-06,6,0.5784665942192078,0.7403378486633301,0.6714319586753845,0.05000000074505806,1.3663445711135864,0.6949125528335571,1.3663445711135864,,
1,,13,,,,,,,,0.6354838609695435,0.6632760763168335
1,4.040205567434896e-06,13,0.6013411283493042,0.757439374923706,0.6708261370658875,0.10000000149011612,1.3607332706451416,0.6899070739746094,1.3607332706451416,,
2,,20,,,,,,,,0.6427419185638428,0.6650484204292297
2,4.147169875068357e-06,20,0.606907844543457,0.7529009580612183,0.671282947063446,0.14999999105930328,1.358650803565979,0.6873677372932434,1.358650803565979,,
3,,27,,,,,,,,0.6556451320648193,0.6652194261550903
3,4.322683253121795e-06,27,0.6251264810562134,0.7390802502632141,0.6723261475563049,0.20000000298023224,1.3566559553146362,0.6843296885490417,1.3566559553146362,,
4,,34,,,,,,,,0.6794354915618896,0.6655972599983215
4,4.566494226310169e-06,34,0.6338815689086914,0.736397385597229,0.6732730269432068,0.25,1.3553259372711182,0.6820531487464905,1.3553259372711182,,
5,,41,,,,,,,,0.6802419424057007,0.6669416427612305
5,4.878252639173297e-06,41,0.6493167877197266,0.7285811305046082,0.674435019493103,0.29999998211860657,1.354316234588623,0.6798812747001648,1.354316234588623,,
6,,48,,,,,,,,0.6931451559066772,0.6679912805557251
6,5.25751283930731e-06,48,0.658046543598175,0.7193768620491028,0.6762894988059998,0.3499999940395355,1.354588270187378,0.678298830986023,1.354588270187378,,
7,,55,,,,,,,,0.7012096643447876,0.6691654920578003
7,5.7037318583752494e-06,55,0.6622722744941711,0.6491657495498657,0.6810311675071716,0.4000000059604645,1.3583837747573853,0.6773525476455688,1.3583837747573853,,
8,,62,,,,,,,,0.711693525314331,0.6681670546531677
