epoch,learning_rate,step,training_auroc,training_domain_acc,training_domain_loss,training_domain_weight,training_loss,training_source_loss,training_total_loss,validation_auroc,validation_loss
0,,6,,,,,,,,0.546721339225769,0.6976317763328552
0,4.002022251370363e-06,6,0.4013860821723938,0.6012195944786072,0.6885246634483337,0.0833333358168602,1.3917863368988037,0.7032617330551147,1.3917863368988037,,
1,,13,,,,,,,,0.5557377338409424,0.695901095867157
1,4.04044385504676e-06,13,0.42205142974853516,0.5687178373336792,0.6897799968719482,0.1666666716337204,1.3913503885269165,0.7015703916549683,1.3913503885269165,,
2,,20,,,,,,,,0.5692622661590576,0.6941279768943787
2,4.147566869505681e-06,20,0.4390373229980469,0.5670320391654968,0.691161572933197,0.25,1.391245722770691,0.7000840902328491,1.391245722770691,,
3,,27,,,,,,,,0.583196759223938,0.6936529278755188
3,4.3232384996372275e-06,27,0.46123993396759033,0.5090724229812622,0.6929449439048767,0.3333333432674408,1.3912187814712524,0.6982738971710205,1.3912187814712524,,
4,,34,,,,,,,,0.6000000238418579,0.6918611526489258
4,4.5672063606616575e-06,34,0.4746471643447876,0.5182057619094849,0.692983090877533,0.4166666567325592,1.3901209831237793,0.6971379518508911,1.3901209831237793,,
5,,41,,,,,,,,0.6155737638473511,0.6907910704612732
5,4.8791207518661395e-06,41,0.4951865077018738,0.43758198618888855,0.6966720223426819,0.5,1.3922293186187744,0.6955572962760925,1.3922293186187744,,
6,,48,,,,,,,,0.6393442153930664,0.6884869933128357
6,5.258536020846805e-06,48,0.5066784620285034,0.41421782970428467,0.6991711258888245,0.5833333134651184,1.3934262990951538,0.6942553520202637,1.3934262990951538,,
7,,55,,,,,,,,0.6639344692230225,0.6853075623512268
7,5.704908289771993e-06,55,0.5249748229980469,0.3271953761577606,0.7042269110679626,0.6666666865348816,1.397362470626831,0.6931355595588684,1.397362470626831,,
8,,62,,,,,,,,0.681147575378418,0.6834015846252441
8,6.217596819624305e-06,62,0.5498235821723938,0.2637578547000885,0.7095001935958862,0.75,1.4006935358047485,0.6911934614181519,1.4006935358047485,,
9,,69,,,,,,,,0.7069672346115112,0.6807782649993896
9,6.795869012421463e-06,69,0.5693800449371338,0.23225246369838715,0.7152458429336548,0.8333333134651184,1.4046682119369507,0.6894224286079407,1.4046682119369507,,
10,,76,,,,,,,,0.7098360061645508,0.6794657111167908
10,7.438894499500748e-06,76,0.5997479557991028,0.15522736310958862,0.7223677039146423,0.9166666865348816,1.4095101356506348,0.6871424913406372,1.4095101356506348,,
11,,83,,,,,,,,0.7237704992294312,0.6780410408973694
11,8.14575469121337e-06,83,0.6066027879714966,0.1107838973402977,0.7331653833389282,1.0,1.4194974899291992,0.686332106590271,1.4194974899291992,,
12,,90,,,,,,,,0.7348361015319824,0.6761816740036011
12,8.91543550096685e-06,90,0.6429183483123779,0.07293874025344849,0.7428982853889465,1.0,1.4263476133346558,0.6834493279457092,1.4263476133346558,,
13,,97,,,,,,,,0.7356557846069336,0.6765382885932922
13,9.746833711687941e-06,97,0.6463457345962524,0.06550382077693939,0.7536993622779846,1.0,1.436262845993042,0.6825634241104126,1.436262845993042,,
14,,104,,,,,,,,0.7475409507751465,0.6755518913269043
14,1.0638760613801423e-05,104,0.660912275314331,0.037796806544065475,0.7657788395881653,1.0,1.446129322052002,0.6803504824638367,1.446129322052002,,
15,,111,,,,,,,,0.7536885738372803,0.6740594506263733
15,1.15899347292725e-05,111,0.6754788160324097,0.03466266393661499,0.7805575132369995,1.0,1.458324670791626,0.6777670383453369,1.458324670791626,,
16,,118,,,,,,,,0.7508196830749512,0.6728397607803345
16,1.2598998182511423e-05,118,0.685257077217102,0.024970149621367455,0.795725405216217,1.0,1.4715847969055176,0.6758593320846558,1.4715847969055176,,
17,,125,,,,,,,,0.7545082569122314,0.6701855063438416
17,1.3664502148458268e-05,125,0.6860382556915283,0.026035886257886887,0.8093042373657227,1.0,1.4841052293777466,0.6748011708259583,1.4841052293777466,,
18,,132,,,,,,,,0.75,0.6687989234924316
18,1.4784923223487567e-05,132,0.7013609409332275,0.018491659313440323,0.8258208632469177,1.0,1.4966939687728882,0.6708731651306152,1.4966939687728882,,
19,,139,,,,,,,,0.7446721792221069,0.6676293611526489
19,1.5958652511471882e-05,139,0.704032301902771,0.01610584184527397,0.8417458534240723,1.0,1.5107016563415527,0.6689558029174805,1.5107016563415527,,
20,,146,,,,,,,,0.7475410103797913,0.6638878583908081
20,1.7184007447212934e-05,146,0.7067036628723145,0.016185719519853592,0.8581113815307617,1.0,1.5248303413391113,0.6667187809944153,1.5248303413391113,,
21,,153,,,,,,,,0.7442623376846313,0.6598259806632996
21,1.8459239072399214e-05,153,0.7107106447219849,0.01179245300590992,0.8708696365356445,1.0,1.5347970724105835,0.6639274954795837,1.5347970724105835,,
22,,160,,,,,,,,0.7426229119300842,0.6566534042358398
22,1.9782519302680157e-05,160,0.715675413608551,0.0094528803601861,0.8859187960624695,1.0,1.546542763710022,0.6606239676475525,1.546542763710022,,
23,,167,,,,,,,,0.7413934469223022,0.6531465649604797
23,2.1151950932107866e-05,167,0.7215977907180786,0.007018717005848885,0.900992214679718,1.0,1.558233380317688,0.6572410464286804,1.558233380317688,,
24,,174,,,,,,,,0.7422131299972534,0.6506093144416809
24,2.256556945212651e-05,174,0.7233366966247559,0.009501227177679539,0.9131035208702087,1.0,1.5675206184387207,0.654417097568512,1.5675206184387207,,
25,,181,,,,,,,,0.7356557846069336,0.6486671566963196
25,2.402135396550875e-05,181,0.7251260280609131,0.010058268904685974,0.9202839732170105,1.0,1.5720406770706177,0.6517566442489624,1.5720406770706177,,
26,,188,,,,,,,,0.737704873085022,0.6469669938087463
26,2.551721627241932e-05,188,0.7260836362838745,0.008530084043741226,0.9195483326911926,1.0,1.5674186944961548,0.6478703618049622,1.5674186944961548,,
27,,195,,,,,,,,0.730327844619751,0.6497671008110046
27,2.705101724131964e-05,195,0.7190524339675903,0.0035965931601822376,0.9148905873298645,1.0,1.561638355255127,0.6467478275299072,1.561638355255127,,
28,,202,,,,,,,,0.7303279042243958,0.6450677514076233
28,2.862055589503143e-05,202,0.7236895561218262,0.009803921915590763,0.9037437438964844,1.0,1.5463711023330688,0.6426276564598083,1.5463711023330688,,
29,,209,,,,,,,,0.7348361015319824,0.639923095703125
29,3.0223585781641304e-05,209,0.7262349128723145,0.005156307946890593,0.8805133700370789,1.0,1.5196787118911743,0.6391655206680298,1.5196787118911743,,
30,,216,,,,,,,,0.7331967353820801,0.6325563192367554
30,3.1857813155511394e-05,216,0.7267137169837952,0.006636145059019327,0.8545054793357849,1.0,1.4912943840026855,0.6367889642715454,1.4912943840026855,,
31,,223,,,,,,,,0.7352458834648132,0.6316549181938171
31,3.352088970132172e-05,223,0.7353074550628662,0.02279033325612545,0.8210375905036926,1.0,1.4537148475646973,0.6326770186424255,1.4537148475646973,,
32,,230,,,,,,,,0.7213114500045776,0.6353849172592163
32,3.521043618093245e-05,230,0.7368699312210083,0.10793562233448029,0.7806684374809265,1.0,1.4103169441223145,0.6296484470367432,1.4103169441223145,,
33,,237,,,,,,,,0.7217212915420532,0.6371906995773315
33,3.6924036976415664e-05,237,0.7388105392456055,0.2934996485710144,0.7385191917419434,1.0,1.3656799793243408,0.6271608471870422,1.3656799793243408,,
34,,244,,,,,,,,0.728278636932373,0.6272637248039246
34,3.865923281409778e-05,244,0.7417086362838745,0.47875678539276123,0.6982219815254211,1.0,1.3226122856140137,0.6243902444839478,1.3226122856140137,,
35,,251,,,,,,,,0.7278687953948975,0.6228891015052795
35,4.041353895445354e-05,251,0.7425906658172607,0.7458400130271912,0.6556109189987183,1.0,1.2784314155578613,0.6228206753730774,1.2784314155578613,,
