epoch,learning_rate,step,training_auroc,training_domain_acc,training_domain_loss,training_domain_weight,training_loss,training_source_loss,training_total_loss,validation_auroc,validation_loss
0,,6,,,,,,,,0.5417338609695435,0.7935872077941895
0,4.001942670583958e-06,6,0.4794028401374817,0.5838332772254944,0.6730064153671265,0.05000000074505806,1.4140419960021973,0.7410354018211365,1.4140419960021973,,
1,,13,,,,,,,,0.5074597001075745,0.780159592628479
1,4.040205567434896e-06,13,0.48471659421920776,0.5887914896011353,0.6701226234436035,0.10000000149011612,1.4023929834365845,0.7322704195976257,1.4023929834365845,,
2,,20,,,,,,,,0.5012096762657166,0.7685059309005737
2,4.147169875068357e-06,20,0.48658907413482666,0.6010780930519104,0.6676493883132935,0.14999999105930328,1.3942152261734009,0.7265657782554626,1.3942152261734009,,
3,,27,,,,,,,,0.49838709831237793,0.7569714188575745
3,4.322683253121795e-06,27,0.4954959452152252,0.6000813245773315,0.669430136680603,0.20000000298023224,1.387604832649231,0.7181746363639832,1.387604832649231,,
4,,34,,,,,,,,0.48911288380622864,0.7461660504341125
4,4.566494226310169e-06,34,0.4951417148113251,0.5904857516288757,0.669824481010437,0.25,1.3824368715286255,0.7126122713088989,1.3824368715286255,,
5,,41,,,,,,,,0.5058467984199524,0.7365986704826355
5,4.878252639173297e-06,41,0.5138916969299316,0.5866827964782715,0.6671703457832336,0.29999998211860657,1.3744792938232422,0.7073090672492981,1.3744792938232422,,
6,,48,,,,,,,,0.49637097120285034,0.7272326350212097
6,5.25751283930731e-06,48,0.5169028043746948,0.5712222456932068,0.6693688631057739,0.3499999940395355,1.372580647468567,0.7032117247581482,1.372580647468567,,
7,,55,,,,,,,,0.5072580575942993,0.7191593050956726
7,5.7037318583752494e-06,55,0.5315030217170715,0.5540701150894165,0.6715478301048279,0.4000000059604645,1.3707537651062012,0.6992060542106628,1.3707537651062012,,
8,,62,,,,,,,,0.4975806474685669,0.7120699882507324
8,6.2162680478650145e-06,62,0.5142080187797546,0.5367540717124939,0.6754845380783081,0.45000001788139343,1.371500849723816,0.6960164308547974,1.371500849723816,,
9,,69,,,,,,,,0.5026209354400635,0.7058889269828796
9,6.794390628783731e-06,69,0.5158400535583496,0.5429186820983887,0.6768589019775391,0.5,1.3703173398971558,0.6934584975242615,1.3703173398971558,,
10,,76,,,,,,,,0.5155242085456848,0.7000265121459961
10,7.437268777721329e-06,76,0.5261260271072388,0.5299135446548462,0.6809884309768677,0.5,1.3725857734680176,0.6915974020957947,1.3725857734680176,,
11,,83,,,,,,,,0.5366935729980469,0.6952897906303406
11,8.143982995534316e-06,83,0.5284919142723083,0.5127179026603699,0.6896768808364868,0.5,1.3789793252944946,0.6893022656440735,1.3789793252944946,,
12,,90,,,,,,,,0.5429435968399048,0.6934078931808472
12,8.913521014619619e-06,90,0.5551619529724121,0.500800371170044,0.6968203783035278,0.5,1.383631706237793,0.6868112087249756,1.383631706237793,,
13,,97,,,,,,,,0.5570564270019531,0.6922727823257446
13,9.744779163156636e-06,97,0.5568572878837585,0.5208040475845337,0.6996080279350281,0.5,1.3841989040374756,0.6845909357070923,1.3841989040374756,,
14,,104,,,,,,,,0.5752016305923462,0.6903393864631653
14,1.0636567822075449e-05,104,0.569028377532959,0.5180920958518982,0.708957850933075,0.5,1.3910927772521973,0.6821349263191223,1.3910927772521973,,
15,,111,,,,,,,,0.5891128778457642,0.6889462471008301
15,1.1587609151320066e-05,111,0.5795040130615234,0.5080589056015015,0.7209513187408447,0.5,1.4005348682403564,0.6795835494995117,1.4005348682403564,,
16,,118,,,,,,,,0.6072580814361572,0.6866285800933838
16,1.2596541637321934e-05,118,0.595862865447998,0.4988069236278534,0.7313840985298157,0.5,1.4079524278640747,0.6765682101249695,1.4079524278640747,,
17,,125,,,,,,,,0.6177419424057007,0.6844807863235474
17,1.366191736451583e-05,125,0.6034159660339355,0.5172581672668457,0.735925555229187,0.5,1.4097052812576294,0.6737797856330872,1.4097052812576294,,
18,,132,,,,,,,,0.6213709712028503,0.6830022931098938
18,1.4782214748265687e-05,132,0.6091346144676208,0.5131781101226807,0.7449995875358582,0.5,1.4164496660232544,0.6714500784873962,1.4164496660232544,,
19,,139,,,,,,,,0.6314516067504883,0.6792752742767334
19,1.5955825801938772e-05,139,0.6177884936332703,0.49710652232170105,0.7566891312599182,0.5,1.4241960048675537,0.6675069332122803,1.4241960048675537,,
20,,146,,,,,,,,0.6243951320648193,0.6763734817504883
20,1.7181064322357997e-05,146,0.660538911819458,0.492919385433197,0.7650344371795654,0.5,1.4290543794631958,0.6640200614929199,1.4290543794631958,,
21,,153,,,,,,,,0.6308467388153076,0.6748194694519043
21,1.845618498919066e-05,153,0.7407388687133789,0.5095615386962891,0.766086220741272,0.5,1.427111029624939,0.6610247492790222,1.427111029624939,,
22,,160,,,,,,,,0.6185483932495117,0.6688417792320251
22,1.9779357899096794e-05,160,0.6666750907897949,0.5029091238975525,0.7714163064956665,0.5,1.4288737773895264,0.6574575901031494,1.4288737773895264,,
23,,167,,,,,,,,0.6147177219390869,0.6683269739151001
23,2.1148687665117905e-05,167,0.7488360404968262,0.4979759156703949,0.7759108543395996,0.5,1.4298120737075806,0.6539012789726257,1.4298120737075806,,
