epoch,learning_rate,step,training_auroc,training_loss,training_pseudolabel_loss,training_pseudolabel_weight,training_source_loss,training_total_loss,validation_auroc,validation_loss
0,,6,,,,,,,0.5608870983123779,0.6714606285095215
0,4.001942670583958e-06,6,0.5250759124755859,0.7403508424758911,0.6755874156951904,0.0625,0.6981266140937805,0.7403508424758911,,
1,,13,,,,,,,0.5653225183486938,0.6712247729301453
1,4.040205567434896e-06,13,0.5457489490509033,0.7782592177391052,0.660593569278717,0.125,0.695685088634491,0.7782592177391052,,
2,,20,,,,,,,0.5685483813285828,0.6706605553627014
2,4.147169875068357e-06,20,0.5801366567611694,0.8136107921600342,0.6441947221755981,0.1875,0.6928243637084961,0.8136107921600342,,
3,,27,,,,,,,0.6074596643447876,0.6697282195091248
3,4.322683253121795e-06,27,0.6008603572845459,0.8463577628135681,0.6237236857414246,0.25,0.6904268264770508,0.8463577628135681,,
4,,34,,,,,,,0.6225806474685669,0.6691629886627197
4,4.566494226310169e-06,34,0.6151316165924072,0.8760617971420288,0.6006844639778137,0.3125,0.6883478760719299,0.8760617971420288,,
5,,41,,,,,,,0.6330645084381104,0.667756974697113
5,4.878252639173297e-06,41,0.6344382762908936,0.901058554649353,0.5743294358253479,0.375,0.6856850385665894,0.901058554649353,,
6,,48,,,,,,,0.6284273862838745,0.6663423180580139
6,5.25751283930731e-06,48,0.6572368144989014,0.9202575087547302,0.5415021181106567,0.4375,0.6833503842353821,0.9202575087547302,,
7,,55,,,,,,,0.6338709592819214,0.6639674305915833
7,5.7037318583752494e-06,55,0.660425066947937,0.9367497563362122,0.5087265372276306,0.5,0.6823863983154297,0.9367497563362122,,
8,,62,,,,,,,0.6647177934646606,0.6605919599533081
8,6.2162680478650145e-06,62,0.6720900535583496,0.9165283441543579,0.4723348915576935,0.5,0.6803609132766724,0.9165283441543579,,
9,,69,,,,,,,0.6495968103408813,0.6582328677177429
9,6.794390628783731e-06,69,0.6772520542144775,0.8954358100891113,0.4322420656681061,0.5,0.6793148517608643,0.8954358100891113,,
10,,76,,,,,,,0.6707661151885986,0.6555862426757812
10,7.437268777721329e-06,76,0.6878289580345154,0.8754865527153015,0.3969140946865082,0.5,0.677029550075531,0.8754865527153015,,
11,,83,,,,,,,0.6733871102333069,0.6517643928527832
11,8.143982995534316e-06,83,0.6939777135848999,0.8538381457328796,0.3581623435020447,0.5,0.6747570037841797,0.8538381457328796,,
12,,90,,,,,,,0.6685483455657959,0.6498852968215942
12,8.913521014619619e-06,90,0.6966346502304077,0.8339216709136963,0.32314610481262207,0.5,0.67234867811203,0.8339216709136963,,
13,,97,,,,,,,0.6911289691925049,0.6473550200462341
13,9.744779163156636e-06,97,0.7021001577377319,0.8133224248886108,0.2883305251598358,0.5,0.669157087802887,0.8133224248886108,,
14,,104,,,,,,,0.6907258033752441,0.6455554366111755
14,1.0636567822075449e-05,104,0.7010880708694458,0.7948718070983887,0.25917091965675354,0.5,0.6652864217758179,0.7948718070983887,,
15,,111,,,,,,,0.681451678276062,0.6453019976615906
15,1.1587609151320066e-05,111,0.7025493383407593,0.7771329879760742,0.2306584119796753,0.5,0.661803662776947,0.7771329879760742,,
16,,118,,,,,,,0.6875,0.6440291404724121
