epoch,learning_rate,step,training_auroc,training_distillation_loss,training_distillation_weight,training_loss,training_source_loss,training_total_loss,validation_auroc,validation_loss
0,,6,,,,,,,0.4233606457710266,0.7153388857841492
0,4.002022251370363e-06,6,0.4795236587524414,0.42064252495765686,0.04374999552965164,0.7197305560112,0.701327383518219,0.7197305560112,,
1,,13,,,,,,,0.4297131299972534,0.7112324833869934
1,4.04044385504676e-06,13,0.48515623807907104,0.39679840207099915,0.08749999105930328,0.7340019941329956,0.6992821097373962,0.7340019941329956,,
2,,20,,,,,,,0.43954920768737793,0.7072730660438538
2,4.147566869505681e-06,20,0.48752519488334656,0.373271107673645,0.13125000894069672,0.7460333704948425,0.6970415115356445,0.7460333704948425,,
3,,27,,,,,,,0.4608606696128845,0.7030972242355347
3,4.3232384996372275e-06,27,0.502242922782898,0.350035160779953,0.17499998211860657,0.755842924118042,0.6945867538452148,0.755842924118042,,
4,,34,,,,,,,0.47151637077331543,0.6989538073539734
4,4.5672063606616575e-06,34,0.5137726664543152,0.3208034038543701,0.21875,0.7632309198379517,0.6930551528930664,0.7632309198379517,,
5,,41,,,,,,,0.4856557250022888,0.6943056583404541
5,4.8791207518661395e-06,41,0.5272681713104248,0.29261770844459534,0.26250001788139343,0.7685720324516296,0.6917598843574524,0.7685720324516296,,
6,,48,,,,,,,0.5122950673103333,0.6898528933525085
6,5.258536020846805e-06,48,0.5377268195152283,0.26388129591941833,0.3062500059604645,0.7709892392158508,0.6901755928993225,0.7709892392158508,,
7,,55,,,,,,,0.5137295126914978,0.686671257019043
7,5.704908289771993e-06,55,0.5342111587524414,0.22760294377803802,0.34999996423721313,0.7675064206123352,0.6878454089164734,0.7675064206123352,,
8,,62,,,,,,,0.5399590134620667,0.6815055012702942
8,6.217596819624305e-06,62,0.5386089086532593,0.19637884199619293,0.34999996423721313,0.7551202178001404,0.6863875985145569,0.7551202178001404,,
9,,69,,,,,,,0.5559426546096802,0.6780372262001038
9,6.795869012421463e-06,69,0.55856853723526,0.16366565227508545,0.34999996423721313,0.7412246465682983,0.683941662311554,0.7412246465682983,,
10,,76,,,,,,,0.5602458715438843,0.6734476089477539
10,7.438894499500748e-06,76,0.5933594107627869,0.13273002207279205,0.34999996423721313,0.7277227640151978,0.681267261505127,0.7277227640151978,,
11,,83,,,,,,,0.5733606815338135,0.6703904867172241
11,8.14575469121337e-06,83,0.5714465379714966,0.1038229763507843,0.34999996423721313,0.7149704694747925,0.6786324977874756,0.7149704694747925,,
12,,90,,,,,,,0.5778688192367554,0.6674568057060242
12,8.91543550096685e-06,90,0.6592237949371338,0.07683498412370682,0.34999996423721313,0.7025923132896423,0.6757000088691711,0.7025923132896423,,
13,,97,,,,,,,0.6026638746261597,0.6628764867782593
13,9.746833711687941e-06,97,0.6681703329086304,0.05642244964838028,0.34999996423721313,0.6923493146896362,0.6726014614105225,0.6923493146896362,,
14,,104,,,,,,,0.6120901703834534,0.6603758335113525
14,1.0638760613801423e-05,104,0.6635458469390869,0.03782930597662926,0.34999996423721313,0.6822229027748108,0.6689826846122742,0.6822229027748108,,
15,,111,,,,,,,0.6149590015411377,0.6582024693489075
15,1.15899347292725e-05,111,0.6873992085456848,0.023798523470759392,0.34999996423721313,0.6736663579940796,0.6653369069099426,0.6736663579940796,,
16,,118,,,,,,,0.6340163946151733,0.658145546913147
16,1.2598998182511423e-05,118,0.6846522092819214,0.014746527187526226,0.34999996423721313,0.6676342487335205,0.6624729633331299,0.6676342487335205,,
17,,125,,,,,,,0.63852459192276,0.6582605242729187
17,1.3664502148458268e-05,125,0.6947832703590393,0.008306366391479969,0.34999996423721313,0.6594883799552917,0.6565811038017273,0.6594883799552917,,
18,,132,,,,,,,0.6663934588432312,0.6543225646018982
18,1.4784923223487567e-05,132,0.7027974128723145,0.004581346642225981,0.34999996423721313,0.6545172333717346,0.6529138088226318,0.6545172333717346,,
19,,139,,,,,,,0.6602458953857422,0.6539418697357178
19,1.5958652511471882e-05,139,0.6930443644523621,0.0031109643168747425,0.34999996423721313,0.6499460935592651,0.6488572955131531,0.6499460935592651,,
20,,146,,,,,,,0.6514344215393066,0.6527321934700012
20,1.7184007447212934e-05,146,0.7098538279533386,0.003084211377426982,0.34999996423721313,0.6473224759101868,0.6462430953979492,0.6473224759101868,,
21,,153,,,,,,,0.671721339225769,0.6523171067237854
21,1.8459239072399214e-05,153,0.7124495506286621,0.0036964332684874535,0.34999996423721313,0.6444699168205261,0.6431761980056763,0.6444699168205261,,
22,,160,,,,,,,0.6973360776901245,0.6506288647651672
22,1.9782519302680157e-05,160,0.717993974685669,0.0044950623996555805,0.34999996423721313,0.640590488910675,0.6390172839164734,0.640590488910675,,
23,,167,,,,,,,0.6723360419273376,0.6481448411941528
23,2.1151950932107866e-05,167,0.7215222120285034,0.005096673499792814,0.34999996423721313,0.6376627683639526,0.6358789205551147,0.6376627683639526,,
24,,174,,,,,,,0.6684426069259644,0.6410725712776184
24,2.256556945212651e-05,174,0.7279989719390869,0.005582689773291349,0.34999996423721313,0.6332250237464905,0.6312710642814636,0.6332250237464905,,
25,,181,,,,,,,0.6782786846160889,0.6359657049179077
25,2.402135396550875e-05,181,0.7317792177200317,0.00571895856410265,0.34999996423721313,0.6296700835227966,0.6276684403419495,0.6296700835227966,,
