epoch,learning_rate,step,training_auroc,training_distillation_loss,training_distillation_weight,training_domain_acc,training_domain_loss,training_domain_weight,training_loss,training_source_loss,training_total_loss,validation_auroc,validation_loss
0,,6,,,,,,,,,,0.5672131180763245,0.6864866614341736
0,4.002022251370363e-06,6,0.5477948784828186,0.4378126561641693,0.02500000223517418,0.4041602909564972,0.7260589599609375,0.05000000447034836,1.4236068725585938,0.6866024732589722,1.4236068725585938,,
1,,13,,,,,,,,,,0.5696721076965332,0.6855769157409668
1,4.04044385504676e-06,13,0.5556955337524414,0.4215221107006073,0.05000000447034836,0.41030794382095337,0.7259684801101685,0.10000000894069672,1.4321194887161255,0.6850747466087341,1.4321194887161255,,
2,,20,,,,,,,,,,0.5913934707641602,0.6818878054618835
2,4.147566869505681e-06,20,0.559740424156189,0.4050803780555725,0.07499999552965164,0.4003872871398926,0.7258979082107544,0.14999999105930328,1.440217137336731,0.6839381456375122,1.440217137336731,,
3,,27,,,,,,,,,,0.5952868461608887,0.6807671785354614
3,4.3232384996372275e-06,27,0.5711063146591187,0.3873976767063141,0.10000000894069672,0.39361685514450073,0.7253187298774719,0.20000001788139343,1.4459937810897827,0.68193519115448,1.4459937810897827,,
4,,34,,,,,,,,,,0.6016393899917603,0.6781426668167114
4,4.5672063606616575e-06,34,0.5753905773162842,0.3693038821220398,0.125,0.3894746005535126,0.7278196215629578,0.25,1.4543875455856323,0.6804050207138062,1.4543875455856323,,
5,,41,,,,,,,,,,0.6028688549995422,0.6756080389022827
5,4.8791207518661395e-06,41,0.614995002746582,0.3468009829521179,0.14999999105930328,0.3689500093460083,0.7292486429214478,0.29999998211860657,1.4605242013931274,0.6792555451393127,1.4605242013931274,,
6,,48,,,,,,,,,,0.6049180030822754,0.6728019118309021
6,5.258536020846805e-06,48,0.5827494859695435,0.3224050998687744,0.17499998211860657,0.3714922368526459,0.731526255607605,0.34999996423721313,1.4658912420272827,0.6779442429542542,1.4658912420272827,,
7,,55,,,,,,,,,,0.6202868819236755,0.6694307923316956
7,5.704908289771993e-06,55,0.6849356889724731,0.3002375364303589,0.20000001788139343,0.34713417291641235,0.7332406044006348,0.40000003576278687,1.4696439504623413,0.6763558983802795,1.4696439504623413,,
8,,62,,,,,,,,,,0.6227458715438843,0.6661975383758545
8,6.217596819624305e-06,62,0.61528480052948,0.2713816165924072,0.20000001788139343,0.32605254650115967,0.7382980585098267,0.45000001788139343,1.4669429063796997,0.6743684411048889,1.4669429063796997,,
9,,69,,,,,,,,,,0.6329917907714844,0.6626321077346802
9,6.795869012421463e-06,69,0.7134072780609131,0.2414882630109787,0.20000001788139343,0.30047428607940674,0.7421110272407532,0.5,1.4638311862945557,0.6734225153923035,1.4638311862945557,,
10,,76,,,,,,,,,,0.6381146907806396,0.6598988175392151
10,7.438894499500748e-06,76,0.71877521276474,0.21341897547245026,0.20000001788139343,0.28204628825187683,0.7464295029640198,0.5,1.4606633186340332,0.671549916267395,1.4606633186340332,,
11,,83,,,,,,,,,,0.6360656023025513,0.6572352647781372
11,8.14575469121337e-06,83,0.723513126373291,0.18960551917552948,0.20000001788139343,0.2268228530883789,0.7531307935714722,0.5,1.460323691368103,0.66927170753479,1.460323691368103,,
12,,90,,,,,,,,,,0.6346310973167419,0.6554455757141113
12,8.91543550096685e-06,90,0.721824586391449,0.16448915004730225,0.20000001788139343,0.18889844417572021,0.7602735757827759,0.5,1.460198998451233,0.6670276522636414,1.460198998451233,,
13,,97,,,,,,,,,,0.6350409984588623,0.6538676619529724
13,9.746833711687941e-06,97,0.7205644845962524,0.14014625549316406,0.20000001788139343,0.16200344264507294,0.766890287399292,0.5,1.459541916847229,0.6646223664283752,1.459541916847229,,
14,,104,,,,,,,,,,0.644672155380249,0.6530725955963135
14,1.0638760613801423e-05,104,0.7185484170913696,0.11804656684398651,0.20000001788139343,0.11810329556465149,0.7732502818107605,0.5,1.458677053451538,0.6618176102638245,1.458677053451538,,
15,,111,,,,,,,,,,0.6452869176864624,0.6518445014953613
15,1.15899347292725e-05,111,0.7222026586532593,0.09820175170898438,0.20000001788139343,0.08331847935914993,0.7819797396659851,0.5,1.460386872291565,0.6587668061256409,1.460386872291565,,
16,,118,,,,,,,,,,0.6565573811531067,0.6492394208908081
16,1.2598998182511423e-05,118,0.7202620506286621,0.08003979921340942,0.20000001788139343,0.06393345445394516,0.7895103096961975,0.5,1.461230993270874,0.6557126641273499,1.461230993270874,,
17,,125,,,,,,,,,,0.6559425592422485,0.6460296511650085
17,1.3664502148458268e-05,125,0.7232358455657959,0.06310775130987167,0.20000001788139343,0.04570282623171806,0.7991528511047363,0.5,1.464633584022522,0.6528590321540833,1.464633584022522,,
18,,132,,,,,,,,,,0.6608606576919556,0.6439839005470276
18,1.4784923223487567e-05,132,0.7246723771095276,0.047583628445863724,0.20000001788139343,0.035898905247449875,0.8075090050697327,0.5,1.4672473669052124,0.6502214074134827,1.4672473669052124,,
19,,139,,,,,,,,,,0.6747950911521912,0.6417784690856934
19,1.5958652511471882e-05,139,0.7262600660324097,0.035988423973321915,0.20000001788139343,0.028434554114937782,0.8149629235267639,0.5,1.4694244861602783,0.6472640633583069,1.4694244861602783,,
20,,146,,,,,,,,,,0.6735655665397644,0.6406897306442261
20,1.7184007447212934e-05,146,0.7264617085456848,0.02672232873737812,0.20000001788139343,0.018382353708148003,0.8247836828231812,0.5,1.4745696783065796,0.6444416642189026,1.4745696783065796,,
