epoch,learning_rate,step,training_auroc,training_loss,training_source_loss,training_total_loss,validation_auroc,validation_loss
0,,6,,,,,0.6786290407180786,0.6891561150550842
0,4.001942670583958e-06,6,0.5815283060073853,0.6882591247558594,0.6882591247558594,0.6882591247558594,,
1,,13,,,,,0.6891129016876221,0.6883002519607544
1,4.040205567434896e-06,13,0.5893471240997314,0.6876325607299805,0.6876325607299805,0.6876325607299805,,
2,,20,,,,,0.6943548321723938,0.6874542832374573
2,4.147169875068357e-06,20,0.6459261178970337,0.6849088072776794,0.6849088072776794,0.6849088072776794,,
3,,27,,,,,0.710080623626709,0.6865776181221008
3,4.322683253121795e-06,27,0.6273785829544067,0.6852936744689941,0.6852936744689941,0.6852936744689941,,
4,,34,,,,,0.7193548679351807,0.6858353614807129
4,4.566494226310169e-06,34,0.6196103096008301,0.6850473284721375,0.6850473284721375,0.6850473284721375,,
5,,41,,,,,0.711693525314331,0.6854157447814941
5,4.878252639173297e-06,41,0.6799848079681396,0.6810305714607239,0.6810305714607239,0.6810305714607239,,
6,,48,,,,,0.7237902879714966,0.6837245225906372
6,5.25751283930731e-06,48,0.6557945013046265,0.6826267242431641,0.6826267242431641,0.6826267242431641,,
7,,55,,,,,0.7241935729980469,0.6823002099990845
7,5.7037318583752494e-06,55,0.7022520303726196,0.6779354810714722,0.6779354810714722,0.6779354810714722,,
8,,62,,,,,0.7326613068580627,0.6805806756019592
8,6.2162680478650145e-06,62,0.6697874665260315,0.6795752048492432,0.6795752048492432,0.6795752048492432,,
9,,69,,,,,0.7322580814361572,0.6795962452888489
9,6.794390628783731e-06,69,0.6814271211624146,0.6785492897033691,0.6785492897033691,0.6785492897033691,,
10,,76,,,,,0.7326613664627075,0.6778345108032227
10,7.437268777721329e-06,76,0.7001770734786987,0.6752336025238037,0.6752336025238037,0.6752336025238037,,
11,,83,,,,,0.7304435968399048,0.675418496131897
11,8.143982995534316e-06,83,0.7192307710647583,0.6730481386184692,0.6730481386184692,0.6730481386184692,,
12,,90,,,,,0.7358871102333069,0.6737996339797974
12,8.913521014619619e-06,90,0.7169787287712097,0.6735730171203613,0.6735730171203613,0.6735730171203613,,
13,,97,,,,,0.7286289930343628,0.6720428466796875
13,9.744779163156636e-06,97,0.7152581214904785,0.670782208442688,0.670782208442688,0.670782208442688,,
14,,104,,,,,0.7201613187789917,0.6698142886161804
14,1.0636567822075449e-05,104,0.746963620185852,0.665931224822998,0.665931224822998,0.665931224822998,,
15,,111,,,,,0.7237902879714966,0.6669480800628662
15,1.1587609151320066e-05,111,0.7566548585891724,0.6637797355651855,0.6637797355651855,0.6637797355651855,,
16,,118,,,,,0.7193548679351807,0.665651261806488
16,1.2596541637321934e-05,118,0.7647520303726196,0.6603054404258728,0.6603054404258728,0.6603054404258728,,
17,,125,,,,,0.7213709354400635,0.663372278213501
17,1.366191736451583e-05,125,0.7557122707366943,0.6591683030128479,0.6591683030128479,0.6591683030128479,,
18,,132,,,,,0.7217742204666138,0.6612972021102905
18,1.4782214748265687e-05,132,0.7533906698226929,0.6575343012809753,0.6575343012809753,0.6575343012809753,,
19,,139,,,,,0.7181451320648193,0.6605156660079956
19,1.5955825801938772e-05,139,0.7510627508163452,0.6551913619041443,0.6551913619041443,0.6551913619041443,,
20,,146,,,,,0.7137097120285034,0.658290684223175
20,1.7181064322357997e-05,146,0.7579959630966187,0.6509677767753601,0.6509677767753601,0.6509677767753601,,
21,,153,,,,,0.7165322303771973,0.6582157611846924
21,1.845618498919066e-05,153,0.7403087615966797,0.6513316631317139,0.6513316631317139,0.6513316631317139,,
22,,160,,,,,0.7161290645599365,0.6546353101730347
22,1.9779357899096794e-05,160,0.7612854242324829,0.6448115110397339,0.6448115110397339,0.6448115110397339,,
23,,167,,,,,0.7197580337524414,0.652086079120636
23,2.1148687665117905e-05,167,0.7596912384033203,0.6419947147369385,0.6419947147369385,0.6419947147369385,,
24,,174,,,,,0.7133064270019531,0.6478896737098694
24,2.256220977869816e-05,174,0.7579200267791748,0.6375258564949036,0.6375258564949036,0.6375258564949036,,
25,,181,,,,,0.7137097120285034,0.6431847214698792
25,2.401790152362082e-05,181,0.7580718994140625,0.6347090005874634,0.6347090005874634,0.6347090005874634,,
26,,188,,,,,0.71088707447052,0.6427604556083679
26,2.551367288106121e-05,188,0.7799595594406128,0.6262067556381226,0.6262067556381226,0.6262067556381226,,
27,,195,,,,,0.7084677219390869,0.6386845707893372
27,2.7047391995438375e-05,195,0.7627530097961426,0.6256413459777832,0.6256413459777832,0.6256413459777832,,
28,,202,,,,,0.7169355154037476,0.6336374282836914
28,2.8616854251595214e-05,202,0.7640941143035889,0.6215380430221558,0.6215380430221558,0.6215380430221558,,
29,,209,,,,,0.7120968103408813,0.6343902945518494
29,3.0219811378628947e-05,209,0.7588815689086914,0.6180591583251953,0.6180591583251953,0.6180591583251953,,
30,,216,,,,,0.7133064270019531,0.6299112439155579
30,3.1853971449891105e-05,216,0.7731022238731384,0.6071727275848389,0.6071727275848389,0.6071727275848389,,
