epoch,learning_rate,step,training_auroc,training_loss,training_source_loss,training_total_loss,validation_auroc,validation_loss
0,,9,,,,,0.5123951435089111,0.6768890023231506
0,4.000795797765022e-06,9,0.5288699865341187,0.6966450214385986,0.6966450214385986,0.6966450214385986,,
1,,19,,,,,0.5411899089813232,0.678045928478241
1,4.028628154628677e-06,19,0.5571906566619873,0.6924113035202026,0.6924113035202026,0.6924113035202026,,
2,,29,,,,,0.5498665571212769,0.6790520548820496
2,4.10891743740649e-06,29,0.5796105861663818,0.6900377869606018,0.6900377869606018,0.6900377869606018,,
3,,39,,,,,0.536708652973175,0.6801259517669678
3,4.241574970365036e-06,39,0.5943740606307983,0.6882141828536987,0.6882141828536987,0.6882141828536987,,
4,,49,,,,,0.5697940587997437,0.6794250011444092
4,4.426456598594086e-06,49,0.6016244888305664,0.6866651773452759,0.6866651773452759,0.6866651773452759,,
5,,59,,,,,0.5749428272247314,0.6803002953529358
5,4.663357685785741e-06,59,0.6149188280105591,0.6847573518753052,0.6847573518753052,0.6847573518753052,,
6,,69,,,,,0.5824751853942871,0.6801794767379761
6,4.9520212996867485e-06,69,0.6196846961975098,0.6832959055900574,0.6832959055900574,0.6832959055900574,,
7,,79,,,,,0.5865751504898071,0.6797577738761902
7,5.292130481393542e-06,79,0.6227902173995972,0.6819408535957336,0.6819408535957336,0.6819408535957336,,
8,,89,,,,,0.606121301651001,0.6792445182800293
8,5.6833150665625e-06,89,0.6260272264480591,0.680876612663269,0.680876612663269,0.680876612663269,,
9,,99,,,,,0.6035468578338623,0.6799160242080688
9,6.125146228441736e-06,99,0.6278189420700073,0.6794523596763611,0.6794523596763611,0.6794523596763611,,
10,,109,,,,,0.6092677116394043,0.6788818836212158
10,6.617139206355205e-06,109,0.6312947273254395,0.678126871585846,0.678126871585846,0.678126871585846,,
11,,119,,,,,0.6112700700759888,0.6780869364738464
11,7.158759217418265e-06,119,0.6327759027481079,0.6773640513420105,0.6773640513420105,0.6773640513420105,,
12,,129,,,,,0.6204233169555664,0.6757370829582214
12,7.74941327108536e-06,129,0.6427615880966187,0.6750179529190063,0.6750179529190063,0.6750179529190063,,
13,,139,,,,,0.627860426902771,0.6749438047409058
13,8.388453352381475e-06,139,0.6449593901634216,0.6737634539604187,0.6737634539604187,0.6737634539604187,,
14,,149,,,,,0.6291952729225159,0.6742478013038635
14,9.075182788365055e-06,149,0.6514571905136108,0.6720669269561768,0.6720669269561768,0.6720669269561768,,
15,,159,,,,,0.6347254514694214,0.673007071018219
15,9.80884851742303e-06,159,0.653368353843689,0.6703640818595886,0.6703640818595886,0.6703640818595886,,
16,,169,,,,,0.637109100818634,0.672516405582428
16,1.058865018421784e-05,169,0.6561872959136963,0.6690815687179565,0.6690815687179565,0.6690815687179565,,
17,,179,,,,,0.6410183310508728,0.6665418744087219
17,1.1413735592213925e-05,179,0.659937858581543,0.6675689220428467,0.6675689220428467,0.6675689220428467,,
18,,189,,,,,0.6468344926834106,0.6661561727523804
18,1.2283202522667125e-05,189,0.6677377223968506,0.6651602983474731,0.6651602983474731,0.6651602983474731,,
19,,199,,,,,0.6491228342056274,0.6667617559432983
19,1.3196094187151175e-05,199,0.6704491376876831,0.6635710000991821,0.6635710000991821,0.6635710000991821,,
20,,209,,,,,0.6555111408233643,0.6636686325073242
20,1.415142287441995e-05,209,0.6777831315994263,0.661537766456604,0.661537766456604,0.661537766456604,,
21,,219,,,,,0.6631388664245605,0.6626468896865845
21,1.5148134480114095e-05,219,0.6865743398666382,0.6592211723327637,0.6592211723327637,0.6592211723327637,,
22,,229,,,,,0.6711479425430298,0.6605142951011658
22,1.61851457960438e-05,229,0.6945294141769409,0.6568764448165894,0.6568764448165894,0.6568764448165894,,
23,,239,,,,,0.676201343536377,0.6578249335289001
23,1.7261319953831844e-05,239,0.6972049474716187,0.6546904444694519,0.6546904444694519,0.6546904444694519,,
24,,249,,,,,0.6735316514968872,0.6608269810676575
24,1.8375478248344734e-05,249,0.7010272741317749,0.652028501033783,0.652028501033783,0.652028501033783,,
25,,259,,,,,0.6786803603172302,0.6579530835151672
25,1.95264055946609e-05,259,0.7068800926208496,0.6494213342666626,0.6494213342666626,0.6494213342666626,,
26,,269,,,,,0.6785850524902344,0.6524841785430908
26,2.071284325211309e-05,269,0.7142499089241028,0.6467161178588867,0.6467161178588867,0.6467161178588867,,
27,,279,,,,,0.6769641637802124,0.6436650156974792
27,2.193349428125657e-05,279,0.720473051071167,0.6439456939697266,0.6439456939697266,0.6439456939697266,,
28,,289,,,,,0.6888825297355652,0.6421021819114685
28,2.3187018086900935e-05,289,0.7223960757255554,0.6415528059005737,0.6415528059005737,0.6415528059005737,,
29,,299,,,,,0.6905987858772278,0.642087459564209
29,2.447205042699352e-05,299,0.7176302671432495,0.639220654964447,0.639220654964447,0.639220654964447,,
30,,309,,,,,0.6924103498458862,0.6391904354095459
30,2.578718340373598e-05,309,0.7198877334594727,0.6356630325317383,0.6356630325317383,0.6356630325317383,,
31,,319,,,,,0.6904081106185913,0.6457138061523438
31,2.7130985472467728e-05,319,0.7229694128036499,0.632111132144928,0.632111132144928,0.632111132144928,,
