epoch,learning_rate,step,training_auroc,training_loss,training_source_loss,training_total_loss,validation_auroc,validation_loss
0,,9,,,,,0.5472334623336792,0.7050812244415283
0,4.000838089268655e-06,9,0.46295416355133057,0.6998433470726013,0.6998433470726013,0.6998433470726013,,
1,,19,,,,,0.551185667514801,0.702985405921936
1,4.028756848128978e-06,19,0.4804496765136719,0.6976065039634705,0.6976065039634705,0.6976065039634705,,
2,,29,,,,,0.5566801428794861,0.6999457478523254
2,4.109131168661406e-06,29,0.5109708309173584,0.6944484114646912,0.6944484114646912,0.6944484114646912,,
3,,39,,,,,0.5536918640136719,0.6970659494400024
3,4.241873739374569e-06,39,0.525991678237915,0.6925934553146362,0.6925934553146362,0.6925934553146362,,
4,,49,,,,,0.5605359077453613,0.6944847106933594
4,4.4268399506108835e-06,49,0.550768256187439,0.6910845041275024,0.6910845041275024,0.6910845041275024,,
5,,59,,,,,0.5677655935287476,0.6925667524337769
5,4.663825166062452e-06,59,0.5638594627380371,0.6904127597808838,0.6904127597808838,0.6904127597808838,,
6,,69,,,,,0.5725852847099304,0.6908146739006042
6,4.952572908223374e-06,69,0.5769624710083008,0.6885067820549011,0.6885067820549011,0.6885067820549011,,
7,,79,,,,,0.5665124654769897,0.6891567707061768
7,5.2927657634427305e-06,79,0.5902799367904663,0.6882230639457703,0.6882230639457703,0.6882230639457703,,
8,,89,,,,,0.572681725025177,0.6874814629554749
8,5.684032657882199e-06,89,0.5822513103485107,0.6878716945648193,0.6878716945648193,0.6878716945648193,,
9,,99,,,,,0.5777906179428101,0.6857855916023254
9,6.125945674284594e-06,99,0.6208695769309998,0.6849498152732849,0.6849498152732849,0.6849498152732849,,
10,,109,,,,,0.5811644792556763,0.6847227215766907
10,6.618019597226521e-06,109,0.6490648984909058,0.6819464564323425,0.6819464564323425,0.6819464564323425,,
11,,119,,,,,0.5789473652839661,0.682274580001831
11,7.159720098570688e-06,119,0.6625849008560181,0.6793394684791565,0.6793394684791565,0.6793394684791565,,
12,,129,,,,,0.5821284055709839,0.6797668933868408
12,7.750452823529486e-06,129,0.6498034596443176,0.6807480454444885,0.6807480454444885,0.6807480454444885,,
13,,139,,,,,0.5834779143333435,0.6781107187271118
13,8.38956930238055e-06,139,0.6659559011459351,0.6783320307731628,0.6783320307731628,0.6783320307731628,,
14,,149,,,,,0.5882977247238159,0.6757287383079529
14,9.076376045413781e-06,149,0.6532221436500549,0.6782408952713013,0.6782408952713013,0.6782408952713013,,
15,,159,,,,,0.5844419002532959,0.6745802760124207
15,9.810117262532003e-06,159,0.6547707319259644,0.6766441464424133,0.6766441464424133,0.6766441464424133,,
16,,169,,,,,0.5885868668556213,0.6738227009773254
16,1.0589992598397657e-05,169,0.660881519317627,0.674453616142273,0.674453616142273,0.674453616142273,,
17,,179,,,,,0.5943705439567566,0.6727153062820435
17,1.1415149856475182e-05,179,0.6784752607345581,0.6712769865989685,0.6712769865989685,0.6712769865989685,,
18,,189,,,,,0.598901093006134,0.6706187725067139
18,1.228468772751512e-05,189,0.6808576583862305,0.6695159077644348,0.6695159077644348,0.6695159077644348,,
19,,199,,,,,0.6034317016601562,0.6694645285606384
19,1.3197650332585908e-05,199,0.6934247016906738,0.666864812374115,0.666864812374115,0.666864812374115,,
20,,209,,,,,0.6068054437637329,0.6668219566345215
20,1.4153044503473211e-05,209,0.686313271522522,0.6662984490394592,0.6662984490394592,0.6662984490394592,,
21,,219,,,,,0.6057451367378235,0.6654334664344788
21,1.5149822502280585e-05,219,0.6995711326599121,0.6633781790733337,0.6633781790733337,0.6633781790733337,,
22,,229,,,,,0.6122999787330627,0.6637765765190125
22,1.6186897482839413e-05,229,0.6925193667411804,0.6618127822875977,0.6618127822875977,0.6618127822875977,,
23,,239,,,,,0.6143242716789246,0.6645597219467163
23,1.726313348626718e-05,239,0.6987254619598389,0.6593477725982666,0.6593477725982666,0.6593477725982666,,
24,,249,,,,,0.6197224259376526,0.6613748073577881
24,1.837735362641979e-05,249,0.7076355218887329,0.655733585357666,0.655733585357666,0.655733585357666,,
25,,259,,,,,0.6316753625869751,0.6611024737358093
25,1.9528337361407466e-05,259,0.717284083366394,0.6520026326179504,0.6520026326179504,0.6520026326179504,,
26,,269,,,,,0.6349527835845947,0.6605098247528076
26,2.071482958854176e-05,269,0.7191661596298218,0.6504596471786499,0.6504596471786499,0.6504596471786499,,
27,,279,,,,,0.6439175009727478,0.6580820083618164
27,2.193553518736735e-05,279,0.7319475412368774,0.645427942276001,0.645427942276001,0.645427942276001,,
28,,289,,,,,0.6486408114433289,0.6565218567848206
28,2.3189111743704416e-05,289,0.7350447177886963,0.6424250602722168,0.6424250602722168,0.6424250602722168,,
29,,299,,,,,0.6595334410667419,0.6511892080307007
29,2.44741950155003e-05,299,0.7322810888290405,0.6405431628227234,0.6405431628227234,0.6405431628227234,,
30,,309,,,,,0.666088342666626,0.65106201171875
30,2.5789371647988446e-05,309,0.732114315032959,0.6368364691734314,0.6368364691734314,0.6368364691734314,,
31,,319,,,,,0.670426070690155,0.6467918157577515
31,2.713321737246588e-05,319,0.7377129793167114,0.6319524645805359,0.6319524645805359,0.6319524645805359,,
