epoch,learning_rate,step,training_auroc,training_loss,training_source_loss,training_total_loss,validation_auroc,validation_loss
0,,9,,,,,0.5850202441215515,0.6936906576156616
0,4.0005338632909115e-06,9,0.4835020899772644,0.6983805298805237,0.6983805298805237,0.6983805298805237,,
1,,19,,,,,0.5877193212509155,0.6932920217514038
1,4.018327217636397e-06,19,0.4864562153816223,0.6969775557518005,0.6969775557518005,0.6969775557518005,,
2,,29,,,,,0.5877193212509155,0.69277024269104
2,4.069561327924021e-06,29,0.49710243940353394,0.6955698132514954,0.6955698132514954,0.6955698132514954,,
3,,39,,,,,0.5998650789260864,0.6921721696853638
3,4.154197540628957e-06,39,0.5094817876815796,0.695023238658905,0.695023238658905,0.695023238658905,,
4,,49,,,,,0.6031424403190613,0.6916747093200684
4,4.272178102837643e-06,49,0.5155211687088013,0.6946486830711365,0.6946486830711365,0.6946486830711365,,
5,,59,,,,,0.6068055033683777,0.6905037760734558
5,4.423422069521621e-06,59,0.5198659896850586,0.6935562491416931,0.6935562491416931,0.6935562491416931,,
6,,69,,,,,0.6079622507095337,0.6901814341545105
6,4.607821665558731e-06,69,0.5342823266983032,0.6923730969429016,0.6923730969429016,0.6923730969429016,,
7,,79,,,,,0.6116251945495605,0.6892775893211365
7,4.825250925932778e-06,79,0.5360809564590454,0.6927275657653809,0.6927275657653809,0.6927275657653809,,
8,,89,,,,,0.6118180155754089,0.6889771223068237
8,5.075555691291811e-06,89,0.5496128797531128,0.6915661692619324,0.6915661692619324,0.6915661692619324,,
9,,99,,,,,0.6095045208930969,0.68830806016922
9,5.358564067137195e-06,99,0.5592019557952881,0.6903979182243347,0.6903979182243347,0.6903979182243347,,
10,,109,,,,,0.6098901033401489,0.687627375125885
10,5.674077783623943e-06,109,0.5599404573440552,0.6895720958709717,0.6895720958709717,0.6895720958709717,,
11,,119,,,,,0.6116251945495605,0.686528742313385
11,6.021874924044823e-06,119,0.5781893730163574,0.687461256980896,0.687461256980896,0.687461256980896,,
12,,129,,,,,0.6054559350013733,0.6863365173339844
12,6.401716291293269e-06,129,0.5740649700164795,0.6883642077445984,0.6883642077445984,0.6883642077445984,,
13,,139,,,,,0.6107577085494995,0.6851171851158142
13,6.813335858169012e-06,139,0.5903395414352417,0.6866938471794128,0.6866938471794128,0.6866938471794128,,
14,,149,,,,,0.6005398035049438,0.6856836080551147
14,7.256446224346291e-06,149,0.6097438931465149,0.6848528981208801,0.6848528981208801,0.6848528981208801,,
15,,159,,,,,0.6032388210296631,0.685834527015686
15,7.730739525868557e-06,159,0.6197736859321594,0.6830883622169495,0.6830883622169495,0.6830883622169495,,
16,,169,,,,,0.6035280227661133,0.6851834058761597
16,8.235885616159067e-06,169,0.6175699234008789,0.6829108595848083,0.6829108595848083,0.6829108595848083,,
17,,179,,,,,0.6044919490814209,0.6834776997566223
17,8.771530701778829e-06,179,0.6270279884338379,0.6814340353012085,0.6814340353012085,0.6814340353012085,,
18,,189,,,,,0.6154810190200806,0.6829245090484619
18,9.33730279939482e-06,189,0.6414055824279785,0.6796432137489319,0.6796432137489319,0.6796432137489319,,
19,,199,,,,,0.6164449453353882,0.6815096735954285
19,9.932806278811768e-06,199,0.6496962308883667,0.6782661080360413,0.6782661080360413,0.6782661080360413,,
20,,209,,,,,0.6201080083847046,0.6814338564872742
20,1.0557627319940366e-05,209,0.6641572713851929,0.676274836063385,0.676274836063385,0.676274836063385,,
21,,219,,,,,0.6271448135375977,0.6802173852920532
21,1.1211331184313167e-05,219,0.6650029420852661,0.6750152111053467,0.6750152111053467,0.6750152111053467,,
22,,229,,,,,0.6255060434341431,0.6796734929084778
22,1.1893459486600477e-05,229,0.6740678548812866,0.6724380850791931,0.6724380850791931,0.6724380850791931,,
23,,239,,,,,0.6410256624221802,0.6773442625999451
23,1.2603540199052077e-05,239,0.6917927265167236,0.6703077554702759,0.6703077554702759,0.6703077554702759,,
24,,249,,,,,0.6427607536315918,0.6749483942985535
24,1.3341076737560797e-05,249,0.691935658454895,0.6693707704544067,0.6693707704544067,0.6693707704544067,,
25,,259,,,,,0.6475805044174194,0.673801839351654
25,1.4105557966104243e-05,259,0.6965932250022888,0.6681340336799622,0.6681340336799622,0.6681340336799622,,
26,,269,,,,,0.6463273763656616,0.6749016046524048
26,1.4896445463818964e-05,269,0.7020606994628906,0.6664315462112427,0.6664315462112427,0.6664315462112427,,
27,,279,,,,,0.6504724025726318,0.6754342913627625
27,1.571319080539979e-05,279,0.7117450833320618,0.6632092595100403,0.6632092595100403,0.6632092595100403,,
28,,289,,,,,0.6513398885726929,0.6746767163276672
28,1.6555224647163413e-05,289,0.7136390805244446,0.6614115834236145,0.6614115834236145,0.6614115834236145,,
29,,299,,,,,0.6591478586196899,0.6725883483886719
29,1.7421962184016593e-05,299,0.7191423177719116,0.6583511233329773,0.6583511233329773,0.6583511233329773,,
30,,309,,,,,0.6583766937255859,0.6709624528884888
30,1.8312795873498544e-05,309,0.7245622873306274,0.6560008525848389,0.6560008525848389,0.6560008525848389,,
31,,319,,,,,0.6597262620925903,0.6695352792739868
31,1.9227107259212062e-05,319,0.7211196422576904,0.6546212434768677,0.6546212434768677,0.6546212434768677,,
32,,329,,,,,0.661846935749054,0.6698479056358337
32,2.0164261513855308e-05,329,0.72377610206604,0.651921272277832,0.651921272277832,0.651921272277832,,
33,,339,,,,,0.6636784076690674,0.6654905080795288
33,2.1123601982253604e-05,339,0.7260512113571167,0.6487686038017273,0.6487686038017273,0.6487686038017273,,
34,,349,,,,,0.6670522689819336,0.6616884469985962
34,2.2104453819338232e-05,349,0.7278022766113281,0.6462231874465942,0.6462231874465942,0.6462231874465942,,
35,,359,,,,,0.6598225831985474,0.6653502583503723
35,2.3106143999029882e-05,359,0.7241572141647339,0.6439719796180725,0.6439719796180725,0.6439719796180725,,
36,,369,,,,,0.6639676094055176,0.6626432538032532
36,2.4127974029397592e-05,369,0.7294341325759888,0.6394121050834656,0.6394121050834656,0.6394121050834656,,
37,,379,,,,,0.6644495725631714,0.6596353650093079
37,2.5169232685584575e-05,379,0.72745680809021,0.6376385688781738,0.6376385688781738,0.6376385688781738,,
38,,389,,,,,0.6679197549819946,0.6584321856498718
38,2.6229177819914185e-05,389,0.7370458841323853,0.6329478621482849,0.6329478621482849,0.6329478621482849,,
39,,399,,,,,0.6577019691467285,0.6585638523101807
