epoch,learning_rate,step,training_auroc,training_inbatch_coral_loss,training_inbatch_coral_weight,training_inbatch_domain_count,training_loss,training_source_loss,training_total_loss,validation_auroc,validation_loss
0,,9,,,,,,,,0.5117601156234741,0.6993910670280457
0,4.0005338632909115e-06,9,0.5065544843673706,5.003188562113792e-05,0.009999998845160007,2.0,0.6945827603340149,0.6945821642875671,0.6945827603340149,,
1,,19,,,,,,,,0.5181221961975098,0.6981796622276306
1,4.018327217636397e-06,19,0.5387254357337952,5.2026374760316685e-05,0.019999997690320015,2.0,0.6919251680374146,0.6919241547584534,0.6919251680374146,,
2,,29,,,,,,,,0.5274725556373596,0.6970453262329102
2,4.069561327924021e-06,29,0.5090768337249756,4.715043542091735e-05,0.029999997466802597,2.0,0.6938239336013794,0.6938225626945496,0.6938239336013794,,
3,,39,,,,,,,,0.5316175222396851,0.6968823671340942
3,4.154197540628957e-06,39,0.5555002689361572,5.3012357966508716e-05,0.03999999538064003,2.0,0.6906386613845825,0.6906366348266602,0.6906386613845825,,
4,,49,,,,,,,,0.5391362905502319,0.6958526968955994
4,4.272178102837643e-06,49,0.5242167711257935,4.9444439355283976e-05,0.05000000819563866,2.0,0.6929781436920166,0.6929756999015808,0.6929781436920166,,
5,,59,,,,,,,,0.5439560413360596,0.6952387094497681
5,4.423422069521621e-06,59,0.5540441274642944,4.941706356476061e-05,0.05000000819563866,2.0,0.6901122331619263,0.6901097297668457,0.6901122331619263,,
6,,69,,,,,,,,0.546173095703125,0.6938961744308472
6,4.607821665558731e-06,69,0.5422990322113037,4.830667967326008e-05,0.05000000819563866,2.0,0.6905988454818726,0.6905964016914368,0.6905988454818726,,
7,,79,,,,,,,,0.5463659167289734,0.6927946209907532
7,4.825250925932778e-06,79,0.5802620649337769,5.1191800594097e-05,0.05000000819563866,2.0,0.6875601410865784,0.6875576376914978,0.6875601410865784,,
8,,89,,,,,,,,0.5526315569877625,0.6917144060134888
8,5.075555691291811e-06,89,0.5822632312774658,5.032659464632161e-05,0.05000000819563866,2.0,0.6871604323387146,0.6871578097343445,0.6871604323387146,,
9,,99,,,,,,,,0.5585116744041443,0.690674901008606
9,5.358564067137195e-06,99,0.6135199069976807,5.0275299145141616e-05,0.05000000819563866,2.0,0.68345707654953,0.6834545731544495,0.68345707654953,,
10,,109,,,,,,,,0.5659340620040894,0.6891178488731384
10,5.674077783623943e-06,109,0.5810006260871887,4.952635572408326e-05,0.05000000819563866,2.0,0.6866622567176819,0.6866597533226013,0.6866622567176819,,
11,,119,,,,,,,,0.5724889039993286,0.687625527381897
11,6.021874924044823e-06,119,0.5984752774238586,4.751312008011155e-05,0.05000000819563866,2.0,0.6847373843193054,0.6847349405288696,0.6847373843193054,,
12,,129,,,,,,,,0.5810680389404297,0.6863355040550232
12,6.401716291293269e-06,129,0.6163787841796875,4.8761772632133216e-05,0.05000000819563866,2.0,0.682712733745575,0.6827102899551392,0.682712733745575,,
13,,139,,,,,,,,0.5893579721450806,0.6851931214332581
13,6.813335858169012e-06,139,0.618987500667572,5.515908924280666e-05,0.05000000819563866,2.0,0.6818760633468628,0.6818733215332031,0.6818760633468628,,
14,,149,,,,,,,,0.5911895036697388,0.6847807168960571
14,7.256446224346291e-06,149,0.6415276527404785,5.1041741244262084e-05,0.05000000819563866,2.0,0.6795064806938171,0.679503858089447,0.6795064806938171,,
15,,159,,,,,,,,0.60198575258255,0.6831091642379761
15,7.730739525868557e-06,159,0.6633472442626953,5.221224273554981e-05,0.05000000819563866,2.0,0.6754884123802185,0.6754857301712036,0.6754884123802185,,
16,,169,,,,,,,,0.6098901033401489,0.6812917590141296
16,8.235885616159067e-06,169,0.6557950973510742,5.407346543506719e-05,0.05000000819563866,2.0,0.6759244799613953,0.6759216785430908,0.6759244799613953,,
17,,179,,,,,,,,0.6110467910766602,0.6800425052642822
17,8.771530701778829e-06,179,0.6596425771713257,5.59909749426879e-05,0.05000000819563866,2.0,0.6743636727333069,0.674360990524292,0.6743636727333069,,
18,,189,,,,,,,,0.6115288138389587,0.6786169409751892
