epoch,learning_rate,step,training_auroc,training_domain_balanced_blend,training_domain_balanced_loss,training_loss,training_source_loss,training_total_loss,validation_auroc,validation_loss
0,,9,,,,,,,0.5026026964187622,0.697701096534729
0,4.0005338632909115e-06,9,0.49200713634490967,0.5,0.6945467591285706,0.694657027721405,0.694657027721405,0.694657027721405,,
1,,19,,,,,,,0.5160015821456909,0.6967933177947998
1,4.018327217636397e-06,19,0.4982132315635681,0.5,0.6951133012771606,0.6948032975196838,0.6948032975196838,0.6948032975196838,,
2,,29,,,,,,,0.518796980381012,0.6957409381866455
2,4.069561327924021e-06,29,0.529350757598877,0.5,0.6926067471504211,0.6924916505813599,0.6924916505813599,0.6924916505813599,,
3,,39,,,,,,,0.5257374048233032,0.6946199536323547
3,4.154197540628957e-06,39,0.5489100217819214,0.5,0.6907675266265869,0.6907637119293213,0.6907637119293213,0.6907637119293213,,
4,,49,,,,,,,0.5249662399291992,0.6934333443641663
4,4.272178102837643e-06,49,0.5306253433227539,0.5,0.6923255920410156,0.6921917796134949,0.6921917796134949,0.6921917796134949,,
5,,59,,,,,,,0.5303643941879272,0.692496657371521
5,4.423422069521621e-06,59,0.5760214328765869,0.5,0.6884021162986755,0.6882240772247314,0.6882240772247314,0.6882240772247314,,
6,,69,,,,,,,0.5350877046585083,0.6922083497047424
6,4.607821665558731e-06,69,0.5698034763336182,0.5,0.6889404058456421,0.688531219959259,0.688531219959259,0.688531219959259,,
7,,79,,,,,,,0.5462213754653931,0.6911024451255798
7,4.825250925932778e-06,79,0.5799404382705688,0.5,0.6888071894645691,0.6880965232849121,0.6880965232849121,0.6880965232849121,,
8,,89,,,,,,,0.5505108833312988,0.6902272701263428
8,5.075555691291811e-06,89,0.5837403535842896,0.5,0.6883763670921326,0.6876689195632935,0.6876689195632935,0.6876689195632935,,
9,,99,,,,,,,0.5575476884841919,0.6891494989395142
9,5.358564067137195e-06,99,0.5817034244537354,0.5,0.6897863745689392,0.6887404918670654,0.6887404918670654,0.6887404918670654,,
10,,109,,,,,,,0.5644881129264832,0.6881243586540222
10,5.674077783623943e-06,109,0.601929783821106,0.5,0.6861996650695801,0.685573935508728,0.685573935508728,0.685573935508728,,
11,,119,,,,,,,0.5691151022911072,0.6877543330192566
11,6.021874924044823e-06,119,0.6100773811340332,0.5,0.6858246326446533,0.6847627758979797,0.6847627758979797,0.6847627758979797,,
12,,129,,,,,,,0.5735492706298828,0.6874154806137085
