epoch,learning_rate,step,training_loss,validation_auroc,validation_loss
0,,6,,0.5491935610771179,0.3285262882709503
0,4.0030536183621734e-06,6,0.3377193212509155,,
1,,13,,0.5794354677200317,0.32624509930610657
1,4.063194410264259e-06,13,0.33727020025253296,,
2,,20,,0.5723790526390076,0.3233870267868042
2,4.2312722143833525e-06,20,0.3306584358215332,,
3,,27,,0.6040322780609131,0.31968528032302856
3,4.506909135670867e-06,27,0.3282434046268463,,
4,,34,,0.5747984051704407,0.3169056475162506
4,4.889483989245491e-06,34,0.32999616861343384,,
5,,41,,0.5915322303771973,0.3146224915981293
5,5.3781350288772956e-06,41,0.323051393032074,,
6,,48,,0.6084677577018738,0.3113720715045929
6,5.971763130219188e-06,48,0.318502813577652,,
7,,55,,0.6254032850265503,0.3094874322414398
7,6.66903088131221e-06,55,0.3194250762462616,,
8,,62,,0.63286292552948,0.3072628378868103
8,7.468368494301103e-06,62,0.3136192560195923,,
9,,69,,0.6372984051704407,0.30542460083961487
9,8.367976079171058e-06,69,0.3098738491535187,,
10,,76,,0.6425403356552124,0.3032134473323822
10,9.365828191221226e-06,76,0.3055051565170288,,
11,,83,,0.6413305997848511,0.3003183901309967
11,1.0459676559548825e-05,83,0.29918596148490906,,
12,,90,,0.6439516544342041,0.29950281977653503
12,1.1647061910480261e-05,90,0.28745129704475403,,
13,,97,,0.6493951678276062,0.300851047039032
13,1.2925307601108216e-05,97,0.2865026295185089,,
14,,104,,0.6497983932495117,0.30428779125213623
14,1.4291535080701578e-05,104,0.2832127809524536,,
15,,111,,0.6576613187789917,0.30789029598236084
15,1.5742669347673655e-05,111,0.2821597456932068,,
16,,118,,0.6566532254219055,0.3062649965286255
16,1.7275442587560974e-05,118,0.28415173292160034,,
17,,125,,0.6629031896591187,0.3159060478210449
17,1.8886405086959712e-05,125,0.2721095085144043,,
18,,132,,0.6673387289047241,0.31600984930992126
18,2.0571924324030988e-05,132,0.2719387412071228,,
19,,139,,0.6685484051704407,0.3152490258216858
19,2.2328211343847215e-05,139,0.2671129107475281,,
20,,146,,0.6721774339675903,0.3214869797229767
20,2.4151308025466278e-05,146,0.26880040764808655,,
21,,153,,0.67580646276474,0.3194091320037842
21,2.603711254778318e-05,153,0.26225098967552185,,
22,,160,,0.6822580099105835,0.3168177008628845
22,2.7981373932561837e-05,160,0.25254011154174805,,
23,,167,,0.6927419304847717,0.3362785875797272
23,2.9979719329276122e-05,167,0.2494400292634964,,
24,,174,,0.6907258033752441,0.32282859086990356
24,3.2027644920162857e-05,174,0.25709018111228943,,
25,,181,,0.6995967626571655,0.33823761343955994
25,3.412054866203107e-05,181,0.25280898809432983,,
26,,188,,0.7044354677200317,0.32909008860588074
26,3.625369936344214e-05,188,0.2490791529417038,,
27,,195,,0.7120968103408813,0.30761823058128357
27,3.842230944428593e-05,195,0.2405880242586136,,
28,,202,,0.7145161628723145,0.3441846966743469
28,4.0621500374982134e-05,202,0.24278056621551514,,
