epoch,learning_rate,step,training_auroc,training_loss,training_source_loss,training_total_loss,validation_auroc,validation_loss
0,,2,,,,,0.4333333373069763,0.6742529273033142
0,4.096598331670975e-06,2,0.5854700803756714,0.6955631971359253,0.6955631971359253,0.6955631971359253,,
1,,5,,,,,0.4313725233078003,0.6750518679618835
1,4.594730398821412e-06,5,0.5923076868057251,0.6911837458610535,0.6911837458610535,0.6911837458610535,,
2,,8,,,,,0.42549020051956177,0.6767153143882751
2,5.697610049537616e-06,8,0.5916972160339355,0.69170081615448,0.69170081615448,0.69170081615448,,
3,,11,,,,,0.42941176891326904,0.6788568496704102
3,7.391168765025213e-06,11,0.5947496891021729,0.6894805431365967,0.6894805431365967,0.6894805431365967,,
4,,14,,,,,0.4333333373069763,0.6816532611846924
4,9.65380240813829e-06,14,0.6031745672225952,0.686854898929596,0.686854898929596,0.686854898929596,,
5,,17,,,,,0.4215686321258545,0.6852043867111206
5,1.2456644071789924e-05,17,0.6145299077033997,0.6841993927955627,0.6841993927955627,0.6841993927955627,,
6,,20,,,,,0.4215686321258545,0.6893088221549988
6,1.5763938790769316e-05,20,0.6255189180374146,0.6813787221908569,0.6813787221908569,0.6813787221908569,,
7,,23,,,,,0.4176470637321472,0.6944268941879272
7,1.953349965333473e-05,23,0.6302808523178101,0.6789478659629822,0.6789478659629822,0.6789478659629822,,
8,,26,,,,,0.41960781812667847,0.6975008249282837
8,2.371723167016171e-05,26,0.6503052711486816,0.6748876571655273,0.6748876571655273,0.6748876571655273,,
9,,29,,,,,0.43529409170150757,0.6981415152549744
9,2.826177114911843e-05,29,0.6556776762008667,0.6727958917617798,0.6727958917617798,0.6727958917617798,,
10,,32,,,,,0.45686274766921997,0.695572555065155
10,3.310913598397747e-05,32,0.6816849708557129,0.6675633192062378,0.6675633192062378,0.6675633192062378,,
11,,35,,,,,0.4745097756385803,0.6911172866821289
11,3.8197489629965276e-05,35,0.7004883885383606,0.6625861525535583,0.6625861525535583,0.6625861525535583,,
12,,38,,,,,0.5058823823928833,0.6823593974113464
12,4.346192145021632e-05,38,0.7315018177032471,0.6540268063545227,0.6540268063545227,0.6540268063545227,,
13,,41,,,,,0.5509803891181946,0.6728677749633789
13,4.88352743559517e-05,41,0.7461538314819336,0.6477818489074707,0.6477818489074707,0.6477818489074707,,
14,,44,,,,,0.5725489854812622,0.6697014570236206
14,5.4249001550488174e-05,44,0.7670329809188843,0.6392701268196106,0.6392701268196106,0.6392701268196106,,
15,,47,,,,,0.5882352590560913,0.6665499210357666
15,5.9634039644151926e-05,47,0.7737483978271484,0.6316888332366943,0.6316888332366943,0.6316888332366943,,
16,,50,,,,,0.6000000238418579,0.6602910161018372
16,6.492168176919222e-05,50,0.7808302640914917,0.6242353320121765,0.6242353320121765,0.6242353320121765,,
17,,53,,,,,0.611764669418335,0.6614324450492859
17,7.004448707448319e-05,53,0.7897436022758484,0.6140358448028564,0.6140358448028564,0.6140358448028564,,
18,,56,,,,,0.6274509429931641,0.6628530621528625
18,7.493710290873423e-05,56,0.795604407787323,0.6032181978225708,0.6032181978225708,0.6032181978225708,,
19,,59,,,,,0.6529411673545837,0.6572998762130737
19,7.953710883157328e-05,59,0.803174614906311,0.5927720665931702,0.5927720665931702,0.5927720665931702,,
20,,62,,,,,0.656862735748291,0.651273787021637
20,8.378582424484193e-05,62,0.812820553779602,0.5819927453994751,0.5819927453994751,0.5819927453994751,,
21,,65,,,,,0.6745097637176514,0.6379638910293579
21,8.762905054027215e-05,65,0.8266178369522095,0.5682902932167053,0.5682902932167053,0.5682902932167053,,
22,,68,,,,,0.6941176652908325,0.6321281790733337
22,9.101775503950194e-05,68,0.83675217628479,0.5566636323928833,0.5566636323928833,0.5566636323928833,,
23,,71,,,,,0.7156862616539001,0.6255185604095459
23,9.390871127834544e-05,71,0.8478632569313049,0.5437749028205872,0.5437749028205872,0.5437749028205872,,
24,,74,,,,,0.7254902124404907,0.6301015615463257
24,9.626503742765635e-05,74,0.8576312065124512,0.5307174921035767,0.5307174921035767,0.5307174921035767,,
25,,77,,,,,0.7294117212295532,0.6223700642585754
25,9.80566765065305e-05,77,0.8619047403335571,0.5181857943534851,0.5181857943534851,0.5181857943534851,,
26,,80,,,,,0.7352941036224365,0.6025741100311279
26,9.92607674561441e-05,80,0.8726495504379272,0.5020998120307922,0.5020998120307922,0.5020998120307922,,
27,,83,,,,,0.7333333492279053,0.6159104108810425
27,9.986513032345101e-05,83,0.8787546157836914,0.49102747440338135,0.49102747440338135,0.49102747440338135,,
28,,86,,,,,0.7392156720161438,0.6014903783798218
28,9.997368033509701e-05,86,0.8841270208358765,0.4786701798439026,0.4786701798439026,0.4786701798439026,,
29,,89,,,,,0.7392156720161438,0.6211857795715332
29,9.986280201701447e-05,89,0.8986569046974182,0.46206918358802795,0.46206918358802795,0.46206918358802795,,
30,,92,,,,,0.7431372404098511,0.6042044758796692
30,9.964295168174431e-05,92,0.9118437767028809,0.44839102029800415,0.44839102029800415,0.44839102029800415,,
31,,95,,,,,0.7392156720161438,0.5993626117706299
31,9.931462409440428e-05,95,0.9197802543640137,0.4378787875175476,0.4378787875175476,0.4378787875175476,,
