epoch,learning_rate,step,training_auroc,training_loss,training_source_loss,training_total_loss,validation_auroc,validation_loss
0,,2,,,,,0.5362745523452759,0.678635835647583
0,4.096598331670975e-06,2,0.4594627618789673,0.7064226865768433,0.7064226865768433,0.7064226865768433,,
1,,5,,,,,0.5480391979217529,0.6808068752288818
1,4.594730398821412e-06,5,0.4650793671607971,0.7049638628959656,0.7049638628959656,0.7049638628959656,,
2,,8,,,,,0.5578430891036987,0.681181788444519
2,5.697610049537616e-06,8,0.4772893786430359,0.7028284668922424,0.7028284668922424,0.7028284668922424,,
3,,11,,,,,0.5558823347091675,0.6838068962097168
3,7.391168765025213e-06,11,0.4741147756576538,0.7026889324188232,0.7026889324188232,0.7026889324188232,,
4,,14,,,,,0.550000011920929,0.6845192313194275
4,9.65380240813829e-06,14,0.478388249874115,0.701386570930481,0.701386570930481,0.701386570930481,,
5,,17,,,,,0.54313725233078,0.6854628920555115
5,1.2456644071789924e-05,17,0.4882783889770508,0.6993523240089417,0.6993523240089417,0.6993523240089417,,
6,,20,,,,,0.5382353067398071,0.6849865913391113
6,1.5763938790769316e-05,20,0.49963366985321045,0.6973991990089417,0.6973991990089417,0.6973991990089417,,
7,,23,,,,,0.5470588207244873,0.6847774386405945
7,1.953349965333473e-05,23,0.5181928873062134,0.6946139335632324,0.6946139335632324,0.6946139335632324,,
8,,26,,,,,0.5460784435272217,0.6839355230331421
8,2.371723167016171e-05,26,0.5327228307723999,0.6927669644355774,0.6927669644355774,0.6927669644355774,,
9,,29,,,,,0.5372548699378967,0.6840481162071228
9,2.826177114911843e-05,29,0.5636141300201416,0.6879115104675293,0.6879115104675293,0.6879115104675293,,
10,,32,,,,,0.5245097875595093,0.6826689839363098
10,3.310913598397747e-05,32,0.579365074634552,0.6847415566444397,0.6847415566444397,0.6847415566444397,,
11,,35,,,,,0.5196077823638916,0.6777800917625427
11,3.8197489629965276e-05,35,0.6074481010437012,0.6809911727905273,0.6809911727905273,0.6809911727905273,,
12,,38,,,,,0.5127450823783875,0.6754166483879089
12,4.346192145021632e-05,38,0.6333333253860474,0.6747618317604065,0.6747618317604065,0.6747618317604065,,
13,,41,,,,,0.5058823823928833,0.6759681701660156
13,4.88352743559517e-05,41,0.6528693437576294,0.6696001887321472,0.6696001887321472,0.6696001887321472,,
14,,44,,,,,0.49705880880355835,0.6771907806396484
14,5.4249001550488174e-05,44,0.6824175715446472,0.6624733209609985,0.6624733209609985,0.6624733209609985,,
