,,count,roc_auc_score,average_precision_score,f1_score,p_value
split-0,0,40,0.8790322580645161,0.8488861588822881,0.7608695652173914,9.679958973272958e-13
split-0,1,62,0.8790322580645161,0.9194809735946237,0.8035714285714286,9.679958973272958e-13
split-1,0,40,0.8540322580645161,0.7760729137182886,0.7415730337078652,1.395870888323537e-11
split-1,1,62,0.8540322580645161,0.9020964410684678,0.8,1.395870888323537e-11
split-2,0,40,0.7999999999999999,0.7142164914782257,0.6956521739130435,3.8819996026771725e-08
split-2,1,62,0.7999999999999999,0.8753973133231602,0.75,3.8819996026771725e-08
split-3,0,40,0.8604838709677419,0.7376635738726074,0.782608695652174,4.67266459410129e-13
split-3,1,62,0.8604838709677418,0.9271763703957462,0.8214285714285714,4.672664594101244e-13
split-4,0,40,0.8032786885245902,0.6770126651149013,0.7252747252747253,1.8556410576562578e-08
split-4,1,61,0.8032786885245902,0.8690448737536975,0.7747747747747747,1.8556410576562912e-08
