,,count,roc_auc_score,average_precision_score,f1_score,p_value
split-0,0,40,0.6911290322580645,0.5636345957013975,0.6373626373626373,0.0016377171968332191
split-0,1,62,0.6911290322580645,0.7735145975827526,0.7079646017699115,0.0016377182882812834
split-1,0,40,0.7544354838709677,0.5689704559765458,0.6813186813186813,1.5613811141279842e-06
split-1,1,62,0.7544354838709677,0.8701607428373289,0.7433628318584071,1.5613824206663468e-06
split-2,0,40,0.7088709677419355,0.5390189948618135,0.5882352941176471,0.00016692488864174934
split-2,1,62,0.7088709677419355,0.8286790072560788,0.7058823529411765,0.0001669248438252525
split-3,0,40,0.6548387096774193,0.5077315100294422,0.475,0.0033562359692237134
split-3,1,62,0.6548387096774194,0.7937147020586317,0.6612903225806451,0.0033562351242585843
split-4,0,40,0.7467213114754099,0.5887829678615903,0.5925925925925926,2.236378013204383e-05
split-4,1,61,0.7467213114754098,0.8467545232272373,0.7272727272727273,2.236378750928168e-05
