,,count,roc_auc_score,average_precision_score,f1_score,p_value
split-0,0,40,0.7161290322580646,0.5834838659635461,0.6067415730337079,0.0002099407059045039
split-0,1,62,0.7161290322580646,0.8067938676545696,0.6956521739130435,0.00020994059626387994
split-1,0,40,0.7383064516129032,0.5634276195314998,0.6206896551724138,7.108418852363319e-06
split-1,1,62,0.7383064516129033,0.8483648081661027,0.717948717948718,7.1084281533146934e-06
split-2,0,40,0.7125,0.5435755414522966,0.6,7.803946492039923e-05
split-2,1,62,0.7124999999999999,0.8183938429580367,0.7419354838709677,7.803947481925732e-05
split-3,0,40,0.6544354838709678,0.4834975905581343,0.4691358024691358,0.0010489200992998405
split-3,1,62,0.6544354838709677,0.8146418620671778,0.6504065040650406,0.0010489187062603577
split-4,0,40,0.7393442622950819,0.5809859230745272,0.6206896551724138,2.2644131696383937e-05
split-4,1,61,0.739344262295082,0.8410316829636666,0.7130434782608696,2.2644109565313828e-05
