,,count,roc_auc_score,average_precision_score,f1_score,p_value
split-0,0,40,0.5491935483870968,0.4783781527162046,0.0,0.699343482100904
split-0,1,62,0.5491935483870968,0.6260020901560247,0.7484662576687117,0.6993436799143591
split-1,0,40,0.7290322580645161,0.5819550941384315,0.6736842105263158,3.283117557367566e-06
split-1,1,62,0.729032258064516,0.8429108988863585,0.7155963302752294,3.28311311950037e-06
split-2,0,40,0.7294354838709677,0.5681911243792085,0.5641025641025641,2.178373364666475e-05
split-2,1,62,0.7294354838709677,0.8414488218144283,0.7301587301587301,2.1783742623786922e-05
split-3,0,40,0.7088709677419355,0.5236285632062967,0.5783132530120482,0.00034009732815843145
split-3,1,62,0.7088709677419356,0.8329960206732663,0.7107438016528925,0.000340097158988844
split-4,0,40,0.7290983606557377,0.5625546400179217,0.55,4.879036022593143e-05
split-4,1,61,0.7290983606557379,0.8472903450387546,0.7049180327868853,4.8790376732539206e-05
