,,count,roc_auc_score,average_precision_score,f1_score,p_value
split-0,0,40,0.7504032258064516,0.6689374287071443,0.6813186813186813,8.313090068816537e-06
split-0,1,62,0.7504032258064516,0.8306693721419098,0.7433628318584071,8.313085418924024e-06
split-1,0,40,0.7362903225806452,0.5692636461779933,0.6875,7.325121923931199e-06
split-1,1,62,0.7362903225806451,0.8525487231266956,0.7222222222222222,7.325124093966056e-06
split-2,0,40,0.7584677419354838,0.6597807573356699,0.6728971962616822,3.7766099086169614e-06
split-2,1,62,0.7584677419354838,0.8458266613280012,0.6391752577319587,3.7766077119981204e-06
split-3,0,40,0.6427419354838709,0.45836559599577553,0.4634146341463415,0.0020790078166743648
split-3,1,62,0.6427419354838709,0.8001226119025984,0.639344262295082,0.0020790072976745355
split-4,0,40,0.7573770491803279,0.5978255268163072,0.673469387755102,2.5653265317328428e-06
split-4,1,61,0.7573770491803279,0.8585195084280205,0.6923076923076923,2.5653267625687412e-06
