,,count,roc_auc_score,average_precision_score,f1_score,p_value
split-0,0,40,0.7112903225806451,0.5724536935824798,0.6666666666666666,0.0001576248088596591
split-0,1,62,0.7112903225806452,0.7978889250613663,0.6666666666666666,0.00015762469484245235
split-1,0,40,0.752016129032258,0.5974992735689761,0.6938775510204082,2.3930133056307627e-06
split-1,1,62,0.7520161290322581,0.8558339463590576,0.7169811320754716,2.3930145289154147e-06
split-2,0,40,0.7024193548387097,0.5222063871578988,0.5476190476190477,0.00016886758015440204
split-2,1,62,0.7024193548387095,0.8235972668582778,0.6833333333333333,0.00016886742659523915
split-3,0,40,0.6891129032258065,0.5178916443487227,0.5517241379310345,0.00042579066290494676
split-3,1,62,0.6891129032258064,0.827852643034195,0.6666666666666666,0.0004257908191247606
split-4,0,40,0.7147540983606557,0.5551216137564667,0.5333333333333333,0.0001590210677045397
split-4,1,61,0.7147540983606557,0.8262720471300254,0.7244094488188977,0.0001590209630197117
