,,count,roc_auc_score,average_precision_score,f1_score,p_value
split-0,0,40,0.7467741935483871,0.6416743867128704,0.6526315789473685,8.167707049634317e-06
split-0,1,62,0.7467741935483871,0.8334448516916637,0.6972477064220184,8.167707408334935e-06
split-1,0,40,0.7826612903225807,0.6221116649107915,0.7157894736842105,1.339614372978583e-07
split-1,1,62,0.7826612903225807,0.869870071215751,0.7522935779816514,1.3396152203739728e-07
split-2,0,40,0.7455645161290323,0.602038105657184,0.6292134831460674,9.301031690187275e-06
split-2,1,62,0.7455645161290324,0.8397341991838143,0.7130434782608696,9.301023766934619e-06
split-3,0,40,0.6612903225806451,0.4759939275135691,0.4266666666666667,0.001506558284771826
split-3,1,62,0.6612903225806452,0.8113383510621658,0.6666666666666666,0.0015065592897175904
split-4,0,40,0.7659836065573771,0.6168415661289449,0.7021276595744681,5.390535717381327e-07
split-4,1,61,0.7659836065573771,0.8678578555709674,0.7407407407407407,5.390543982957896e-07
