,,count,roc_auc_score,average_precision_score,f1_score,p_value
split-0,0,40,0.753225806451613,0.6018366734739097,0.6818181818181818,8.888581499199475e-06
split-0,1,62,0.7532258064516129,0.8083734650586263,0.7586206896551724,8.888584459822841e-06
split-1,0,40,0.7552419354838709,0.6026643934588669,0.6730769230769231,5.0256992040682e-06
split-1,1,62,0.755241935483871,0.8528352102826301,0.66,5.025698993498767e-06
split-2,0,40,0.7463709677419355,0.6298449299838331,0.6373626373626373,9.712318835273056e-06
split-2,1,62,0.7463709677419355,0.8407613711391159,0.7079646017699115,9.712316095028136e-06
split-3,0,40,0.6758064516129032,0.5257332411371151,0.6181818181818182,0.0016268697791570195
split-3,1,62,0.6758064516129031,0.8009325551274857,0.5531914893617021,0.001626874664988651
split-4,0,40,0.7475409836065574,0.5694464979951794,0.673469387755102,3.879159620238682e-06
split-4,1,61,0.7475409836065573,0.8560756808666807,0.6923076923076923,3.879157337142572e-06
