,,count,roc_auc_score,average_precision_score,f1_score,p_value
split-0,0,40,0.7463709677419356,0.6440096041605826,0.6024096385542169,7.556989716141522e-06
split-0,1,62,0.7463709677419355,0.8275993631504857,0.7272727272727273,7.556985039084498e-06
split-1,0,40,0.747983870967742,0.5929901772579791,0.6875,1.8789355272760315e-06
split-1,1,62,0.747983870967742,0.8587547600259555,0.7222222222222222,1.8789378080367467e-06
split-2,0,40,0.7411290322580645,0.5840414785441235,0.6521739130434783,1.1207384142033898e-05
split-2,1,62,0.7411290322580646,0.8390620333908527,0.7142857142857143,1.1207378714349555e-05
split-3,0,40,0.6955645161290323,0.5077061380226985,0.5681818181818182,0.00032835695351166494
split-3,1,62,0.6955645161290323,0.8299797941532827,0.6724137931034483,0.0003283567139573556
split-4,0,40,0.743032786885246,0.5449607261608246,0.627906976744186,6.369049617397134e-06
split-4,1,61,0.743032786885246,0.8568280195349884,0.7241379310344828,6.369051631432557e-06
