,,count,roc_auc_score,average_precision_score,f1_score,p_value
split-0,0,40,0.746774193548387,0.638483927970783,0.6597938144329897,7.826459891695998e-06
split-0,1,62,0.7467741935483871,0.8299417780252432,0.6915887850467289,7.826459218701406e-06
split-1,0,40,0.7540322580645161,0.5863738490091472,0.7010309278350515,1.120273654323777e-06
split-1,1,62,0.754032258064516,0.8645180136210481,0.7289719626168224,1.1202740194858413e-06
split-2,0,40,0.7495967741935483,0.5950392843893305,0.6464646464646465,6.633099984480807e-06
split-2,1,62,0.7495967741935484,0.8441185426293369,0.6666666666666666,6.633097100252469e-06
split-3,0,40,0.675,0.5011937238169372,0.5833333333333334,0.0006122545458673531
split-3,1,62,0.6750000000000002,0.8202055546796143,0.6296296296296297,0.0006122551439374436
split-4,0,40,0.7508196721311475,0.5629972792808294,0.6736842105263158,3.021072216764863e-06
split-4,1,61,0.7508196721311475,0.8582149815768281,0.7102803738317757,3.021069856448159e-06
