,,count,roc_auc_score,average_precision_score,f1_score,p_value
split-0,0,40,0.7451612903225807,0.6274570428785359,0.6530612244897959,9.386169800406355e-06
split-0,1,62,0.7451612903225806,0.8318748627885358,0.6792452830188679,9.386167581961616e-06
split-1,0,40,0.7524193548387097,0.5844512505861357,0.6875,1.1604967542918922e-06
split-1,1,62,0.7524193548387098,0.8619924364320867,0.7222222222222222,1.1604979253147809e-06
split-2,0,40,0.7362903225806452,0.5755803882020123,0.6666666666666666,1.7411232845339736e-05
split-2,1,62,0.7362903225806452,0.840753423158312,0.6857142857142857,1.7411226503324655e-05
split-3,0,40,0.6754032258064516,0.5037680727394435,0.5869565217391305,0.000513107279093832
split-3,1,62,0.6754032258064516,0.8205329853117307,0.6607142857142857,0.0005131071554275616
split-4,0,40,0.7540983606557377,0.5655422415700508,0.7021276595744681,1.5650661311705297e-06
split-4,1,61,0.7540983606557378,0.8615991148256663,0.7407407407407407,1.5650651289466948e-06
