,,count,roc_auc_score,average_precision_score,f1_score,p_value
split-0,0,40,0.7463709677419355,0.6314289825621112,0.5277777777777778,8.75665704643556e-06
split-0,1,62,0.7463709677419355,0.8292261239812418,0.7424242424242424,8.756665378600539e-06
split-1,0,40,0.7427419354838709,0.5752665116884966,0.55,2.5170783796767434e-06
split-1,1,62,0.7427419354838709,0.8565874998610297,0.7096774193548387,2.517080461614844e-06
split-2,0,40,0.7370967741935484,0.5760266158026198,0.5070422535211268,1.896326178147731e-05
split-2,1,62,0.7370967741935484,0.8453756044092506,0.7368421052631579,1.896328008340993e-05
split-3,0,40,0.677016129032258,0.5037165928204035,0.4935064935064935,0.0014859052740058827
split-3,1,62,0.677016129032258,0.8201620714861657,0.6929133858267716,0.0014859050131617443
split-4,0,40,0.7483606557377049,0.5738401569262245,0.6024096385542169,5.062103617924182e-06
split-4,1,61,0.7483606557377049,0.857726066011133,0.7226890756302521,5.062104993325266e-06
