,,count,roc_auc_score,average_precision_score,f1_score,p_value
split-0,0,40,0.6951612903225807,0.5465235360606334,0.6470588235294118,0.0001788583467293658
split-0,1,62,0.6951612903225807,0.8069663287652263,0.6470588235294118,0.00017885848248788436
split-1,0,40,0.7846774193548387,0.6543896516671301,0.6875,2.1796116351340423e-07
split-1,1,62,0.7846774193548387,0.8644251450851779,0.7222222222222222,2.1796091685066022e-07
split-2,0,40,0.7108870967741936,0.5338358405499959,0.631578947368421,5.323439780739008e-05
split-2,1,62,0.7108870967741935,0.8306767228512696,0.6788990825688074,5.3234444326333544e-05
split-3,0,40,0.6669354838709678,0.4959243913932202,0.6041666666666666,0.000576337198122337
split-3,1,62,0.6669354838709678,0.8148701056060534,0.6481481481481481,0.0005763372460843135
split-4,0,40,0.7594262295081968,0.5628277503004544,0.6444444444444445,7.30930989482927e-07
split-4,1,61,0.7594262295081967,0.8688049664036923,0.7142857142857143,7.30931535171771e-07
