,,count,roc_auc_score,average_precision_score,f1_score,p_value
split-0,0,40,0.6951612903225807,0.5427869428975179,0.6262626262626263,0.0001687708746143642
split-0,1,62,0.6951612903225807,0.8099535661901207,0.6476190476190476,0.0001687707672900611
split-1,0,40,0.7423387096774194,0.5835927582082465,0.6938775510204082,2.2299988849804402e-06
split-1,1,62,0.7423387096774193,0.8489647338378994,0.7169811320754716,2.230001456610796e-06
split-2,0,40,0.7096774193548387,0.5383908362797027,0.6304347826086957,6.226300861227133e-05
split-2,1,62,0.7096774193548387,0.8288031456570426,0.6964285714285714,6.226305105154519e-05
split-3,0,40,0.7495967741935483,0.5990322698335272,0.6464646464646465,5.639195893966645e-06
split-3,1,62,0.7495967741935484,0.8568101756682323,0.6666666666666666,5.639194278318214e-06
split-4,0,40,0.7651639344262295,0.5818230900093937,0.7216494845360825,3.649106886596358e-07
split-4,1,61,0.7651639344262295,0.8723208132505015,0.7428571428571429,3.649103907172051e-07
