,,count,roc_auc_score,average_precision_score,f1_score,p_value
split-0,0,40,0.7431451612903227,0.6291118746456962,0.6458333333333334,8.567253973059913e-06
split-0,1,62,0.7431451612903226,0.8285182714143895,0.6851851851851852,8.567253557423653e-06
split-1,0,40,0.7483870967741935,0.5826057843293335,0.6875,1.845883132426129e-06
split-1,1,62,0.7483870967741935,0.8607741341434731,0.7222222222222222,1.8458832387758995e-06
split-2,0,40,0.7298387096774194,0.558936996146536,0.6666666666666666,1.5004283858609424e-05
split-2,1,62,0.7298387096774193,0.8408315512090452,0.6857142857142857,1.5004302394883465e-05
split-3,0,40,0.6705645161290323,0.4812163385165978,0.6,0.0005431091231684077
split-3,1,62,0.6705645161290323,0.8188146380102925,0.6153846153846154,0.0005431091119562902
split-4,0,40,0.7540983606557377,0.5827158385837874,0.6666666666666666,2.987501235994133e-06
split-4,1,61,0.7540983606557378,0.8613123762117073,0.7478260869565218,2.987499572215703e-06
