,,count,roc_auc_score,average_precision_score,f1_score,p_value
split-0,0,40,0.7471774193548387,0.6476406817557573,0.6530612244897959,9.039286906662107e-06
split-0,1,62,0.7471774193548388,0.8345828659204538,0.6792452830188679,9.039286332303072e-06
split-1,0,40,0.7350806451612903,0.5625750877596959,0.7010309278350515,2.5121841181580356e-06
split-1,1,62,0.7350806451612905,0.8528418479489359,0.7289719626168224,2.512184835821784e-06
split-2,0,40,0.7564516129032258,0.5911994187299754,0.673469387755102,4.5414695967523184e-06
split-2,1,62,0.7564516129032258,0.8499939971042788,0.6981132075471698,4.541471600197021e-06
split-3,0,40,0.6661290322580645,0.4788705772394539,0.5625,0.0005673960832664871
split-3,1,62,0.6661290322580646,0.8198023093630534,0.6111111111111112,0.0005673961069501536
split-4,0,40,0.7606557377049181,0.5701292494300338,0.6808510638297872,1.7417189091340551e-06
split-4,1,61,0.760655737704918,0.866889751635741,0.7222222222222222,1.7417189618086264e-06
