,,count,roc_auc_score,average_precision_score,f1_score,p_value
split-0,0,40,0.6870967741935484,0.5463678666844956,0.6296296296296297,0.00013665818623515594
split-0,1,62,0.6870967741935483,0.818642374012031,0.5833333333333334,0.00013665817779846687
split-1,0,40,0.7657258064516129,0.628978267120612,0.68,2.7003844690527295e-07
split-1,1,62,0.7657258064516129,0.869677244256315,0.6923076923076923,2.7003829896182796e-07
split-2,0,40,0.7681451612903225,0.6127268905268187,0.6666666666666666,3.6173378885613786e-06
split-2,1,62,0.7681451612903225,0.8551804160707879,0.6021505376344086,3.6173421088732147e-06
split-3,0,40,0.7580645161290323,0.6040651298226956,0.6538461538461539,1.2648318733388304e-06
split-3,1,62,0.7580645161290323,0.8588102926003488,0.64,1.2648312805557958e-06
split-4,0,40,0.7795081967213114,0.5962897815541861,0.7010309278350515,3.043312779745783e-08
split-4,1,61,0.7795081967213116,0.8812410711925283,0.7238095238095238,3.0433121113252045e-08
