,,count,roc_auc_score,average_precision_score,f1_score,p_value
split-0,0,40,0.7032258064516128,0.5911683509087949,0.6464646464646465,0.00013215383520168145
split-0,1,62,0.7032258064516128,0.7917633112056656,0.6666666666666666,0.0001321538191892784
split-1,0,40,0.7524193548387097,0.6007967364249239,0.6595744680851063,9.265817369248601e-07
split-1,1,62,0.7524193548387097,0.8549232631417534,0.7090909090909091,9.265817041489178e-07
split-2,0,40,0.714516129032258,0.5281673325543972,0.6021505376344086,6.128569136990808e-05
split-2,1,62,0.714516129032258,0.8331814370581473,0.6666666666666666,6.128579880833451e-05
split-3,0,40,0.6681451612903226,0.5204009523365986,0.5773195876288659,0.0007916887259110481
split-3,1,62,0.6681451612903225,0.8179930197987657,0.616822429906542,0.0007916896041137044
split-4,0,40,0.7360655737704919,0.5747527991085987,0.6881720430107527,1.768682398611489e-05
split-4,1,61,0.7360655737704918,0.842786486090125,0.7339449541284404,1.7686817971295247e-05
