,,count,roc_auc_score,average_precision_score,f1_score,p_value
split-0,0,40,0.7403225806451613,0.6006015514008423,0.6470588235294118,3.595895214542378e-05
split-0,1,62,0.7403225806451612,0.8382337648320316,0.6470588235294118,3.5958982766440415e-05
split-1,0,40,0.7895161290322581,0.5951350076089343,0.7083333333333334,2.5216649926692985e-08
split-1,1,62,0.789516129032258,0.8847532347264917,0.7407407407407407,2.5216660237774994e-08
split-2,0,40,0.7225806451612904,0.5888328408359483,0.6274509803921569,3.0787730105490166e-05
split-2,1,62,0.7225806451612903,0.8316513655693911,0.6274509803921569,3.078771625063661e-05
split-3,0,40,0.7334677419354838,0.5632489828480932,0.6796116504854369,3.5221736219580483e-06
split-3,1,62,0.7334677419354838,0.8528610829212753,0.6732673267326733,3.522170493665793e-06
split-4,0,40,0.7696721311475409,0.5545648552074122,0.7096774193548387,5.1732270920856127e-08
split-4,1,61,0.769672131147541,0.8824631435848103,0.7522935779816514,5.173226899130679e-08
