,,count,roc_auc_score,average_precision_score,f1_score,p_value
split-0,0,40,0.7870967741935484,0.645682735502888,0.6391752577319587,3.205756144470207e-06
split-0,1,62,0.7870967741935483,0.8613443988222144,0.6728971962616822,3.205759140906485e-06
split-1,0,40,0.7967741935483872,0.6223318759812833,0.7391304347826086,2.2632562891919133e-08
split-1,1,62,0.7967741935483871,0.8834362440791041,0.7857142857142857,2.263256958634275e-08
split-2,0,40,0.7076612903225806,0.5335639977027812,0.5681818181818182,8.170328713072486e-05
split-2,1,62,0.7076612903225805,0.825898831128763,0.6724137931034483,8.170321391675193e-05
split-3,0,40,0.7028225806451613,0.5438633719386263,0.6236559139784946,1.791012144122596e-05
split-3,1,62,0.7028225806451612,0.8419082305024918,0.6846846846846847,1.7910110760784943e-05
split-4,0,40,0.7762295081967213,0.5755070137569921,0.6172839506172839,1.5373096203898542e-07
split-4,1,61,0.7762295081967212,0.8827562579506062,0.743801652892562,1.5373095393278898e-07
