,,count,roc_auc_score,average_precision_score,f1_score,p_value
split-0,0,40,0.7975806451612903,0.6822442826657412,0.6732673267326733,1.23079547403473e-06
split-0,1,62,0.7975806451612903,0.8698153769621402,0.6796116504854369,1.2307954740347222e-06
split-1,0,40,0.7903225806451613,0.626646141414337,0.7096774193548387,4.519396175259935e-08
split-1,1,62,0.7903225806451613,0.8795290913039313,0.7567567567567568,4.519396175259935e-08
split-2,0,40,0.7383064516129032,0.5855379698466752,0.6105263157894737,9.16881498920097e-06
split-2,1,62,0.7383064516129032,0.8426807416668043,0.6605504587155964,9.16881498920092e-06
split-3,0,40,0.7016129032258065,0.5198326363858862,0.5869565217391305,3.602139802099782e-05
split-3,1,62,0.7016129032258064,0.8389757875565204,0.6607142857142857,3.602139802099801e-05
split-4,0,40,0.7745901639344263,0.5882889912348317,0.6511627906976745,1.1616823882631692e-07
split-4,1,61,0.7745901639344261,0.8805440751465688,0.7413793103448276,1.1616823882631771e-07
