,,count,roc_auc_score,average_precision_score,f1_score,p_value
split-0,0,40,0.7451612903225806,0.6110597252779135,0.6185567010309279,5.009043987525516e-06
split-0,1,62,0.7451612903225806,0.8475081996075763,0.6542056074766355,5.009039760126869e-06
split-1,0,40,0.7471774193548387,0.5541817242421816,0.6666666666666666,6.80056677367315e-07
split-1,1,62,0.7471774193548386,0.8623176913567222,0.7037037037037037,6.800568595197997e-07
split-2,0,40,0.7661290322580645,0.6480399808627603,0.6511627906976745,1.3440767608280926e-06
split-2,1,62,0.7661290322580645,0.8560512813092952,0.7457627118644068,1.3440764904625059e-06
split-3,0,40,0.7891129032258064,0.6229845905532608,0.5789473684210527,3.902414889587735e-07
split-3,1,62,0.7891129032258065,0.8819365318674655,0.75,3.9024145637292846e-07
split-4,0,40,0.7581967213114754,0.5697805613445186,0.5813953488372093,2.3211293271955213e-06
split-4,1,61,0.7581967213114754,0.8717089877109879,0.6896551724137931,2.3211318029024997e-06
