,,count,roc_auc_score,average_precision_score,f1_score,p_value
split-0,0,40,0.6487903225806452,0.5861217935271882,0.5227272727272727,0.01031024630939728
split-0,1,62,0.6487903225806452,0.7197095770698404,0.6379310344827587,0.010310248172820113
split-1,0,40,0.739516129032258,0.6122439827535804,0.625,2.1642514994309927e-05
split-1,1,62,0.7395161290322582,0.8231949433962495,0.7580645161290323,2.164247670219551e-05
split-2,0,40,0.5169354838709677,0.4022500036123365,0.0,0.8596695574928824
split-2,1,62,0.5169354838709678,0.6331877569551916,0.7560975609756098,0.8596694181283917
split-3,0,40,0.719758064516129,0.5767569815888255,0.4307692307692308,0.0001654074640777852
split-3,1,62,0.719758064516129,0.8313026713658478,0.7338129496402878,0.00016540730234767937
split-4,0,40,0.7262295081967213,0.5751598475598029,0.47761194029850745,0.000162731531905293
split-4,1,61,0.7262295081967214,0.8354256678112477,0.7407407407407407,0.00016273157381448014
