,,count,roc_auc_score,average_precision_score,f1_score,p_value
split-0,0,40,0.7125,0.5852432756140628,0.5842696629213483,6.063308287920661e-05
split-0,1,62,0.7124999999999999,0.8178322730367188,0.6782608695652174,6.0633088639980434e-05
split-1,0,40,0.7592741935483871,0.6127451023479865,0.7272727272727273,6.25629408725165e-07
split-1,1,62,0.759274193548387,0.8564765053203811,0.7428571428571429,6.256294355958119e-07
split-2,0,40,0.7201612903225806,0.5322342982211083,0.66,4.6701020772605945e-05
split-2,1,62,0.7201612903225806,0.8295761282082973,0.6730769230769231,4.670097860602451e-05
split-3,0,40,0.6673387096774194,0.5091314511924188,0.5858585858585859,0.0009281798380271848
split-3,1,62,0.6673387096774194,0.8153137892365322,0.6095238095238096,0.0009281794463074793
split-4,0,40,0.723360655737705,0.5529540682202807,0.6444444444444445,3.9350075248192633e-05
split-4,1,61,0.723360655737705,0.8333224394677943,0.7142857142857143,3.935008024244507e-05
