,,count,roc_auc_score,average_precision_score,f1_score,p_value
split-0,0,40,0.7076612903225806,0.5855256790487933,0.6326530612244898,7.547076375372959e-05
split-0,1,62,0.7076612903225806,0.8148508529265901,0.660377358490566,7.547076436587364e-05
split-1,0,40,0.7685483870967742,0.6399743402229774,0.673469387755102,1.1791688419705437e-06
split-1,1,62,0.7685483870967742,0.8574279274578592,0.6981132075471698,1.1791711049158485e-06
split-2,0,40,0.6471774193548387,0.4682801968099421,0.6238532110091743,0.021560411391047255
split-2,1,62,0.6471774193548387,0.7420050779713675,0.5684210526315789,0.021560460800783034
split-3,0,40,0.6645161290322581,0.49745198372409793,0.594059405940594,0.0007701569903784338
split-3,1,62,0.664516129032258,0.8123931662438965,0.6019417475728155,0.0007701563291304227
split-4,0,40,0.7307377049180328,0.582102954684562,0.6444444444444445,2.036386170637846e-05
split-4,1,61,0.7307377049180328,0.8360276520854342,0.7142857142857143,2.03638405763919e-05
